title,trans
New Target,New Target
Winner ?,Winner?
Break,Break
Appeal,Appeal
Heat Up,Heat Up
Loser ?,Loser?
Center,Center
『Rival』,『Rival』
出るんだって、虹,"나온대, 무지개"
シャイニーの日 2020 特別コミュ,샤이니의 날 2020 특별 커뮤
門の中にて,정문 안에서
カウンセラー室にて,상담실에서
Romeo×Root,Romeo×Root
Juliet×Root,Juliet×Root
Rose×Root,Rose×Root
賑やかな少女たち,떠들썩한 소녀들
仲良しの少女たち,사이좋은 소녀들
愛らしい少女たち,사랑스러운 소녀들
仲間たる少女たち,동료인 소녀들
鋭角なる少女たち,날카로운 소녀들
同僚の教師と,동료 교사와
Secret×Root,Secret×Root
Secret×Besties,Secret×Besties
Secret×Company,Secret×Company
Secret×Full power,Secret×Full power
Secret×Fragrance,Secret×Fragrance
Secret×Not round,Secret×Not round
窓辺にて,창가에서
あって思った,앗 하고 생각했어
人生,인생
あれって思った,어라 하고 생각했어
ていうか、思い込んでた,"그것보다, 믿고 있었어"
ちゃんとやるから,제대로 할 테니까
嬉しいってこと,기쁘다는 것
人生、長いから,"인생, 기니까"
夜に待つ,밤에 기다리다
カメラ・レンズに笑う,카메라 렌즈에 웃다
バウンダリー,바운더리
二酸化炭素濃度の話,이산화탄소 농도 이야기
心臓を握る,심장을 쥐다
風穴,풍혈
蛇足,사족
なりたいものなあに,되고 싶은 건 뭐어니
想いはお砂糖づけ,마음은 설탕 절임
ガラスの嘘,유리 거짓말
背中みっつ,세 개의 등
いまは小さな糸だけど,지금은 작은 실이지만
ごめんなさいはなし,죄송해요는 금지
ここにおいでよ,이곳으로 와
HAPPINESS♡,HAPPINESS♡
"One,Two,Three","One,Two,Three"
Bitter×coffee,Bitter×coffee
(unknown),(unknown)
take the cake!,take the cake!
GO!LUCKY!,GO!LUCKY!
Make you happy,Make you happy
公園の歌声,공원의 노랫소리
自信のありか,자신감의 소재
ありのままで,있는 그대로
頑張りすぎ,지나친 노력
自分を信じて,스스로를 믿고
あんをつつむあったかい気持ち,팥소를 감싸는 따뜻한 마음
シーズン1（クリア）,시즌 1 ( 클리어 )
シーズン1（失敗）,시즌 1 ( 실패 )
シーズン2（クリア）,시즌 2 ( 클리어 )
シーズン2（失敗）,시즌 2 ( 실패 )
シーズン3（クリア）,시즌 3 ( 클리어 )
シーズン3（失敗）,시즌 3 ( 실패 )
シーズン4（クリア）,시즌 4 ( 클리어 )
シーズン4（失敗）,시즌 4 ( 실패 )
始まり、もう一度,"시작을, 다시 한 번"
『頑張りたい』,『노력 하고 싶어』
空が赤いから,하늘이 붉으니까
雲なんて吹き飛ばして,구름 따윈 날려버리고
星たちは駆けて輝く,별들은 달리며 반짝인다
オーディション後①,오디션 후 ①
オーディション後③,오디션 후 ③
オーディション後②,오디션 후 ②
オーディション後④,오디션 후 ④
Morning①,Morning①
Morning②,Morning②
Morning③,Morning③
Morning④,Morning④
Morning⑤,Morning⑤
Morning⑥,Morning⑥
Morning⑦,Morning⑦
Morning⑧,Morning⑧
Morning⑨,Morning⑨
Morning⑩,Morning⑩
Morning⑪,Morning⑪
Morning⑫,Morning⑫
Morning⑬,Morning⑬
Morning⑭,Morning⑭
Morning⑮,Morning⑮
オーディション前①,오디션 전 ①
オーディション前②,오디션 전 ②
オーディション前③,오디션 전 ③
オーディション前④,오디션 전 ④
オーディション前⑤,오디션 전 ⑤
オーディション前⑥,오디션 전 ⑥
オーディション後 勝利①,오디션 후 승리 ①
オーディション後 勝利②,오디션 후 승리 ②
オーディション後 敗北①,오디션 후 패배 ①
オーディション後 敗北②,오디션 후 패배 ②
準決勝前コミュ,준결승 전 커뮤
敗退コミュ,패퇴 커뮤
準決勝後コミュ,준결승 후 커뮤
決勝前コミュ,결승 전 커뮤
決勝後コミュ,결승 후 커뮤
未来へ羽ばたく,미래로 날아가다 
これからも飛んでいきたい,앞으로도 날아가고 싶어
感謝祭本番前（ユニット）,감사제 본선 전 ( 유닛 )
感謝祭本番後（通常）,감사제 본선 후 ( 통상 )
感謝祭本番後（MVP）,감사제 본선 후 ( MVP )
何度だって最高の晴れにしよう,몇 번이라도 최고로 맑은 하늘을 만들자 
リハーサル前,리허설 전
リハーサル後,리허설 후
感謝祭本番前,감사제 본선 전
きらめきを詰めてすすむしっぽ,반짝임을 담고 나아가는 꼬리
【’19Xmas】ハンドクリーム,【’19Xmas】 핸드 크림
【’19Xmas】ケーキ,【’19Xmas】 케이크
【’19Xmas】イルミネーション,【’19Xmas】 일루미네이션
【’19Xmas】真乃・ブランケット,【’19Xmas】 마노・블랭킷
【櫻木 真乃】2020バレンタインコミュ,【사쿠라기 마노】 2020 발렌타인 커뮤
予感,예감
アプリコット,애프리콧
反対ごっこ,반대로 말하기 놀이
そして彼女はインターホンを鳴らす,그리고 그녀는 인터폰을 울린다
ふたつの夜,두 개의 밤
こわい,무서워
薄桃色にこんがらがって,연분홍색으로 얽히며
エンドロールは流れない,엔드롤은 흐르지 않아
拝啓、階段の先の君へ,"삼가 아뢰옵니다, 계단 끝의 너에게"
温かいうちに,따뜻할 때에
まだ帰りたくない,아직 돌아가고 싶지 않아
夜の食堂にて,밤의 식당에서
夕焼け小焼けで,석양이 가볍게 지며 
ファイ、オー！,"파이, 팅 !"
鬼は外、福は内,"귀신은 밖으로, 복은 안으로"
追伸、写真を添えて送ります,"추신, 사진을 첨부해서 보냅니다"
[behind]283production,[behind]283production
[behind]ichibanboshi,[behind]샛별
[behind]usachiyokame,[behind]우사치요카메
[behind]maria,[behind]maria
[behind]hermes,[behind]hermes
[behind]seishun_jersey,[behind]청춘_저지
[behind]pi-chan,[behind]피쨩
[edit],[edit]
13:15 PM,13:15 PM
13:32 PM,13:32 PM
14:11 PM,14:11 PM
14:48 PM,14:48 PM
15:06 PM,15:06 PM
16:57 PM,16:57 PM
17:46 PM,17:46 PM
added time アマクナイヨル,added time 달콤하지 않은 밤
秋うららの物語,화창한 가을 이야기
ガクエンサイGOGO！,학원제 GOGO !
Who are you?,Who are you?
みなそこで息を止めて,모두 거기서 숨을 멈추고
ううん,아니
invent laughter,invent laughter
魚と虹のワルツを,물고기와 무지개의 왈츠를
呼吸のソルフェージュ,호흡의 솔페주
お下がりくださいっ,물러나 주세요
キャラメルのバラッド,캐러멜의 발라드
ちょっとした荒事,약간의 용맹한 연기
ラ・ラ・ラ・ミルキィウェイ,라・라・라・밀키웨이
ジャストライクキョンシーブルース,저스트 라이크 강시 블루스
鳴かないでベイビー,울지 말아줘 베이비
轟・銀河暴走幸福論,콰광・은하폭주행복론
ローリンストーンのように,롤링 스톤처럼
うさぎがぴょん,토끼가 뿅
いっしょにつこう,같이 만들자
おいしくなあれ,맛있어져라
もうちょっとだね,이제 조금 남았네
できたよ！,완성이야!
いつか、いつかは,"언젠가, 언젠가는"
ただいま、おかえり,"어서 와, 다녀왔어"
はじまり、はじまり,시작할게요
朝の物語,아침 이야기
昼の物語,낮 이야기
夜の物語,밤 이야기
時の物語,시간 이야기
鏡の物語,거울 이야기
湯の物語,욕탕 이야기
銀河の冒険,은하 모험
夏休みの秘密,여름 방학의 비밀
GIRL MEETS,GIRL MEETS
FREEDOM,FREEDOM
