id,name,text,trans
0000000000000,プロデューサー,"樹里、スマホの画面をジッと見て……
どうかしたのか？","쥬리, 스마트 폰의 화면을 뚫어져라 보고......
무슨 일이야?"
1011001000510010,樹里,"あ、プロデューサー
ケータイの設定変えてーんだけどよ、よくわかんねーんだよ","아, 프로듀서
휴대폰 설정 바꾸고 있는데, 잘 모르겠어"
1011001000510020,樹里,ワリーんだけど、何とかしてくんねぇか？,"미안한데, 어떻게 좀 해줄래?"
0000000000000,プロデューサー,（樹里はとても困っているみたいだ）,(쥬리는 매우 곤란한 것 같다)
select,,"任せとけ、
機械は得意だ","맡겨만 둬
기계는 자신있어"
select,,"壁紙は
俺の写真でいいか？","배경화면은
내 사진으로 하면되지?"
select,,"説明書を見ながら
やってみれば？","설명서를 보면서
하는건 어때?"
1011001000510030,樹里,お、サンキュ！　アタシ機械はよくわかんなくてさ……,"오, 땡큐! 나 기계는 잘 몰라서 말야......"
1011001000510040,樹里,へへ、アンタって意外に頼りになるよな,"헤헤, 너 의외로 의지가 되는구나"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다.)"
1011001000510050,樹里,"はあ？
朝から冗談キツいぜプロデューサー","뭐?
아침부터 농담이 과하잖아 프로듀서"
1011001000510060,樹里,"あっ
でも、壁紙変更のやり方は教えてくれるか？","그
그래도 바탕 화면 변경 방법은 가르켜 줄꺼지?"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나.)"
1011001000510070,樹里,説明書なんて持って来てねーよ,설명서 같은건 안들고 다녀
1011001000510080,樹里,はぁ、他の子にでも聞いてみるか……,"하아, 다른 애한테라도 물어 볼까......"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽... 실수다. 다른 얘기를 했다면 좋았을 걸...)
info,produce_communications/101100100051.json,
译者,,
