id,name,text,trans
7902001020010,社長,"結果は聞いた
……ここまでだったようだな","결과는 들었다
……여기까지였던 모양이군"
0000000000000,プロデューサー,……はい。目標には、届きませんでした,"……네. 목표에는, 닿지 못했습니다 "
7901001020010,はづき,"『W.I.N.G.』はあらゆるアイドルが
憧れるステージですからね","『W.I.N.G.』은 온갖 아이돌이
모이는 스테이지니까 말이에요"
7901001020020,はづき,"道はとっても険しかった、
ということなのでしょう……","길은 생각이상으로 험했다,
라는 것 이겠지요……"
0000000000000,プロデューサー,結果を出せず、申し訳ありませんでした……,"결과를 내지 못해, 면목이 없습니다……"
7902001020020,社長,"……私たちに謝っている場合じゃない
彼女が、お前を待っているだろう？","……우리들한테 사과하고 있을 때가 아니잖나 
그녀가, 자넬 기다리고 있잖아?"
7902001020030,社長,つらいだろうが、これもプロデューサーの仕事だ,"괴롭겠지만, 이것도 프로듀서의 일이다"
0000000000000,プロデューサー,……行ってきます,……다녀오겠습니다
0000000000000,プロデューサー,"一次審査だが……通らなかった
残念だったな……恋鐘","일차심사말인데……통과하지 못했어
아까웠네…… 코가네 "
7004001020010,恋鐘,"そうかぁ……
ちょこっと残念やね……","그런가아……
쪼까 유감이구마……"
0000000000000,プロデューサー,……案外落ち着いてるんだな,"……의외로 침착하게 있네 "
7004001020020,恋鐘,"まあ、アイドル目指してればこういうこともあるけん
全部合格できるなんておもっちょらんよ","뭐, 아이돌을 목표로 하고 있으면 이런 일도 있으니께
전부 합격할 수 있을 거라고 생각허지 않어야 "
7004001020030,恋鐘,"やから、たった一回転んだくらいで泣いてられん！
それにうじうじするのはうちらしくない！","그러니까, 한번 넘어진 것 정도로 울지 않어야!
게다가 우물쭈물하는건 내답지 않구마!"
0000000000000,プロデューサー,確かに落ち込んでる恋鐘はあまり想像できないな,"확실히 풀죽은 코가네는 그다지 상상할 수 없네 "
7004001020040,恋鐘,"そやろ？　うちは失敗してもただでは起きん！
これを糧にしてまた頑張るばい！","그라제? 내는 실패해도 그냥은 일어나지 않어야!
이것을 양식으로 삼아서 또 힘내는 거여!"
0000000000000,プロデューサー,"そうだな。アイドル活動はまだまだこれからなんだ
また頑張ればいいさ","그렇지. 아이돌활동은 아직 이제부터니까 말야
또 힘내면 되는거야 "
7004001020050,恋鐘,"その通り！　そうと決まったら
さっそくレッスンするばい！　レッツゴー！","그 말대로! 그렇게 정했으면
바로 레슨하는 거여! 렛츠 고!"
info,produce_events/700400102.json,
译者,,
