id,name,text,trans
0000000000000,プロデューサー,"そういえば
凛世の持っている人形は、手作りなのか？","그러고 보니
린제가 갖고 있는 인형은 직접 만든 거야?"
1012001000710010,凛世,"はい……
凛世が……心を込めて作りました……","예...
린제가... 마음을 담아 만들었습니다..."
1012001000710020,凛世,大切な方を……想いながら……,소중한 사람을... 생각하면서...
0000000000000,プロデューサー,（何か……強い思い入れがあるんだな……）,(뭔가... 강한 애착을 갖고 있구나...)
select,,よく一緒にいるもんな,늘 함께 있는 걸.
select,,友達みたいなものか,친구 같은 사이인가
select,,心が通じるのか？,서로 마음은 통해?
1012001000710030,凛世,"はい……
いつでも……お傍に……いたいのです","네...
언제까지나... 곁에... 있고 싶습니다"
1012001000710040,凛世,"凛世の、知らない世界を……
教えてくれますから……","린제가, 모르고 있었던 세계를...
가르쳐 주기 때문에..."
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다.)"
1012001000710050,凛世,"友達など……そんな……
滅相もないことです……","친구 같은... 그런...
당치도 않은 것 입니다..."
1012001000710060,凛世,凛世の、憧れで……ございますから……,"린제가, 동경하는 대상... 입니다..."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나.)"
1012001000710070,凛世,"それは……残念ながら……
わかりません……","그것은... 불행히도...
알 수 없습니다..."
1012001000710080,凛世,"ですが……
信じていれば……いつか……","하지만...
쭉 믿고 있다면... 언젠가는..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽... 실수다. 다른 얘기를 했다면 좋았을 걸...)
info,produce_communications/101200100071.json,
译者,,
