id,name,text,trans
1010001000310010,智代子,ふんっふ～ん♪　ふんふふ～ん♪,후흥♪ 흥후~흥♪
0000000000000,プロデューサー,"ずいぶん嬉しそうだな
何かいいことでもあったのか？","꽤나 기쁜 것 같구나
무언가 좋은 일이라도 있었니?"
1010001000310020,智代子,"実はですね、近くにあるチョコレートカフェに
ユニットのみんなと行くことになったんです！","실은 말이에요, 근처의 초콜릿 카페에
유닛의 모두와 가기로 했습니다!"
0000000000000,プロデューサー,（なるほど、それは楽しみだろうな）,"(그렇구나, 그건 확실히 재미있겠군)"
select,,"チョコの研究会が
できるな","초콜릿 연구회가
생기겠구나"
select,,チョコの専門店か？,초콜릿 전문점이니?
select,,お土産頼むな,선물 부탁해
1010001000310030,智代子,"そうなんです！　しかもみんなと一緒に！
これは全メニュー制覇しなきゃだなって思ってて！","네! 게다가 모두와 함께라니!
모든 메뉴를 제패하지 않으면 안 된다고 생각해요!"
1010001000310040,智代子,"楽しみすぎておやつも止まらないんです……！
……ってあれ！？　なんで笑ってるんですか！？","너무 기대되어서 간식을 멈출 수 없어요……!
……. 어라!? 어째서 웃으시는 건가요!?"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다.)"
1010001000310050,智代子,もちろんです！　今、チョコってすごく人気なんですよ！,"물론이에요! 지금, 초콜릿은 엄청 인기니까요!"
1010001000310060,智代子,"チョコを使ったパスタとか、
ドレッシングもあるくらいですから！","초콜릿을 사용한 파스타라던가,
드레싱도 있을 정도니까!"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나.)"
1010001000310070,智代子,"あっ……ごめんなさい……
お土産買いたいのはやまやまなんですけど……","앗…… 죄송해요……
선물을 사고 싶은 마음은 굴뚝같지만……"
1010001000310080,智代子,そのお店、テイクアウトがないんです……,"그 가게, 테이크 아웃이 불가능해서요……"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수다. 다른 걸 말했다면 좋았을텐데……)
info,produce_communications/101000100031.json,
译者,,
