id,name,text,trans
4016001000130010,千雪,"オーディションって、ステージ本番と違いますよね
だから、気持ちの作り方が難しくて……","오디션은, 스테이지 공연과는 다르군요
그래서 마음을 다잡는 방법이 어려워서......"
0000000000000,プロデューサー,（オーディションについての心構えか……）,(오디션에 대한 마음가짐인가...)
select,,"どっちも、自分と
ファンのためになる","어느 쪽이든, 
팬과 스스로 모두를
위한 일이 될 거야"
select,,"ステージ本番だと
思っていいぞ","진짜 무대라고
생각해도 돼"
select,,"自分の気持ちを
大事に","스스로의 느낌을
소중히"
4016001000130020,千雪,"……そうですよね。みなさんに届くように……！
それから……プロデューサーさんにも届くように、です","...... 그렇네요. 모두에게 닿도록...!
그리고...... 프로듀서 씨에게도 전해지도록, 이네요"
0000000000000,プロデューサー,（迷いのない顔になったな）,(망설임 없는 얼굴이 되었군)
4016001000130030,千雪,"そう……ですね。私、目先の事に囚われていたかも……
合格した後のつもりで、どーんと頑張ってきます！","그렇......네요. 나는 눈앞의 일에 사로잡혀 있었을지도......
합격한 뒤인 것처럼 팟하고 힘낼게요!"
0000000000000,プロデューサー,（よし、緊張はとけたみたいだな）,"(좋아, 긴장은 풀린 모양이군.)"
4016001000130040,千雪,"ここに立っているのは、みなさんのおかげなので……
でも、ありがとうございます。頑張りますね","여기에 서 있는 것은 모두의 덕분이니까......
하지만 감사합니다. 열심히 할게요"
0000000000000,プロデューサー,（もっと別の言葉がよかったかもしれない……）,(좀 더 다른 말이 나았을지도 몰라...)
info,produce_communication_cheers/401600100013.json,
译者,,
