id,name,text,trans
3014004020010,甜花,あー……,아ー......
3014004020020,甘奈,"甜花ちゃん待って待って！
『いただきます』がまだだよ！","텐카쨩 기다려 기다려! 
『잘 먹겠습니다』가 아직이야!"
3014004020030,甜花,"あ……そうだった……
にへへ……","아...... 그랬구나......
니헤헤......"
3014004020040,千雪,そんな、気にしなくていいのに,"그런 거, 신경쓰지 않아도 괜찮은데"
3014004020050,甘奈,"ダメダメ、せっかく３人で食べるんだもん
３人で『いただきます』しなきゃ！","안돼 안돼, 모처럼 셋이서 먹는 걸
다같이 『잘 먹겠습니다』해야지!"
3014004020060,甜花,"甜花となーちゃんの……
分けっこの合図、だから……","텐카와 나쨩의......
같이 먹기 신호, 니까......"
3014004020070,千雪,まぁ……！,어머나......!
3014004020080,甘奈,"ね？　だからみんなで！
せーの──","자? 그러니까 다같이! 
하나──둘──"
3014004020080,一同,いただきます,잘 먹겠습니다
3014004020090,甘奈,んー、他に見てないところはー……,"음ー, 그 밖에 보지 못한 곳은ー......"
3014004020100,甜花,な、なーちゃん……,"나, 나쨩......"
3014004020110,甜花,"甜花……かき氷……食べたい……
……暑い……","텐카......빙수......먹고 싶어......
......더워......"
3014004020120,甘奈,"いいね☆
まだ食べてなかったし！","좋아☆
아직 못 먹었지!"
3014004020130,千雪,"かき氷屋さんなら、さっき見かけたはず……
案内できるかもしれないわ","빙수 가게라면, 아까 언뜻 본 것 같은데......
안내해 줄 수 있을지도 몰라"
3014004020140,甘奈,"やったー！
それじゃあ、さっそく行こー☆","야호ー!
그러면, 빨리 가자ー☆"
3014004020150,甜花,"わ……すごい……
どれも美味しそう……","와......엄청나......
전부 다 맛있어보여......"
3014004020160,甘奈,"ホントだね！
どれにしよっかな～……","지인짜네!
그럼 어떤 걸로 할까~......"
3014004020170,千雪,たくさんあるから迷っちゃうわね……,무지 많으니까 고민되는걸......
3014004020180,甘奈,う～ん……,으~응......
3014004020190,甘奈,"よし、決めたっ
甘奈はイチゴ☆","좋아, 정했다
아마나는 딸기☆"
3014004020200,千雪,私は、宇治金時にしようかな,"나는, 녹차팥빙수로 할까"
3014004020210,千雪,甜花ちゃんはもう決まった？,텐카짱은 정했어?
3014004020220,甜花,"甜花は……ぶどう……
あ……でも……売り切れてる……","텐카는......포도......
아......근데......품절이다......"
3014004020230,千雪,"うーん……何かないかなぁ
他にお店もなさそうだし……","으ー응......뭔가 방법이 없을까
근처에 다른 가게도 안 보이고......"
