id,name,text,trans
0000000000000,プロデューサー,円香、おはよう,"마도카, 안녕"
1021001000210010,円香,おはようございます,안녕하세요
1021001000210020,円香,"私のことは構わず、
どうぞ仕事に集中してください","저는 상관말고,
일에 집중해주세요"
0000000000000,プロデューサー,（よーし、それなら仕事の話を……）,"（좋아, 그렇다면 업무 얘기를……）"
select,,ユニットについて,유닛에 대해
select,,仕事の資料について,업무 자료에 대해
select,,レッスンについて,레슨에 대해
1021001000210030,円香,……みんなにも関わることですか？,……모두랑 관련있는 건가요?
1021001000210040,円香,"従うかどうかは聞いてから考えますが
とりあえず、話してください","따를지 말지는 들어보고 생각해보겠지만
일단, 얘기해주세요"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"（좋아, 즐겁게 얘기했다）"
1021001000210050,円香,はい、わかりました,"네, 알겠어요"
1021001000210060,円香,見ておきます,보고 올게요
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"（뭐, 평범하게 얘기했으려나）"
1021001000210070,円香,あなたに話せることがあるんですか？,당신한테 얘기할 필요가 있나요?
1021001000210080,円香,余計なアドバイスなら結構です,쓸데없는 충고라면 사양할게요
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,（윽……실수했다. 다른 걸 얘기했으면 좋았을텐데……）
info,produce_communications/102100100021.json,
译者,,
