id,name,text,trans
3008008030010,咲耶,鳴門海峡のトラフグ、いくよ,"나루토 해협의 참복, 간다"
3008008030020,咲耶,……,ε(*´・ꁞ・)з☆:*:・
3008008030030,恋鐘,"あ～っ、ずるか
うちも鳴門海峡のトラフグ～！","아, 하는기가
내도 나루토 해협의 참복~!"
3008008030040,恋鐘,の、夢見とらんやつ～！！,꿈 안꾸는 녀석이데이!
3008008030050,恋鐘,……,ε(*´・ꁞ・)з☆:*:・
3008008030060,恋鐘,"んふふ～！
ここやったら目つぶらんでもよか！","응후후~!
여기서는 눈 동그렇게 떠도 괜찮다야!"
3008008030070,結華,"うんうん、水は克服ってことにしておこっか
三峰はー……これで！","응응, 물은 극복한걸로 해둘까
미츠미네는…… 이걸로!"
3008008030080,結華,ヨリトフグ、いきまーす,"불룩복, 갑니다."
3008008030090,結華,……,ε(*´・ꁞ・)з☆:*:・
3008008030100,摩美々,じゃーペルビアンパッファーいきまぁす,"그러면 페루비안 퍼퍼, 갑니다"
3008008030110,恋鐘,ふぇ～？　なんて言ったと……？,후에~? 뭐라한겨……?
3008008030120,摩美々,ペルビアンパッファーいきまぁす,"페루비안 퍼퍼, 갑니다."
3008008030130,摩美々,パプアントビーでもいいケドー,파푸안 토비도 괜찮은데.
3008008030140,咲耶,フフ、蠱惑的な名前だ,"후후, 고혹적인 이름이네."
3008008030150,恋鐘,ぱぷ……どげん顔しとるとー？,파푸…… 어떤 얼굴 하는기가?
3008008030160,摩美々,…………,ε(*´・ꁞ・)з☆:*:・
3008008030170,結華,ふふっ……,후훗……
3008008030180,恋鐘,"ふぁっ……そいは……
おかしかぁ……合格～！","후앗, 그런기가……
이상혀…… 합격~!"
3008008030190,摩美々,勝手に判定しないでくれるー,마음대로 판정하지 말아줄래-
3008008030200,霧子,"ふふ……
じゃあ……わたしは……","후후…… 
그럼…… 나는……"
3008008030210,霧子,"え、と……
アラレキンチャクフグさん……","그러니까……
아라레킨챠쿠 복어씨."
3008008030220,霧子,"の……夢見てないやつ……
いきます……！","꿈 꾸지 않는 아이로……
갑니다……!"
3008008030230,霧子,…………,ε(*´・ꁞ・)з☆:*:・
3008008030240,結華,あはは、可愛いフグだぁ,"아하하, 귀여운 복어네."
3008008030250,咲耶,"ああ。見ごたえのあるリハーサルだったよ
それじゃあ撮ってみようか","그래, 볼만한 리허설이었네
그러면 이제 찍어볼까."
3008008030260,結華,タテイチで撮らなきゃだから、２列かな？,세로로 찍어야 하니까 2열로?
3008008030270,摩美々,はぁい,네에
3008008030280,咲耶,"５秒後、チカチカ光った後にシャッターが下りる
──セット","5초 후 반짝반짝 빛난 다음에 찍히는 거야
됐다"
3008008030290,恋鐘,"ふぁ……！　ここで目つぶらんようにせんば……！
霧子……！","후아……! 여기서는 눈 감지 않게혀……!
키리코……!"
3008008030300,霧子,うん……！,응……!
3008008030310,結華,"おっけーかな
さくやん、どう？","오케이일까
사쿠양, 어때?"
3008008030320,結華,水の中感、ある？,"물 속 같은 느낌, 있어?"
3008008030330,咲耶,"……
──うーん、これは……","……
음, 이건……"
3008008030340,摩美々,──んー……,음……
3008008030350,霧子,どんな……感じ……？,어떤…… 느낌……?
3008008030360,恋鐘,うちも見る～～！,내도 볼려!
3008008030370,摩美々,……部屋で水着着てる人たちー,방에서 수영복 입고 있는 사람들
3008008030380,恋鐘,"うん～！
部屋で水着着とる人たちやね～！","응~!
방에서 수영복 입고 있는 사람들이여~!"
3008008030390,咲耶,"クス、ああ
それ以外の形容が見つからないね……","훗, 응
달리 표현할 방법을 못 찾겠네……"
3008008030400,結華,あー……,아……
3008008030410,結華,"……なんだろう、こう
重力を感じちゃうっていうか……","뭐라고 할까…… 그
중력이 느껴진다고 할까……"
3008008030420,霧子,"……うん……
お水の中じゃ……髪が浮くし……","응……
물 속에서는…… 머리카락이 뜨고……"
3008008030430,結華,それ,그거야
3008008030440,摩美々,ふふー,후후-
3008008030450,摩美々,"じゃー
扇風機で飛ばしてみるー？","그러면, 
선풍기로 날려봐?"
3008008030460,咲耶,"──10秒後にセット
テイク２、いってみよう","10초 후로 설정
테이크 2, 해보자."
3008008030470,咲耶,うん、いい風が吹いている,"응, 좋은 바람이 불고 있네."
3008008030480,結華,まみみん、『強』はちょっと行き過ぎかも──,"마미밍, 『강』은 조금 강해……"
3008008030490,恋鐘,ふぁっ……き、きり──,"후아…… 키, 키리……"
3008008030500,霧子,"あっ恋鐘ちゃん……！
ごめんね……！　わたしの髪……──","아 코가네짱……!
미안……! 내 머리카락……"
3008008030510,霧子,め、目に入った……？,"누, 눈에 들어갔어……?"
3008008030520,恋鐘,だいじょ……,괜찮……
3008008030521,恋鐘,──ふぁ……！,후앗……!
3008008030530,咲耶,ああっ恋鐘……！　すまない、髪が……──,"아, 코가네……! 미안 머리카락이……"
3008008030540,恋鐘,だ、だいじょ…………,"괘, 괜찮다야……"
3008008030550,結華,一回スイッチ切ろっか──,전원을 한 번 끌까
3008008030560,結華,"おおっ、こがたん！？
こっちも危ないから！","으왓, 코가땅!?
이쪽도 위험하니까!"
3008008030570,恋鐘,ふぇ……！　わ……！,후에……! 으와……!
3008008030580,結華,"あああごめんー！
髪当たっちゃった──","으와, 미안……!
머리카락 맞혀버렸다……"
3008008030590,恋鐘,んんん～…………！,으으응~…….!
3008008030600,摩美々,わ……ちょっとこが──,"으와, 잠깐 코가……"
3008008030610,霧子,ま、摩美々ちゃん……！,"마, 마미미짱……!"
3008008030620,摩美々,"……！
髪……恋鐘の髪……","……!
머리카락…… 코가네의 머리카락이……"
3008008030630,恋鐘,…………ふぇ,후에……
3008008030640,摩美々,…………え,어…….
3008008030650,霧子,ど……どうかな……？,어…… 어때……?
3008008030660,結華,──えっとね、全力お昼寝フグさんが発生してる,"그러니까, 낮잠자는 복어들의 대량발생이야."
3008008030670,摩美々,"まぁ……
お昼寝時だし間違ってないっていうかぁ","뭐……
낮잠 잘 때고 틀린 건 아니지만."
3008008030680,霧子,"ごめんね……！
今度は……後ろに立つから……","미안......!
다음에는......뒤에 설테니까……"
3008008030690,恋鐘,"霧子のせいじゃなかよ～！
次は絶対目開けるけん……！","키리코의 탓이 아니어야!
다음에는 눈 제대로 뜰 테니께……!"
3008008030700,咲耶,"ああ。ドンマイさ
ディスイズアンティーカ","그래, 걱정 없어
This is L'antica"
3008008030710,結華,"おっけー
じゃあテイク３、いってみよう！","OK
그러면 테이크 3 가보자!"
0000000000000,プロデューサー,"ん……？
誰かいるのか……？","응……?
누군가 있나……?"
0000000000000,プロデューサー,──あ……,아……
3008008030711,一同,…………,……
0000000000000,プロデューサー,えーと……失礼した……,그러니까…… 실례했어……
0000000000000,プロデューサー,"はは……
楽しそうだな……","하하……
즐거워보이네……"
info,produce_events/300800803.json,
译者,,
