id,name,text,trans
0000000000000,プロデューサー,"おはよう──
ん、髪切った？","안녕──
응, 머리 잘랐어?"
1021001001410010,円香,……昨日と一緒ですが,……어제랑 똑같은데요
0000000000000,プロデューサー,あれ、違ったか,"어라, 틀렸나"
0000000000000,プロデューサー,（なんとなくいつもと違う気がするんだけど……）,（왠지 평소랑 다른 거 같은데……）
select,,えーと、それじゃ……,"저기, 그럼……"
select,,メイクを変えたとか……,화장법을 바꿨다든지……
select,,シャンプーを変えた？,샴푸 바꿨어?
1021001001410030,円香,"……さっきからなんですか？
些細な変化にも気付けちゃうアピール？","……아까부터 뭔가요?
사소한 변화도 알아챈다는 어필?"
1021001001410040,円香,色気付いた中学生みたい……ふふっ,성에 눈 뜬 중학생 같네요…… 후훗
0000000000000,プロデューサー,（よし、楽しく話せたな）,"（좋아, 즐겁게 얘기했다）"
1021001001410050,円香,じろじろ見ないでください,빤히 쳐다보지 말아주세요
1021001001410060,円香,普通に考えて失礼な行動はやめてもらえますか,상식적으로 실례되는 행동은 그만둬 주실래요?
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"（뭐, 평범하게 얘기했으려나）"
1021001001410070,円香,え、こわ……,"아, 깬다……"
1021001001410080,円香,近づかないでください……,가까이 오지 마세요……
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,（윽……실수했다. 다른 걸 얘기했으면 좋았을텐데……）
info,produce_communications/102100100141.json,
译者,,
