id,name,text,trans
1002001001510010,灯織,いただきます……,잘 먹겠습니다……
0000000000000,プロデューサー,おっ、その弁当はもしかして……灯織の手作りか？,"오호, 그 도시락은 혹시…… 히오리가 손수 만든거야?"
1002001001510020,灯織,はい。今日は家で食べる時間がなかったので,네. 오늘은 집에서 먹을 시간이 없어서요
0000000000000,プロデューサー,"そうか、しっかりしてるなぁ……栄養バランスも
いろどりもバッチリだし","그래? 부지런하구나…… 영양 밸런스도
반찬 궁합도 완벽하구"
select,,俺も見習わないとな,나도 본받아야겠다
select,,俺も料理しようかな,나도 요리해볼까
select,,俺にも分けてくれ,나도 나눠주라
1002001001510030,灯織,"そ、そこまで言ってもらうようなことでは
ありません。","거, 거기까지 들을 정도는
아니에요"
1002001001510040,灯織,普通のことだと思いますけど……,평범한거라고 생각하고 있었는데……
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기 한거 같다.)"
1002001001510050,灯織,"いいことだと思います。プロデューサーも
食生活が乱れているときがありますし","좋을거 같아요. 프로듀서도
식생활이 흐트러질 때가 있으시니"
1002001001510060,灯織,体調には気をつけてくださいね,몸 관리는 신경 써주세요
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기 한거 같다.)"
1002001001510070,灯織,"すみません……急いでつめてきたので
ひとり分しかないんです","죄송해요…… 서둘러 채워 넣어서
혼자 먹을 분량 밖에 없어요"
1002001001510080,灯織,"朝ごはんはしっかり食べないと、レッスンに
集中できなくなってしまいますので……","아침 밥은 제대로 먹지 않으면, 레슨에
집중 할 수 없게 되어서……"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수다. 다른 얘기를 했다면 좋았을 걸……)
info,produce_communications/100200100151.json,
译者,,
