id,name,text,trans
4015001000220010,甜花,"うん……大丈夫、大丈夫……
プロデューサーさん……甜花のこと、見ててね……","응……괜찮아, 괜찮아……
프로듀서님…… 텐카가 하는거, 보고있어줘……"
0000000000000,プロデューサー,"（少しずつ自信がでてきたみたいだな
後押しをしてやれる言葉は……）","(조금씩 자신이 생긴거 같다
뒷바라지 해 줄 수 있는 말은……)"
select,,"ファンのみんなにも
見てもらおう！","팬 모두에게도
보여주자!"
select,,目に焼き付けておくよ,눈에 새겨놓을게
select,,ファイトだ！,화이팅이야!
4015001000220020,甜花,"う、うん……っ！　ちょっと怖いけど……
み、みんなの応援に……応えたい、から……っ","으,응……! 조금 무섭지만……
모, 모두의 응원에 보답하고 싶으, 니까……"
0000000000000,プロデューサー,"（自信に弾みをつけてあげられたみたいだ
ファンからの期待を、力に変えられそうだな！）","(자신감을 북돋아 줄 수 있었던 거 같다
팬들의 기대를, 힘으로 바꿀 수 있을거 같아!)"
4015001000220030,甜花,"にへへ……ちょっと恥ずかしい……
でも……見ててくれるから……頑張れる、よ……！","니헤헤……조금 부끄러워……
그치만……보고 있어주니까……힘낼 수 있, 어……!"
0000000000000,プロデューサー,（うん、いい感じに和んだみたいだな）,"(응, 좋은 느낌으로 풀린 거 같다)"
4015001000220040,甜花,"ひゃっ……？　う、うん……
が、頑張ってくる、ね……","꺅…….? 으, 응……
여, 열심히 하고 올, 게……"
0000000000000,プロデューサー,"（元気づけてあげたかったが、
甜花を驚かせてしまったようだ……）","(힘나게 해주려고 했는데,
텐카를 놀래켜버린거 같다……)"
info,produce_communication_cheers/401500100022.json,
译者,,
