id,name,text,trans
1023001000210010,雛菜,"プロデューサー
おはようございます～♡","프로듀서
안녕하세요~♡"
0000000000000,プロデューサー,"おはよう！
あれ……雛菜、今日学校の日じゃ……？","안녕!
어라... 히나나 오늘 학교가는 날이잖아...?"
1023001000210020,雛菜,あは～、そうだったかも～？,"아하~, 그랬을지도~?"
0000000000000,プロデューサー,"だめじゃないか……！
ほら、今からでも向かってくれ！","그러면 안 되잖아...!
자, 지금부터라도 가라고!"
select,,"学校も
楽しめばいいんだ","학교도
재미있게 즐기면 돼"
select,,いってらっしゃい,잘 다녀와
select,,急ぐんだ！,서둘러!
1023001000210030,雛菜,"あは～、仕方ないから
楽しんできます～","아하~, 어쩔 수 없으니까
즐겁게 놀다 올게요~"
1023001000210040,雛菜,"今日あった楽しいこと
あとで全部聞いてね～？","오늘 있었던 즐거운 일
나중에 전부 들어줘야해~?"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
1023001000210050,雛菜,"ん～……
じゃあ、いってきます～","응~...
그러면 다녀오겠습니다~"
1023001000210060,雛菜,帰り、また寄るからね～？,돌아갈 때 또 올게~
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했으려나)"
1023001000210070,雛菜,え～……,에~......
1023001000210080,雛菜,"雛菜が遅いんじゃなくて
１限が早いだけなのに～……","히나나가 늦은 게 아니라
1교시가 빠를 뿐인데~..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽……실수했다. 다른 걸 얘기했으면 좋았을텐데……)
info,produce_communications/102300100021.json,
译者,,
