id,name,text,trans
0000000000000,はづき,"残念ですね……。一次審査を突破できたんですし、
この調子で、と思ったんですけど","아쉽게 됐네요... 1차심사도 통과했고
이 기세로! 라고 생각했는데"
7901001040010,はづき,現実は、なかなか厳しいですね……,현실은 꽤 힘든 법 이네요...
7902001040010,社長,"しかし、新人アイドルと新人プロデューサーにしては、
悪くない結果だった","하지만 신인 아이돌과 신인 프로듀서 치고는
나쁘지 않은 결과였네"
0000000000000,プロデューサー,"でも、まだまだ先にも行けたと思うんです
俺にもっと力があれば……！","하지만 아직 더 앞으로 나아갈 수 있다고 생각했었습니다
제가 더 힘냈었더라면...!"
7901001040020,社長,評価はしているが、弱音を聞きたいわけではないぞ,"좋게 평가하고 있지만, 약한소리 듣고싶은건 아닐세"
7901001040030,社長,"力が足りないのなら、彼女とともに
これから成長していけばいいだけのことだ","노력이 부족한거라면 그녀와 같이
앞으로 성장해나가면 되는 걸세"
0000000000000,プロデューサー,"……そうですね
彼女に、会いに行ってきます","...그렇네요
그녀를 만나고 오겠습니다"
7901001040040,社長,ああ、行ってこい,"그래, 다녀오게"
0000000000000,プロデューサー,"摩美々……
残念だが、二次審査は突破できなかった","마미미...
아쉽게 됐지만 2차심사는 돌파하지 못했어"
7005001040010,摩美々,そうですかぁ……アイドルってー、難しいんですねー……,그런가요... 아이돌이란건 어렵네요-...
0000000000000,プロデューサー,"……なんだ、へこんでいるのか？
俺は、まだへこたれてなんかいないぞ","...뭐야 풀죽어 있는거야?
나는 아직 주저앉지 않는다고?"
0000000000000,プロデューサー,摩美々だって、これから、まだまだ続けていきたいだろ？,마미미도 앞으로 계속 이어해나가고 싶잖아?
7005001040020,摩美々,"……そうですねー
ここでやめちゃったらー、なんか面白くないしー","...그렇네요-
여기서 그만둬 버리면- 뭔가 재미없어지고 말이죠-"
7005001040030,摩美々,もうちょっとだけ、やってみようかなー、って,조금 더 해볼까- 싶네요
0000000000000,プロデューサー,"よし！　それじゃあまた、ビシバシいくからな！
一緒に頑張ろう！","좋아! 그럼 계속 빡세게 나갈거야!
같이 힘내자!"
7005001040040,摩美々,"あー……そうでしたぁ
私、またしごかれちゃうんですねー……","아-...맞다
저 다시 빡세게 구르는거네요-..."
7005001040050,摩美々,"ふふー
面倒くさそうなんで、帰っていいですかぁ？","후후-
귀찮을거 같으니 돌아가도 되나요-?"
info,produce_events/700500104.json,
译者,,
