id,name,text,trans
0000000000000,プロデューサー,"それじゃあ──
思いっきり、やってこい","그럼
있는 힘껏, 해내고 와"
5005002060010,愛依,"あ、そうだ、円陣やろ！　円陣！
ほら、集まって～！","아, 맞다, 동그랗게 서서 구호 외치자!
자, 모여봐~!"
5005002060020,冬優子,"え、円陣ってそんないきなり……
何言うか決めてないし……","에, 그런 걸 갑자기.....
뭐 말할 지도 안 정했는데……"
5005002060030,愛依,え～……？,에~……?
5005002060031,愛依,……じゃ、あさひちゃん、なんか言って！,"……그럼, 아사히쨩, 뭐라도 말해봐!"
5005002060040,冬優子,丸投げじゃない……,그냥 떠넘기냐……
5005002060050,あさひ,…………,…………
5005002060060,あさひ,…………わたしは負けない……,…….....나는 지지 않아……
5005002060070,あさひ,わたしたちは、誰にも負けない……,"우리들은, 누구에게도 지지 않아……"
5005002060080,あさひ,──……わたしたちは……,……우리들은……
5005002060081,一同,……ストレイライト──！,……스트레이라이트!
info,produce_events/500500206.json,
译者,,
