id,name,text,trans
0000000000000,プロデューサー,──お疲れ、樹里,"수고했어, 쥬리"
0000000000000,プロデューサー,"結果は残念だったけど
良いステージだった","결과는 아쉬웠지만
좋은 스테이지였어"
6011003060010,樹里,……プロデューサー,……프로듀서
6011003060020,樹里,ここまで応援してくれて、ありがとな,"지금까지 응원해줘서, 고마워"
0000000000000,プロデューサー,樹里……,쥬리……
6011003060030,樹里,"アタシがこのオーディションに向けて
頑張ってきたことも","내가 이 오디션을 위해서
열심히 해온 것도"
6011003060040,樹里,大勢の人が応援してくれてたことも、全部,"많은 사람들이 응원해준 것도, 전부"
6011003060050,樹里,謝って、終わりになんてできないよな,사과하고 끝을 낼 수는 없겠지
6011003060060,樹里,"だから、ちゃんとお礼してさ、
……それで、また頑張るから","그러니까, 제대로 감사를 하고 말야,
……그래서, 또 열심히 할 테니까"
6011003060070,樹里,──これからも、よろしくな,"앞으로도, 잘 부탁해"
info,produce_events/601100306.json,
译者,,
