id,name,text,trans
0000000000000,プロデューサー,"……やはり、次の現場入りは
ギリギリになってしまいそうだな","……역시, 다음 현장 진입은
아슬아슬하게 될 것 같아 "
0000000000000,プロデューサー,"すまん、咲耶
近くで下ろすから、先に向かってくれるか？","미안해, 사쿠야
근처에서 내려줄 테니까, 먼저 가 줄 수 있을까?"
2006008030010,咲耶,ああ、構わないよ,"아아, 상관없어"
0000000000000,プロデューサー,"少し走らないと間に合わないかもしれない
俺も車を駐車場に停めたら、すぐに合流するから──","조금 뛰지 않으면 제시간에 도착할 수 없을지도 몰라
나도 차를 주차장에 세우면, 바로 합류할테니까"
0000000000000,プロデューサー,……悪いな、バタバタさせてしまって,"……미안한 걸, 허둥지둥해버려서 "
2006008030020,咲耶,アナタが謝ることなど何もないさ,"당신이 사과할 일은 아무것도 없어 "
2006008030030,咲耶,"私のことを待ってくれる人がいるんだ
本当はいつだって、駆け足で向かいたいくらいだよ","나를 기다려주는 사람이 있다면
사실은 언제라도, 달려가고 싶을 정도야 "
0000000000000,プロデューサー,"咲耶らしいな……
でも、無理はしないでくれよ","사쿠야 답네……
하지만, 무리는 하지 말아줘 "
2006008030040,咲耶,"クス。心配してくれているのかい？
ありがとう、プロデューサー","후훗. 걱정해주는 거니?
고마워, 프로듀서 "
2006008030050,咲耶,アナタも、急いで事故など起こさないようにね,"당신도, 서두르다 사고내지 않도록해 "
0000000000000,プロデューサー,"ありがとう
俺なら大丈夫だよ、安全運転を心がけてるしな","고마워
나라면 괜찮아, 안전운전을 유의하고 있으니까 "
2006008030060,咲耶,フフ、それなら安心したよ,"후후, 그거라면 안심했어 "
2006008030070,咲耶,"アナタに何かあったら、私はアナタを急がせた
罪悪感で何をしてしまうかわからないからね……","당신에게 무슨 일이 생기면, 나는 당신을 재촉했다는 
죄책감으로 어떻게 될지 모르니까 말야……"
0000000000000,プロデューサー,ええっ？,에엣?
2006008030080,咲耶,"私の愚行を見て、
アナタはどう思うだろうか……","내 우행을 보고,
당신은 어떻게 생각할까……"
2006008030090,咲耶,"ああ……
そんなことにならなければいいのだけれど……","아아……
그런 일이 되지 않았다면 괜찮겠지만……"
0000000000000,プロデューサー,"わ、わかってるって
そうならないように、充分気を付けるから","아, 알고 있다니까 
그렇게 되지 않도록, 충분히 조심하고 있으니까"
2006008030100,咲耶,フフ……本当かい？,후후…… 정말이니?
select,,心配しすぎだ,"너무 걱정하는 거라니까 "
