id,name,text,trans
4001005070010,千雪,……状況を整理しましょう,상황을 정리해보자
4001005070020,千雪,"甜花ちゃんが休憩をしていたところに、
あのトンビが飛んできた","텐카쨩이 쉬고 있던 도중,
그 솔개가 날아왔다"
4001005070030,千雪,それで、エプロンを取られてしまった,"그래서, 앞치마를 빼앗겨 버렸다"
4001005070040,千雪,"甘奈ちゃんと私は、エプロンを取り戻そうとして
トンビを追いかけている甜花ちゃんを見かけた","아마나쨩이랑 나는, 앞치마를 되찾기 위해
솔개를 뒤쫓고 있는 텐카쨩을 발견했다"
4001005070050,千雪,"途中で合流して──
今、トンビはそこの岩場にとまっている","도중에 합류해서 
지금, 솔개는 저쪽 암벽에 머물고 있다"
4001005070060,千雪,"トンビに、甜花ちゃんのエプロンを持ったまま
飛び立たれる前に、取り戻さないといけない──","솔개가, 텐카쨩의 앞치마를 가진 채
날아가기 전에, 되찾아야 한다 "
4001005070070,千雪,……こういうことで合ってる？,이런 상황이 맞아?
4001005070080,甜花,"ご、ごめんなさい……なーちゃん、千雪さん……
甜花が……甜花がズルして、休んでたから……","미, 미안해......나쨩, 치유키씨......
텐카가......텐카가 농땡이 부리고, 쉬는 바람에......"
4001005070090,甜花,また、ふたりに迷惑……,"또, 두 사람에게 민폐를......"
4001005070100,甘奈,迷惑だなんて思ってないよ甜花ちゃん！,민폐라고 생각 안 해 텐카쨩!
4001005070110,千雪,"そうね……。今回のは、ちょっとだけ
いけないことだったかもしれないけれど……","그래...... 이번엔, 조금
하면 안 되는 일이었을지도 모르지만......"
4001005070120,千雪,"でも、甜花ちゃんはきちんと反省をして、
謝ってくれてるんだもん。大丈夫","그래도, 텐카쨩은 착실하게 반성하고,
사과하고 있는걸. 괜찮아"
4001005070130,甜花,千雪さん……,치유키씨......
4001005070140,千雪,"それに、甜花ちゃんが困ってることを、
迷惑だなんて思ったりしないわ","게다가, 곤경에 처한 텐카쨩을,
민폐라고 생각하고 그러지 않아"
4001005070150,千雪,"みんなで協力して、
あのトンビからエプロンを取り戻しましょう！","다 같이 협력해서,
저 솔개한테서 앞치마를 되찾자!"
4001005070160,甜花,うん……！　ありがとう……！,응......! 고마워......!
4001005070170,甘奈,──でも……," 하지만......"
4001005070180,甘奈,"あのトンビ、ずっとこっち見てるよ
すっごい堂々としてる","저 솔개, 계속 이 쪽 보고 있어
너무 당당한 채로"
4001005070190,甘奈,……なんだか、社長さんみたい,"왠지, 사장님같아"
4001005070200,千雪,"本当……。どうしたら、甜花ちゃんのエプロンを
置いていってもらえるかしら","진짜...... 어떻게 하면, 텐카쨩의 앞치마를
두고 가게 만들 수 있을까"
4001005070210,甘奈,……千雪さん、その手に持ってるのは？,"치유키씨, 손에 든 그건 뭐야?"
4001005070220,千雪,え？,응?
4001005070230,千雪,わぁ、やだ……！,"와아, 이런......!"
4001005070240,千雪,"慌ててたから、フライパン持ったまま
来ちゃったのね……！","당황해서, 프라이팬 든 채로
와버렸네......!"
4001005070250,千雪,"わ、忘れて忘れてっ
それより、作戦会議をしなくちゃ！","이, 잊어버려 잊어버려
그것보다, 작전 회의를 해야 해!"
4001005070260,千雪,どうしたらいいと思う？,어떻게 해야 좋을까?
4001005070270,甘奈,……ビーチボール借りてきて、近くに投げてみる？,"비치볼을 빌려 와서, 가까이 던져볼까?"
4001005070280,甜花,"て、甜花、投げるの、無理……
変なとこいって……当たっちゃったら、可哀想……","테, 텐카, 던지는 건, 안 될 것 같아......
이상한 데 던져서......맞아버리면, 불쌍해......"
4001005070290,甘奈,あー……だよねー……,아 ......그렇네 ......
