id,name,text,trans
0000000000000,プロデューサー,"あれ、咲耶。まだいたのか
もうだいぶ遅い時間だが、大丈夫なのか？","어라, 사쿠야. 아직 있었구나
시간이 많이 늦었는데, 괜찮아?"
1006001030010,咲耶,ああ、ファンレターの返事を書いておきたくてね,"응, 팬레터 답장을  써 두고 싶어서"
0000000000000,プロデューサー,"それにしたって、今日はTVの収録もあったのに……
ちゃんと休んでいないんじゃないのか？","아무리 그래도, 오늘은 TV 녹화도 있었는데……
제대로 쉬지도 못한 거 아니야?"
1006001030020,咲耶,フフ。私なら大丈夫だよ,후후. 난 괜찮아
1006001030030,咲耶,"ファンの子たちをいち早く喜ばせてあげたいからね
休んでなんかいられないよ","팬들을 어서 기쁘게 해주고 싶거든
쉬고있을 시간은 없어"
0000000000000,プロデューサー,"そうか……それにしても、こんな時間までかかるなんて……
いったい、何人分だ？","그래……그나저나, 이런 시간까지 쓰고 있다니……
대체 몇 명한테 쓰고 있는거야?"
1006001030040,咲耶,まだ１人分かな,아직 한 사람째야
0000000000000,プロデューサー,え……？　この長文が！？,뭐……? 이 장문이!?
1006001030050,咲耶,ああ。そうだけど、どうしたんだい？,"응. 그런데, 그게 왜?"
0000000000000,プロデューサー,"……咲耶、熱心なファンはとても大切な存在だ
それは俺もよく分かる","……사쿠야, 열성적인 팬은 매우 소중한 존재야
그건 나도 잘 알고있어"
0000000000000,プロデューサー,だが、くれぐれも無理のない範囲にしてくれよ,"하지만, 아무쪼록 무리만은 하지 말아줘"
0000000000000,プロデューサー,"最近、仕事も増えてきて
ただでさえ休む時間が減ってるだろう","요즘 일이 많아져서
안그래도 쉴 시간이 줄어들었잖아"
1006001030060,咲耶,クス。心配してくれているのかい？,훗. 날 걱정해주는 거야?
1006001030070,咲耶,"大丈夫だよ、まだまだ体力はある
それに、これは私の好きでやっていることだからね","괜찮아, 아직 체력은 남아있어
그리고 이건 내가 원해서 하는 일이잖아"
0000000000000,プロデューサー,なら、いいんだが……,"그렇다면, 다행이지만……"
1006001030080,咲耶,"ところで、プロデューサーの意見を
聞かせてもらいたいんだけど……","그보다, 프로듀서의 의견을
듣고 싶은데……"
1006001030090,咲耶,"ファンの子たちは、
どうしたらもっと喜んでくれるだろう","팬들은,
무엇을 하면 더 기뻐해 줄까?"
0000000000000,プロデューサー,もう充分喜ばせられていると思うぞ,이미 충분히 기뻐하고 있을 것 같은데
1006001030100,咲耶,"ファンの子たちが喜んでくれる方法なら
どんなことでも知りたいんだ","팬들을 기쁘게 만들 수 있는 방법이라면
무엇이든지 알고 싶어"
0000000000000,プロデューサー,"やれやれ……
咲耶は本当に熱心だな","휴우……
사쿠야는 정말 노력하는구나"
0000000000000,プロデューサー,そうだな、あえて言うなら……,"글쎄, 굳이 말하자면……"
select,,"ダンスや歌のレベルを
上げることだな","댄스나 노래 실력을
키우도록 하자"
select,,"ありのままの咲耶で
いることが大事だ","있는 그대로의 모습을
유지하는 게 중요해"
select,,"咲耶自身が
楽しむことが大事だ","너 스스로
즐기는 게 중요해"
0000000000000,プロデューサー,"咲耶のダンスはキレがあってスピード感もある
だが、止めの時に少しブレてしまっているだろう？","사쿠야의 댄스는 절도와 스피드감이 있지만
동작을 멈출 때 조금 흔들리곤 하잖아?"
0000000000000,プロデューサー,"ダンスは土台作りも大切だ
これからは体幹を鍛えることを意識してみてはどうだ？","댄스는 기초를 쌓는 게 중요해
앞으로는 몸을 만드는 것을 의식해보는 게 어떨까?"
1006001030110,咲耶,なるほど……,그렇군……
1006001030120,咲耶,"ありがとう、プロデューサー
もっと美しいパフォーマンスができるよう頑張るよ！","고마워, 프로듀서
좀 더 아름다운 퍼포먼스를 할 수 있도록 노력할게!"
1006001030130,咲耶,"自分のためにも、ファンのためにも、
もっと技術を磨かないとね","나를 위해서도, 팬을 위해서도,
좀 더 기술을 갈고닦아야지"
1006001030140,咲耶,"よし！　このファンレターの返事を書きあげたら
早速レッスンだ！","좋아! 이 팬레터에 답장하고 나면
곧바로 레슨이다!"
0000000000000,プロデューサー,"うーん……。この調子でファンレターを書いていたら
レッスンをするのは深夜になってしまうぞ？","으음……이 속도로 팬레터를 쓰면
레슨은 심야에나 할 수 있을 것 같은데?"
1006001030150,咲耶,"でも、上達するのが早ければ早いほど
ファンに喜んでもらえるだろう？","하지만, 성장이 빠르면 빠를수록
팬들을 기쁘게 해줄 수 있잖아?"
0000000000000,プロデューサー,"はぁ……。熱心なのはいいことだが、もうこんな時間だ
今日は帰って休んだ方がいい","하아……열심인 건 좋지만, 시간도 늦었고
오늘은 이만 돌아가서 쉬도록 해"
0000000000000,プロデューサー,体調管理もアイドルの仕事のうちだぞ,컨디션 관리도 아이돌의 일 중 하나야
1006001030160,咲耶,"……そうだね。今日はレッスンのスケジュールを
立てるだけにしておくよ","……그러네. 오늘은 레슨 스케줄만
세우도록 할게"
1006001030170,咲耶,"よし！　レッスンは明日にしよう
見ていてくれ、プロデューサー！","좋아! 레슨은 내일 시작하자
날 지켜봐 줘, 프로듀서!"
1006001030180,咲耶,でも、それじゃファンは喜んでくれないだろう？,"하지만, 그래선 팬이 기뻐해주지 않잖아?"
0000000000000,プロデューサー,"ファンのみんなは、常に今の咲耶を見て
好きになってくれているんだ","팬들은, 항상 현재의 사쿠야를 보고
좋아해주는 거잖아"
0000000000000,プロデューサー,"無理をしている咲耶を、見たいわけじゃない
かえって不安にさせるぞ","무리하는 사쿠야를 보고싶은 게 아니야
오히려 불안하게만 만들겠지"
1006001030190,咲耶,……確かに、プロデューサーの言う通りだね,"……확실히, 프로듀서 말이 맞아"
1006001030200,咲耶,"けれど……もっと努力すべきだと思うし
努力したくもあるんだ","하지만……난 좀 더 노력해야 한다 생각하고
노력하고 싶기도 해"
1006001030210,咲耶,今のままじゃ、私自身が納得できない……,"지금 이대로는, 나 스스로가 납득할 수 없어……"
0000000000000,プロデューサー,"とはいえ、最近レッスンの量も増やして
ますます頑張っているだろう","그렇다곤 해도, 최근엔 레슨 양도 늘렸고
더욱 더 노력하고 있잖아"
0000000000000,プロデューサー,"咲耶がこの調子でやっていけば、
きっとファンも安心して喜んでくれるぞ","사쿠야가 이대로만 해 나가면,
분명 팬들도 안심하고 기뻐할 수 있을거야"
