id,name,text,trans
5011001000120010,樹里,"……すまねー、プロデューサー
オーディション、落ちちまった","……미안해, 프로듀서
오디션, 떨어져버렸어"
5011001000120020,樹里,"なんつーか、もう少しどうにかなると思ってたんだけどさ
自分の力不足を思い知らされたよ……","뭐랄까, 좀 더 어떻게든 되겠지라고 생각했는데 말야
자신의 역부족을 뼈저리게 느꼈다고……"
0000000000000,プロデューサー,"樹里……
今回の結果は、残念だったな","쥬리……
이번 결과는, 유감이군"
0000000000000,プロデューサー,"だけど、自分の力不足に気づけたことは大きな収穫だぞ
次にやるべきことも、見えてくるはずだ","하지만, 자신의 역부족을 깨달은 것은 큰 수확이라고
다음에 해야 할 일도,  감이 올 거라고 봐"
5011001000120030,樹里,"……！　ああ、わかってる
このままじゃ終われねーよな……","……!　어, 알고있어
이대로는 끝낼 수 없겠지……"
5011001000120040,樹里,"よし、次こそは
ぜってーオーディションに合格してやるぜ！","좋아, 다음에야말로
무조건 오디션에서 합격 해 주겠어!"
5011001000120050,樹里,"プロデューサー
さっそくレッスンに付き合ってくれねーか？","프로듀서
레슨 빨리 도와달라고?"
0000000000000,プロデューサー,"ああ、その意気だ！
その気持ちがあるなら、次こそはきっとうまくいくさ！","그래, 그 기개다!
그런 마음이 있다면, 다음에야말로 분명 잘 될 거야!"
info,produce_communication_auditions/501100100012.json,
译者,,
