id,name,text,trans
3016008010010,千雪,わぁ……！,와아...!
3016008010020,千雪,"雪がいっぱい……！
真っ白……","눈이 잔뜩...!
새하얗게..."
3016008010030,甘奈,"めっちゃすごーい！
雪像に雪の滑り台に……あ、あっち、ツリーもある！","엄청 멋져!
눈 조각상에 눈 미끄럼틀에... 아, 저쪽에 트리도 있어!"
3016008010040,甘奈,"ここまで来るの、ちょっと大変だったけど……
雪まつりでお仕事なんて、なかなかできないもんね！","여기까지 오는건 조금 힘들었지만...
눈 축제에서 일한다는건, 상당히 희귀한 일이지!"
3016008010050,甘奈,"こんなお仕事持ってきてくれた
プロデューサーさんにありがとうだねっ☆","이런 일을 가져다 준
프로듀서님에게 고마워해야겠네☆"
3016008010060,千雪,"ふふっ
せっかくなんだもん、楽しみましょう","후훗
모처럼이니까, 즐겁게 하자"
3016008010070,甘奈,甜花ちゃんも見に来たらよかったのにな～,텐카쨩도 보러왔으면 좋았을텐데~
3016008010080,甘奈,寒いからって宿に直行しちゃうんだもん,추우니까 라면서 숙소로 직행버리는걸
3016008010090,甘奈,せっかく、今日は自由に見て回れるのに……,"모처럼, 오늘은 자유롭게 돌아볼 수 있는데..."
3016008010100,千雪,"うん……
でも、無理しない方がいいわ","응...
하지만, 무리하지 않는편이 좋아"
3016008010110,千雪,甜花ちゃんには、何かあったかーいお土産を……,텐카쨩에게 무언가 따뜻한 선물을...
3016008010111,千雪,──きゃっ,꺄
3016008010120,甘奈,ち、千雪さん大丈夫！？,"치, 치유키씨 괜찮아!?"
3016008010130,千雪,"う、うん……
転びそうになっただけ","으, 응...
넘어질 뻔한 것뿐이야"
3016008010140,千雪,"雪の中を歩いたことって、
あんまりなくて……","눈속을 걸었던 일이
그다지 없어서..."
3016008010150,千雪,"ごめんね
甘奈ちゃん、合わせて歩いてくれてるでしょう？","미안해
아마나쨩, 맞춰서 걷고 있었던 거지?"
3016008010160,甘奈,ううん、甘奈は全然大丈夫……,"아냐, 아마나는 완전 괜찮아"
3016008010161,甘奈,…………そうだ！,맞아!
3016008010170,甘奈,千雪さん！　ペンギンになろう☆,치유키씨! 펭귄이 되자☆
3016008010180,千雪,ペンギン……？,펭귄...?
3016008010190,甘奈,そう！　ほら、甘奈の隣に並んで☆,"그래! 자, 아마나의 옆에 서봐☆"
3016008010200,千雪,うん……,응...
3016008010210,甘奈,普段歩くより短い歩幅で……,평소 걸을때보다 좁은 보폭에...
3016008010220,千雪,短い……歩幅で……,좁은... 보폭에...
3016008010230,甘奈,地面に向かって、まっすぐ足を下ろして……,"지면을 향해서, 곧게 다리를 내리면서..."
3016008010240,千雪,まっすぐ……──,곧게...
3016008010250,甘奈,ね、ペンギンみたいでしょ☆,"그치, 펭귄 같잖아☆"
3016008010260,千雪,"わぁ……！
……ふふ、ほんとだ。ペンギンみたいによちよち歩き","와...!
후후, 정말이네. 펭귄처럼 아장아장 걷기"
3016008010270,甘奈,"あ、今は大丈夫だけど、
朝は雪が凍って滑りやすくなるから気を付けてね！","아, 지금은 괜찮지만
아침에는 눈이 얼어서 미끄러워지니까 조심해!"
3016008010280,甘奈,"氷だから固いし、
変に転ぶとケガしちゃうから！","얼음이니까 단단하고
잘못 넘어지면 다치니까!"
3016008010290,千雪,"わ、うん……！
お仕事、控えてるんだもん","아, 응...!
일을 앞두고 있으니까"
3016008010300,甘奈,でも、今は～……,"그치만, 지금은~..."
3016008010301,甘奈,……えへへっ、いいこと思いついた☆,"에헤헷, 좋은게 떠올랐다☆"
3016008010310,千雪,…………？,......?
3016008010320,甘奈,"ね、千雪さん……
手、繋ごう☆","있지, 치유키씨...
손, 잡자☆"
3016008010330,千雪,"……！
手、繋いでくれるの？","...!
손, 잡아주는거야?"
3016008010340,千雪,"でも……
転んじゃったら、甘奈ちゃんまで──","하지만...
넘어지면 아마나쨩까지..."
3016008010350,甘奈,"大丈夫っ☆
もし転んじゃっても甘奈が支えてあげるから！","괜찮아☆
혹시 넘어지더라도 아마나가 버텨줄테니까!"
3016008010360,甘奈,"もう、遠慮なんてしないでいいんだよ？
……それに……","참, 사양같은거 하지않아도 된다구?
게다가..."
3016008010370,甘奈,雪の中で転ぶと、服が濡れてびちゃびちゃになるよ～？,눈속에서 넘어지면 옷이 젖어서 축축해질거라구~?
3016008010380,千雪,ええっ、それはいや……！,"엣, 그건 싫어...!"
3016008010390,千雪,"じゃあ……
お願いしちゃおうかな","그럼...
부탁해볼까"
3016008010400,甘奈,うん、決まり！,"응, 결정!"
3016008010410,甘奈,……えへへ、あったかいね,"에헤헤, 따뜻하네..."
3016008010420,千雪,"うん、ふふっ
あったかい……","응, 후훗
따뜻해..."
3016008010430,甘奈,"あのね、あのね、
向こうで大きい雪像を作ってるとこなんだって！","있지 있지,
저 너머에서 커다란 눈조각상을 만들고 있대!"
3016008010440,甘奈,せっかくだから、観に行こうよ！,모처럼이니까 보러가자!
3016008010450,千雪,"うん！
一緒に、ペンギンになって","응!
같이 펭귄이 되어서"
3016008010460,甘奈,うん☆,응☆
3016008010461,甘奈＆千雪,短い歩幅で……,좁은 보폭으로...
3016008010462,甘奈＆千雪,まっすぐに足を下ろして……,곧게 다리를 내리면서...
3016008010463,甘奈＆千雪,……ふふっ,후훗
3016008010470,甘奈,"雪飾りに、氷の彫刻……本番はまだだけど、
見られるところが色々あるんだから……ゆっくり歩こうよ","눈 조각상에 얼음 장식... 본방은 아직이지만
볼 것들이 많으니까... 천천히 걸어가자"
3016008010480,甘奈,"あんまり急いでたら
見落としちゃうかもしれないし","너무 서두르면
놓치는게 있을지도 모르니깐"
3016008010490,千雪,……うん。ゆっくり,응. 천천히
3016008010500,千雪,"ふふっ……
ありがとう、甘奈ちゃん","후훗...
고마워, 아마나쨩"
info,produce_events/301600801.json,
译者,,
