id,name,text,trans
1012001001010010,凛世,"プロデューサーさま……
その恰好は……","프로듀서 님...
그 차림새는..."
0000000000000,プロデューサー,"ん？　ああ……
少し時間があるから、掃除でもしようと思ってな","응? 아...
조금 시간이 남아서, 청소라도 하려고 말야."
1012001001010020,凛世,"それでしたら……凛世も、お手伝いいたします
なんなりと……お申しつけください……","그렇다면... 린제도, 도와 드리겠습니다.
무엇이든지... 말씀해 주세요..."
0000000000000,プロデューサー,（たすきまでかけて、すごくやる気だ）,"(어깨끈까지 걸다니, 기합이 잔뜩 들어가 있군.)"
select,,着物が汚れないか？,옷이 더러워질텐데?
select,,そういう格好もいい,그런 옷차림도 좋네.
select,,座ってて大丈夫だぞ,그냥 앉아 있어도 괜찮아.
1012001001010030,凛世,"はい……
袂を……上げておりますので……","예...
소매를... 올리고 있기 때문에..."
1012001001010040,凛世,"たすき掛けは……
古い人々の……美しい知恵でございます……","어깨띠를 걸치는 것은...
옛날 사람들의... 아름다운 지혜입니다..."
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다.)"
1012001001010050,凛世,"少々はしたない格好では……
ございますが……","조금 경박한 옷차림...
입니다만..."
1012001001010060,凛世,"プロデューサーさまの……
お気に召しましたなら……これからも……","프로듀서 님의...
마음에 드신다면... 앞으로도..."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나.)"
1012001001010070,凛世,"はい……
申し訳……ありません……","네...
정말... 죄송합니다..."
1012001001010080,凛世,"あまり……
お役に立てておりませんので……","저는...
별로 도움이 되지 않으니..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽... 실수다. 다른 얘기를 했다면 좋았을 걸...)
info,produce_communications/101200100101.json,
译者,,
