id,name,text,trans
0000000000000,プロデューサー,"（うーん……甜花、遅いな
レッスンの時間をだいぶ過ぎてる……）"," (음……텐카, 늦네
레슨 시간 지나버렸어.....)"
0000000000000,プロデューサー,"（携帯にかけても、家の電話にかけても出ないし……
来る途中で何かあったのか？）"," (휴대폰에 걸어도, 집전화에 걸어도 나오지 않고……
오는 도중에 무슨일이 있는건가?)"
0000000000000,プロデューサー,"心配だな……
ひとまず、家まで行ってみるか","걱정이네……
일단, 집까지 가 볼까"
0000000000000,プロデューサー,……甜花、入るぞ,"……텐카, 들어갈게"
2015003010010,甜花,え……？,어.....?
2015003010020,甜花,あ……プロデューサーさん……,아…… 프로듀서님……
2015003010030,甜花,"え……
なんで……家に……？","에……
왜.....집에……?"
2015003010040,甜花,なーちゃんの……おむかえ……？,나─쨩을.....마중하러?
2015003010050,甜花,"それとも、三者面談……？
甜花、ちゃんとできてないから……？","그렇지 않으면, 삼자면담....?
텐카, 잘 할수 없으니까……?"
0000000000000,プロデューサー,"いや、どれも違うよ……
でも、無事なら良かった","어느 쪽도 아니야.....
그래도, 무사해서 다행이다"
2015003010060,甜花,……？,……?
0000000000000,プロデューサー,甜花がレッスンに来なかったから、迎えに来たんだ,"텐카가 레슨에 오지 않았으니까, 마중 나온거야"
2015003010070,甜花,"え……え……？　レッスンは、明日じゃ……
確か……スマホにも、登録……","에……에…….?   레슨은, 내일이……..
확실히……..스마트폰에도, 등록……."
2015003010080,甜花,あ……,아…… 프로듀서님……
2015003010090,甜花,きょ、今日だった……,"오, 오늘이었다……"
2015003010100,甜花,"ご、ごめんなさい、プロデューサーさん……
甜花……明日だと思ってた、から……","죄, 죄송해요, 프로듀서님…….
텐카……내일인줄 알고있어서……."
0000000000000,プロデューサー,"そうか……事情はわかったよ
とにかく、今は早いとこレッスンに行こう","그런가…….사정은 알았어
어쨌든, 지금은 빨리 레슨하러 가자"
2015003010110,甜花,"で、でも……今から行ったら……遅刻で……
先生、怒らない……？","그, 그래도.....지금 가더라도……지각인데…….
선생님, 화내지 않아…….?"
0000000000000,プロデューサー,たしかに怒られるかもな,확실히 화낼지도
2015003010120,甜花,"ひぅっ……！
や、やっぱり……","히웃……!
여, 역시……."
0000000000000,プロデューサー,"でも、遅れることは連絡してあるしな
もし怒られたら、そのときは俺も一緒に謝るよ","그래도, 늦는다는건 연락했고
혹시 혼난다면, 그때는 나도 같이 사과할게"
2015003010130,甜花,"プロデューサーさん、も……？
じゃあ……い、行ってみる……","프로듀서님도.....?
그럼……..가, 갈래……"
0000000000000,プロデューサー,"うん
俺は外で待ってるから、準備ができたら来てくれ","응
나는 바깥에서 기다리고 있을테니까, 준비되면 나와줘"
0000000000000,プロデューサー,"それにしても……日にちを間違えたのは仕方ないけど、
電話は出なくちゃダメじゃないか","날짜를 잘못안건 어쩔수 없다고 치더라도……
전화를 안받으면 안되지"
0000000000000,プロデューサー,甜花に何かあったのかもしれないって、心配したんだぞ,"텐카에게 무슨일이 생긴건가, 걱정했다고"
2015003010140,甜花,"ごめんなさい……
迷惑、かけちゃった……","죄송해요.....
민폐, 끼쳐버렸다……"
2015003010150,甜花,"えっと……その……電話があったとき、寝てて……
気づかなかった……","그게....그.....전화가 왔을때, 자고있어서……
눈치채지 못했어……"
2015003010160,甜花,"起きて、かけ直そうって、思ったんだけど……
お休みだから……いっかなって……","일어나서, 다시걸자고, 생각했는데……
휴일이니까.....있을까해서……"
0000000000000,プロデューサー,"なるほどな……でも今度からは、
気づいたらすぐ返すようにしてくれ。俺も心配になるから","그렇구나.....그럼 이제부터는,
눈치채자마자 다시 걸어줘. 나도 걱정하니까"
2015003010170,甜花,うん……そうする……,응....그렇게 할게....
0000000000000,プロデューサー,……ま、それはそれとしてだな,"……뭐, 그건 그렇다치고"
2015003010180,甜花,ふぇ……？,후에…….?
0000000000000,プロデューサー,甜花は普段、ずいぶんゆるっとした服を着てるんだな,"텐카는 평소에, 제법 헐렁한 옷을 입고 있구나"
2015003010190,甜花,あうぅ……あれは……,아우우.....이건…….
2015003010200,甜花,"楽だから……
家では、いつも……あんな感じ……","편하니까……..
집에선, 언제나.....이런 느낌……"
2015003010210,甜花,家から、あんまり出ないし……いいかなって……,"집에서, 그다지 나오지 않고.....괜찮을거같에서……."
0000000000000,プロデューサー,まぁ、外に出なければたしかにそうなるか……,"뭐, 밖에 나오지 않으면 확실히 그러겠지……."
2015003010220,甜花,"プロデューサーさん、来るって……
思ってなかった……から……","프로듀서님, 올거라고……..
생각하지 못했……으니까……."
0000000000000,プロデューサー,確かに、いきなり部屋に入ったのは俺だからな,"확실히, 갑자기 내가 방에 들어갔으니까"
0000000000000,プロデューサー,お……もうそろそろ、レッスン場だな,오…….이제 슬슬 레슨실이네
2015003010230,甜花,……ごめんね、甜花のせいで……,"…….죄송해요, 텐카때문에……"
0000000000000,プロデューサー,"俺も間違えることはあるしな。お互い様だよ
それより、覚悟はいいか？","나도 오해하고 있었으니까, 피차일반이야
그것보다, 각오는 됐어?"
2015003010240,甜花,"う、うん……ちゃんと……謝る……
プロデューサーさんと……一緒に……","으, 응.....제대로.....사과할거야……
프로듀서님이랑……함께……."
2015003010250,甜花,……ありがとう、プロデューサーさん,"……고마워요, 프로듀서님"
info,produce_events/201500301.json,
译者,,
