id,name,text,trans
3005007020010,結華,"いや～……
笑った笑った……！！","이야~...
너무 많이 웃었어...!!"
3005007020020,霧子,"うん……
ふふふふっ……","응...
후후후훗..."
3005007020030,恋鐘,うちはあのネタが好き～,내 그 개그 좋다~
3005007020040,恋鐘,──ていくお～ふ！！,--테이크오~프!!
3005007020050,結華,"あははっ……！
やめてよこがたーん！","아하핫...!
그만해 코가따-앙!"
3005007020060,摩美々,ふふふー,후후후-
3005007020070,摩美々,"なんか……
お笑い番組なんて、久しぶりに観たかもー","뭔가...
만담 방송같은거 오랜만에 봤을지도-"
3005007020080,咲耶,ああ。私もだよ,맞아. 나도야
3005007020090,咲耶,それに、初めて知ったコンビだったけれど……,게다가 처음 본 콤비였는데도...
3005007020100,咲耶,"フフ……
テイクオ…………フフッ","후후...
테이크오...후훗"
3005007020110,霧子,ふふっ……！,후훗...!
3005007020120,恋鐘,"はぁ～！
笑いすぎてお腹の苦しか～……！","하아~!
너무 웃어서 배가 아프구마~...!"
3005007020130,結華,"ねー！
もう腹筋が割れちゃいそうだよ～……","진짜-!
이젠 복근이 갈라져버릴거 같아~..."
3005007020140,摩美々,"何それ……
どういう状態ー……ふふ","뭐야 그게...
대체 무슨 시츄에이션-...후후"
3005007020150,摩美々,"──あ
そうだぁ","--아
맞다-"
3005007020160,摩美々,"私、みんなで観ようと思って
DVD持ってきたんだケド……","나, 다 같이 보고 싶어서
DVD가져왔는데..."
3005007020170,咲耶,"おや、奇遇だね
実は私もなんだ","어머, 신기한걸
실은 나도 그래"
3005007020180,結華,お、ふたりとも準備いいじゃん,"오, 두 사람 다 준비가 좋은걸"
3005007020190,恋鐘,どがんDVD～！？,어떤 DVD~!?
3005007020200,摩美々,えっと、私のはぁ──,"음, 내 거는-"
3005007020210,摩美々,"『ザ・ベスト・オブ・レプタイルズ
──バイ・フォーカスチャンネル』","『더・베스트・오브・랩타일즈
--바이・포커스채널』"
3005007020220,恋鐘,……ベスト……れぷ……？,...베스트...렙타...?
3005007020230,恋鐘,……わからんけど、きっとすごかDVDやね……！,"...잘 모르겠지만, 분명히 엄청난 DVD겠구마...!"
3005007020240,摩美々,"ふふー……
すっごいよー","후후-...
엄청나다구-"
3005007020250,摩美々,すっごい、可愛いー……,"엄청, 귀여워-..."
3005007020260,結華,"そっかそっか～……
……さくやんのは！？","그렇구만~...
...사쿠양거는!?"
3005007020270,咲耶,私のは、古いミュージカル映画だよ,내 건 오래된 뮤지컬 영화야
3005007020280,咲耶,"仕事の参考になるかもしれないし……
とても好きな一本でもあるからね","일하는데 참고가 될지도 모르고...
정말 좋아하는 작품이기도 하거든"
3005007020290,霧子,わぁ……,와아...
3005007020300,恋鐘,みんな、どっちから観るとがよか～？,다들 어느쪽부터 보는게 좋나~?
3005007020310,摩美々,"まぁ……時間はいっぱいあるんだし
私はどっちからでも……","뭐...시간은 잔뜩 있으니깐
나는 어느쪽부터건..."
3005007020320,摩美々,"……あ
霧子、メロンソーダ取ってー","...아
키리코 메론소다 줄래-?"
3005007020330,霧子,うん……！,응...!
3005007020340,霧子,"あ……
さっき注いだ分で……最後だったみたい……","아...
아까 따른게...마지막이었나봐..."
3005007020350,摩美々,……え,...에
3005007020360,咲耶,"オレンジジュースでよければ
まだ残っているようなのだけれど……","오렌지쥬스라도 좋다면
아직 남아있는 것 같은데..."
3005007020370,摩美々,"んー……
や、なら……いいかなぁ","음-...
아니, 그럼...괜찮으려나"
3005007020380,摩美々,……別に、今すごく喉が渇いてるってわけじゃないしー,...딱히 지금 엄청 목마른 것도 아니구-
3005007020390,恋鐘,ん～？,음~?
3005007020400,結華,……,...
3005007020410,結華,"──……あ
三峰もさきイカがなーい！","--...아
미츠미네도 오징어채가 없어-!"
3005007020420,結華,"さきイカがない上映会なんて、
上映会とは呼べないかも……！","오징어채가 없는 상영회라니,
상영회라곤 부를 수 없을지도 몰라...!"
3005007020430,咲耶,それは……由々しき事態だね,그건...중대한 사태인걸
3005007020440,恋鐘,そいやったら、うちもなんか甘いもんが欲しか～,그라고보니 내도 뭔가 단걸 마시고싶구마~
3005007020450,結華,となるとー……,그렇다면-...
3005007020460,結華,これは、アレしかないですかねぇ,"이건, 그거밖에 없겠죠-?"
3005007020470,摩美々,ですかねー,그렇겠죠-
3005007020480,霧子,……？,...?
3005007020490,摩美々,"ふふー……
買い出しだよー","후후-...
장보러 나가는거야-"
3005007020500,結華,──深夜のコンビニまで！,--심야의 편의점까지!
3005007020510,霧子,わぁ……買い出し……！,와아...장보러...!
3005007020520,恋鐘,んふふ～！　よかね～！,응후후~! 좋구마~!
3005007020530,恋鐘,そいじゃあコンビニまで……,그라믄 편의점까지...
3005007020540,恋鐘,──ていくお～ふ！！,--테이크오~프!!
3005007020550,咲耶,……フフッ,...후훗
info,produce_events/300500702.json,
译者,,
