id,name,text,trans
2012004010010,凛世,"それでは……プロデューサーさまは……
もう……","그러니까……프로듀서님은……
이미……"
2012004010020,凛世,"はい……
……今朝の便で……","네……
……오늘 아침 비행기로……"
2012004010030,凛世,そうなのですね……,그렇군요……
2012004010040,凛世,"……
プロデューサーさま……","……
프로듀서님……"
0000000000000,プロデューサー,『凛世、すまない』,"『린제,  미안해.』"
0000000000000,プロデューサー,『急な出張が入って、３日ほど戻れない』,"『급한 출장이 잡혀서,  3일 정도 오지 못할거 같아.』"
0000000000000,プロデューサー,"『明日の立ち合いはできなくなるけど、
いつも通り、よろしく頼むな！』","『내일 참관 할 순 없겠지만, 
늘 그랬듯이,  잘 부탁할게!』"
2012004010050,凛世,"プロデューサーさま……
はい……","프로듀서님……
네……"
0000000000000,プロデューサー,凛世、大丈夫かな,"린제,  괜찮으려나."
0000000000000,プロデューサー,（心配しても仕方ないけど……）,(걱정해도 어쩔 수 없지만……)
0000000000000,プロデューサー,あっちも雨、だよな……,저쪽도 비가 온다고 했지……
2012004010060,凛世,プロデューサーさま……,프로듀서님……
2012004010070,凛世,あちらも……雨でしょう……,그쪽도……비가 오겠지요……
2012004010080,凛世,"（プロデューサーさまが……
ご無事で帰られますよう……）","(프로듀서님이……
별탈없이 돌아오실 수 있기를……)"
0000000000000,プロデューサー,"『凛世、今日は大丈夫そうか？
近くにいられなくて悪いけど、応援してるぞ』","『린제,  오늘은 괜찮아?
곁에 있어주지 못해 미안하지만,  응원하고 있어.』"
0000000000000,プロデューサー,送信、と……,송신……
0000000000000,プロデューサー,"（足元が悪いよな……
服が濡れないといいけど）","(땅이 질척거리네……
옷이 젖지 않으면 좋을텐데)"
0000000000000,プロデューサー,……,……
2012004010090,凛世,……,……
2012004010100,凛世,"プロデューサーさま……
ふふ……","프로듀서님……
후훗……"
2012004010110,凛世,ご心配くださって……いるのですね……,걱정해 주시고……계시는군요……
2012004010120,凛世,"凛世は……必ずやご期待に……
お応えしてみせます……","린제는……꼭 기대에……
부응하겠습니다……"
0000000000000,プロデューサー,今日も雨か……,오늘도 비가 오네……
0000000000000,プロデューサー,"（凛世……
昨日、うまくやれたかな……）","(린제……
어제,  잘 했으려나……)"
0000000000000,プロデューサー,"俺もちゃんと仕事取ってこなきゃな……
がんばるか……！","나도 제대로 일을 가져와야겠지……
힘내자……!"
2012004010130,凛世,"……
…………","……
…………"
2012004010140,凛世,すー……,슈웅ㅡ……
2012004010150,凛世,"（凛世も……
折り紙の飛行機で……参りましょう……）","(린제도……
종이 비행기로……뵈러 갑니다……)"
2012004010160,凛世,"緋の飛行機……
…………紺の飛行機……","주홍빛 비행기……
…………쪽빛 비행기……"
2012004010170,凛世,空色の飛行機……,하늘빛 비행기……
2012004010180,凛世,"お仕事は……順調でしょうか……
プロデューサーさま……","일은……잘 되어 가나요……
프로듀서님……"
2012004010190,凛世,……,……
