id,name,text,trans
1010001001010010,智代子,次のお休み、何しよっかなぁ……,"다음의 휴가, 무얼 하면 좋을까……"
0000000000000,プロデューサー,決めてないのか？,아직 결정하지 않은 거야?
1010001001010020,智代子,"そうなんです……
プロデューサーさん、何かいいアイディアありませんか？","네에…… 프로듀서님, 
뭔가 좋은 생각은 없으세요?"
0000000000000,プロデューサー,（休日の過ごし方か……）,(휴일에 시간을 보내는 방법인가……)
select,,"スイーツ店めぐりは
どうだ？","디저트 가게의 순회라던가는
어때?"
select,,"服を見に行ったり、
とか？","옷을 보러 가는 건, 
어떨까?"
select,,家でしっかり休もう,"집에서 느긋하게 
휴식을"
1010001001010030,智代子,うっ……！　その言葉にはすごーく引かれるんですが……！,웃……! 그 말대로 하는 게 굉장히 끌리긴 하지만……!
1010001001010040,智代子,"最近食べ過ぎな気がするし、我慢しなきゃと……！
ああっ、でもでも……！　やっぱり新作気になるし……！","최근에 과식한 기분이 들어서, 참지 않으면 안 되니까……! 
아앗, 그렇지마안……! 역시 새로운 메뉴도 궁금하고……!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다.)"
1010001001010050,智代子,流行を追うのはアイドルとしても大事なことですもんね,유행을 쫓는 것은 아이돌로서도 중요한 일인 걸요
1010001001010060,智代子,"それに、お洋服見るのも楽しいですし！
そうすることにします！","거기에, 옷을 보는 건 즐겁기도 하니까! 
그렇게 하도록 하겠습니다!"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나.)"
1010001001010070,智代子,そ、そうですよね。やっぱり休むのって大事ですし……,"그, 그런가요. 역시 휴식하는 건 중요하기도 하고……"
1010001001010080,智代子,"でも……う～ん……。ゴロゴロしてるうちに
一日が過ぎちゃうのが、ちょっともったいなくて……","그치만…… 으~응……. 뒹굴뒹굴하는 동안에 
하루가 지나버리는 건, 조금 아깝네요……"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수다. 다른 걸 말했다면 좋았을텐데……)
info,produce_communications/101000100101.json,
译者,,
