id,name,text,trans
2002009020010,灯織,……,……
0000000000000,プロデューサー,……あれ,……어라
0000000000000,プロデューサー,灯織？　……どうかしたか,히오리? ……무슨일 있니?
2002009020020,灯織,あ、いえ……,"앗, 아뇨……"
2002009020030,灯織,すみません、なんでもないです,"죄송해요, 아무것도 아니에요."
0000000000000,プロデューサー,……特急が気になるのか？,……어디 특급 열차인지 궁금하니?
2002009020040,灯織,いえ、特急がというか……,"아뇨, 특급 열차보다는요……"
2002009020050,灯織,行先が、知らないところだったので……,"목적지가, 모르는곳으로 가길래요……"
0000000000000,プロデューサー,あれは……甲信越の方だな,저긴…… 고신에쓰쪽이구나
2002009020060,灯織,甲信越……,고신에쓰……
0000000000000,プロデューサー,行ってみたいのか？,가보고 싶니?
2002009020070,灯織,……そうですね、遠いところに行きたいなとは、思います,"……글쎄요, 먼 곳으로 가보고 싶은적 있긴해요."
2002009020080,灯織,知らない場所とか、風景とか、そういうのに触れたいなって,"모르는 장소라던지, 풍경이라던지, 그런걸 느끼고 싶어서"
0000000000000,プロデューサー,……それは、……いや,"……그건, ……아냐."
0000000000000,プロデューサー,うん、特急の旅、見聞を広めるのにいいと思うぞ,"응, 열차 여행, 견문을 넓히기엔 좋다고 생각해."
2002009020090,灯織,"ああいえ、すみません、そういうのじゃなくて……
ちょっと自分を客観的に見たいなって","아 아뇨, 죄송해요, 그런게 아니라……
조금 스스로를 객관적으로 보고 싶어서요."
2002009020100,灯織,突発的……衝動的に電車に飛び乗るみたいな……,돌발적으로…… 충동적으로 전철에 올라타는 것 같은……
2002009020110,灯織,──結局、私にはそんな決心もつかないんですけど……,"──결국, 저로선 그런 결심은 할 수 없겠지만……"
0000000000000,プロデューサー,そうか……決心……,그렇구나…… 결심……
0000000000000,プロデューサー,"それは……もしかするとさ、
降りたい駅が決まってないからじゃないかな……？","그건…… 혹시 말이지,
내리고 싶은 역이 정해지지 않았기 때문이지 않을까……?"
0000000000000,プロデューサー,"灯織は行き先がはっきりしていれば、
迷わず動いていけるじゃないか","히오리는 목적지가 뚜렷해지면,
망설임 없이 움직일거잖아."
2002009020120,灯織,……,……
2002009020130,灯織,行き先がはっきりしてない……,목적지가 확실하지 않다……
2002009020140,灯織,……そうかもしれません,……그럴지도 모르겠네요.
2002009020150,灯織,"どこに行きたいのか、降りたいのか……
自分でわかってないから、はっきりしてないから……","어디에 가고 싶은지, 내리고 싶은지……
스스로가 모르니까, 뚜렷하지 않으니까……"
2002009020160,灯織,"遠くに行きたいとは思うけど、
思うだけで、漠然としてるから……","먼 곳에 가고 싶다곤 생각하지만,
생각만, 막연하게 하고 있으니까……"
