id,name,text,trans
1010001000510010,智代子,……今日は、一日お菓子を我慢します……！,"…… 오늘은, 하루 동안 과자를 먹지 않겠습니다……!"
1010001000510020,智代子,"なぜなら、朝ご飯の後に、菓子パンをふたつ
食べてしまったからです──！","왜냐하면, 아침밥을 먹은 뒤에, 달콤한 빵을 두 개
먹어버렸기 때문에ㅡ!"
0000000000000,プロデューサー,悲しい決意だな……,슬픈 결심이구나……
0000000000000,プロデューサー,（ずいぶんと悩んで決めたようだが……）,(꽤나 고민해서 결정한 것 같지만……)
select,,"レッスンや仕事で
消費すればいい","레슨이나 업무에서
소비하면 괜찮아"
select,,"朝ごはんはいっぱい
食べた方がいい","아침밥은 많이
먹는 쪽이 좋아"
select,,それは食べ過ぎ,그건 과식이잖아
1010001000510030,智代子,"はっ！　我慢しなくても、その手がありましたね……！
プロデューサーさん、名案です！　さすが！","핫! 굳이 참지 않아도, 그 방법이 있었네요……!
프로듀서님, 명안이네요! 역시!"
1010001000510040,智代子,"食べちゃった分、そしてこの後食べる分、
今日は人一倍動き回ります！","먹은 만큼, 그리고 그 뒤 먹는 만큼,
오늘은 두 배로 활약하겠습니다!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다.)"
1010001000510050,智代子,"そうなんですか！？
……それじゃあ、パンもうひとつ食べてくればよかったなぁ","그런가요!?
…… 그러면, 빵을 한 개 더 먹었으면 좋았을텐데~"
1010001000510060,智代子,惜しいことをしましたっ……！,아깝게 되었네요……!
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나.)"
1010001000510070,智代子,"や、やっぱり食べ過ぎですよね……？
ううっ、なんとかしなきゃ……","여, 역시 과식이겠죠……?
우웃, 어떻게든 하지 않으면……"
1010001000510080,智代子,はぁ……ひとつめのパンで終わっておけば……！,하아…… 첫 번째의 빵으로 끝냈어야 하는데……!
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수다. 다른 걸 말했다면 좋았을텐데……)
info,produce_communications/101000100051.json,
译者,,
