id,name,text,trans
1021001000710010,円香,"今日は朝から出かけるって
言ってませんでしたっけ","오늘은 아침부터 나간다고
하지 않았나요"
0000000000000,プロデューサー,"ああ、そうだ
そろそろ出ないと──","아, 맞다
슬슬 나가야겠네──"
1021001000710020,円香,あの時計、止まっていますよ,"저 시계, 멈춰있어요"
0000000000000,プロデューサー,えっ！,뭐!
select,,ありがとう！,고마워!
select,,まずい！,위험해!
select,,う、嘘だろ！,"거, 거짓말이지!"
1021001000710030,円香,……はいはい,……네네
1021001000710040,円香,"せいぜい頑張って、
コメツキバッタみたいに謝ってきてください","가능한 한 열심히,
방아깨비처럼 사과하고 오세요"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"（좋아, 즐겁게 얘기했다）"
1021001000710050,円香,やっぱり気付いてなかったんですね,역시 눈치 못 채셨었네요
1021001000710060,円香,だとしても、時間感覚が無さすぎじゃないですか,"그렇다고 해도, 시간감각이 너무 없는 거 아닌가요"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"（뭐, 평범하게 얘기했으려나）"
1021001000710070,円香,大声、出さないでください,큰 소리 내지 말아주실래요
1021001000710080,円香,……教えなければよかった,……알려주지 말걸 그랬네
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,（윽……실수했다. 다른 걸 얘기했으면 좋았을텐데……）
info,produce_communications/102100100071.json,
译者,,
