id,name,text,trans
0000000000000,プロデューサー,どうした？　少し元気ないな,무슨일 있어? 기운 없어보여
1014001000610010,甘奈,"うーん
最近、少しハードだったからちょっと疲れてるのかもね","으―응
요새, 조금 하드하게 해서 살짝 피곤해서 말야"
1014001000610020,甘奈,"でも、大丈夫だよ☆
今日もがんばらないとね！","하지만 괜찮아☆
오늘도 열심히 해야지!"
0000000000000,プロデューサー,（ここはひとつ、元気づけよう）,"(이럴 땐, 한 마디 해줘서 기운나게 해주자)"
select,,俺も一緒に頑張るぞ,나도 같이 열심히 할게
select,,"ストレッチをすると
少し楽になるぞ","스트레칭 하면
조금 좋아질거야"
select,,"時々、
休むのも大事だぞ","가끔,
쉬는것도 중요하다구"
1014001000610030,甘奈,"ほんとー？
えへへ、それなら甘奈もがんばれちゃうかな☆","진짜―?
에헤헷, 그러면 아마나도 열심히 해야겠네☆"
1014001000610040,甘奈,"励ましてくれたんだよね？
ありがと、プロデューサーさん！","격려 해준 거지?
고마워, 프로듀서님!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기한거 같다)"
1014001000610050,甘奈,"こうかな？
……んー、確かにちょっと身体が軽くなった気がするよ！","이렇게 말야?
......으―, 확실히 좀 몸이 가벼워진거 같아!"
1014001000610060,甘奈,"これから疲れた時は
ストレッチをしてみるね！","이제부터 지쳤을 땐
스트레칭 해야겠다!"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐어, 평범하게 얘기한거 같다)"
1014001000610070,甘奈,"うん
休むのが大事だってこと、甘奈もわかってるよ","응,
휴식도 중요하다는거, 아마나도 알고 있어"
1014001000610080,甘奈,"でも、レッスンも大事だから、
普段からの管理を気を付けるね！","하지만, 레슨도 중요하니까,
평소에 조심해서 관리할게!"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽...... 실수했다. 다른 얘기를 했다면 좋았을 걸......)
info,produce_communications/101400100061.json,
译者,,
