id,name,text,trans
0000000000000,プロデューサー,そういえば、千雪は朝からしゃっきりしてるよな,"그러고보면, 치유키는 아침부터 생기가 넘치네 "
1016001000710010,千雪,"そうですか？
……ふふ、たしかに、朝ってけっこう好きな時間帯かもです","그런가요?
......후후, 확실히, 아침은 꽤 좋아하는 시간대 일지도 모르겠네요"
1016001000710020,千雪,"最近はランニングをするようにもしてるんですよ
朝に走ると、風がとても気持ちよくて","최근엔 런닝을 하려고도 해요
아침에 달리면, 바람이 정말 기분 좋아서요"
0000000000000,プロデューサー,"（今朝を思い出しているのか
話してる千雪も楽しそうだ）","(오늘아침을 생각하는 건지 
이야기하는 치유키도 즐거워 보이네)"
select,,俺も走っていいか？,나도 같이 뛰어도 될까?
select,,"すれ違う人が
挨拶してくれるよな","스쳐가는 사람이
인사해 주지"
select,,"朝は眠くて、
俺には無理だな","아침은 졸려서,
나한테는 무리야"
1016001000710030,千雪,わぁ、それ、素敵です！,"와아, 그거, 멋지네요!"
1016001000710040,千雪,"プロデューサーさんと一緒なら
いつもよりたくさん走れそうです♪","프로듀서님과 함께라면
평소보다 많이 달릴 수 있을 것 같아요♪"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
1016001000710050,千雪,"そうなんですよ
みなさん笑顔で挨拶をしてくれるので","그렇네요
모두 웃는 얼굴로 인사해 주셔서"
1016001000710060,千雪,今日も一日頑張ろうって思えちゃうんですよね♪,오늘 하루도 열심히하자고 생각하게 되버려요♪
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기 했나)"
1016001000710070,千雪,プロデューサーさん、もしかして朝が弱いんですか……？,"프로듀서님, 혹시 아침이 약하신가요......?"
1016001000710080,千雪,"ダメですよ？
あんまり遅くまでダラダラしてたら","안된다구요?
너무 늦게까지 뒹굴뒹굴하고 있으면"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽......실수다. 다른 걸 얘기했으면 좋았을 걸......)
info,produce_communications/101600100071.json,
译者,,
