id,name,text,trans
3014010020010,甘奈,……,……
3014010020020,甜花,……,……
3014010020030,甘奈,よし……！,좋아……!
3014010020040,甘奈,"『今日の爪
似合ってるかな　どうかなあ』","『오늘의 네일
잘어울리는 걸까 / 어떤 것 같아』"
3014010020050,甜花,"にへへ……
なーちゃん、ぽくて……可愛──","니헤헤……
나쨩, 같아서…… 귀여워──"
3014010020060,甜花,あ……！,아……!
3014010020070,甜花,え、えと……えっと……,"그, 그러니까…… 저기……"
3014010020080,甜花,"『えーっとね
なーちゃんぽくて　いい感じ』","『어 그러니까
나쨩 스타일이라 / 괜찮은 느낌』"
3014010020090,甜花,………………,………………
3014010020100,甘奈,"『ありがとう
甜花ちゃんもね　かわいーよ』","『정말 고마워
텐카쨩도 말이야 정말 귀여워』"
3014010020110,甜花,"『褒められた
わーいやったね　嬉しいな』","『칭찬받았다
야호 야호 신난다 / 정말 기뻐라』"
3014010020120,千雪,お疲れ様です,수고하십니다
3014010020130,甘奈,"『そういえば
今日のレッスン　何時から』","『그러고보니 
오늘 레슨시간이 / 몇시부터지』"
3014010020140,甜花,うーん……,으음……
3014010020150,甜花,"『夕方に
レッスン室で　一時間』","『저녁때부터
예약한 레슨실에 / 한시간동안』"
3014010020160,甜花,……ふぅ……,……후우……
3014010020170,千雪,？,?
3014010020180,甘奈,甜花ちゃんやるぅ～☆,텐카쨩 꽤 하네~☆
3014010020190,甘奈,あ！,아!
3014010020200,甘奈,おほん……,크흠……
3014010020210,甘奈,"『さすがだね
甘奈も負けて　いられない』","『대단하구나
아마나도 지고만 / 있을 순 없지』"
3014010020220,千雪,ふたりとも、なあに？,"두사람 다, 뭐어해?"
3014010020230,甘奈,あ！　これはね！,아! 이건 말이지!
3014010020240,甜花,なーちゃんが……考えた、ゲーム……！,"나쨩이…… 알려준, 게임……!"
3014010020241,甘奈＆甜花,！,!
3014010020242,甘奈＆甜花,……,……
3014010020250,甘奈,"『甜花ちゃん
いったん休憩　いれようか』","『텐카쨩 잠깐
일단 숨 좀 돌리고 / 쉬었다 하자』"
3014010020260,甜花,"『そうしよう
これじゃ説明　始まらない』","『그렇게하자
이러면 설명을 못  / 하게되니까』"
3014010020261,甘奈＆甜花,はぁ……,하아……
3014010020270,千雪,ふふっ、ははーん……,"후훗, 아하……"
3014010020280,千雪,"なんとなく　わかっちゃったな
その遊び","왠지 모르지만 알았어
그 놀이"
3014010020290,甘奈,えへへ,에헤헤
3014010020300,甘奈,"お茶会からの帰りに甜花ちゃんと話してて
何か他にも『和』っぽいことしたいねーってなったの☆","다도회에서 돌아오는 길에 텐카쨩하고 얘기하다가
그 밖에도 뭔가 『화(和)』스러운 일을 하고 싶단 얘기가 됐어☆"
3014010020310,甜花,それで……なーちゃん、思いついた……,"그래서……나쨩이, 생각해냈어……"
3014010020320,千雪,可愛い遊び……！,귀여운 놀이……!
3014010020330,千雪,──それでは、私も一句,"──그러면, 나도 한 구절"
3014010020340,千雪,"『山笑い　
ふたごも笑う　午後なりき』","『산이 웃는다　
쌍둥이도 웃는다 / 오후의 한때』"
3014010020350,千雪,"──『山笑う』は春の季語なの
ふたりが笑ってて……","──『산이 웃는다』는 봄의 계절어야
두사람이 웃고 있어서……"
3014010020360,千雪,とっても楽しい春の午後だなっていう句……,무척 즐거운 봄날의 오후구나 하는 구절……
3014010020370,甘奈,"わぁ～！
めっちゃ綺麗～☆","와아~!
엄청 이뻐~☆"
3014010020380,甜花,千雪さん……す、すごい……！,"치유키씨…… 괴, 굉장해……!"
3014010020390,千雪,どういたしまして,별말씀을
3014010020400,甘奈,"季語とかも……！
どうしたら思いつけるの？","봄의 계절어 같은 것도……!
어떻게 생각난 거야?"
3014010020410,千雪,"うーん……
ほんとはちゃんとセオリーがあるんだと思うけど……","으음……
사실은 확실히 이론이 있다고 생각하는데……"
3014010020420,千雪,"私は自己流……！
素敵な季語を知ると、イメージが膨らんでくるかも","나는 자기류……!
멋진 계절어를 알고 있으면, 이미지가 부풀어 오를지도"
3014010020430,甜花,な、なるほど……！,"그, 그렇구나……!"
3014010020440,甘奈,"甘奈たちもね
最初はちゃんとやろうと思ってたの","아마나네도 
처음에는 제대로 하려고 했었어"
3014010020450,甘奈,"そしたらふたりとも全然
何も言えなくなっちゃったんだ～","그랬더니 우리 둘다 전혀
아무 말도 못하겠더라구~"
3014010020460,甜花,"うん……だから……
形だけ……","응…… 그래서……
형태만……"
3014010020470,甘奈,"けど、さっきの千雪さんの歌聞いたら
ちゃんとやりたくなっちゃった！","그래도, 방금 치유키씨의 시를 들었더니
제대로 하고 싶어졌어!"
3014010020480,甘奈,帰りに本買って調べてみる！,돌아가는 길에 책 사서 조사해볼래!
info,produce_events/301401002.json,
译者,,
