id,name,text,trans
6013003070010,夏葉,"──ここで勝ち抜けば、
有言実行、ね","──여기서 이긴다면
유언실행이네"
0000000000000,プロデューサー,ああ、そうだな,"아아, 그렇구만"
0000000000000,プロデューサー,"…………
『有栖川夏葉は、『G.R.A.D.』で優勝します』","............『아리스가와 나츠하는
『G.R.A.D』에서 우승하겠습니다』"
6013003070020,夏葉,"うふふ、
それ、アナタが言うの？","우후후
그거, 당신이 말하기야?"
0000000000000,プロデューサー,"プロデューサーとしても
宣言しておこうかと思って","프로듀서로써도
선언해둘까 생각해서 말이지"
0000000000000,プロデューサー,うちの担当アイドルが、トップだってさ,"내 담당 아이돌이, 정점이다"
6013003070030,夏葉,"──有栖川夏葉担当プロデューサー、
『G.R.A.D.』決勝舞台袖で堂々優勝宣言","──아리스가와 나츠하의 담당 프로듀서,
『G.R.A.D』결승 무대 옆에서 당당히 우승 선언"
6013003070040,夏葉,また記事が出るわね,또 기사가 나오겠네
0000000000000,プロデューサー,"大丈夫、『有栖川夏葉『G.R.A.D.』優勝』で
もう誌面はいっぱいだろうから","괜찮아, 『아리스가와 나츠하, 『G.R.A.D』 우승』
으로 지면이 가득 채워질테니까"
6013003070050,夏葉,"……ええ！
有言実行、しなくちゃね","......응!
유언실행, 해야겠네"
info,produce_events/601300307.json,
译者,,
