id,name,text,trans
3011003020010,樹里,"お、夏葉
お前も来てたのか","오, 나츠하
너도 와 있었냐."
3011003020020,夏葉,"ええ、ちょうどジョギングから
帰って来たところよ","응, 방금 조깅하고
돌아온 참이야."
3011003020030,樹里,"なんだ、また走ってたのか？
あいかわらず、よくやるな","뭐야, 또 뛰었냐?
여전히 대단하구만."
3011003020040,夏葉,"ふふ、なんだか走るのが楽しくて
アナタとのジョギングのお陰かしら","후후, 왠지 달리는 것이 즐거워서.
너랑 했던 조깅 덕분일까."
3011003020050,樹里,"……まぁ、やる気になったのは
良かったけどよ","...뭐, 의욕이 넘쳤던 건
좋았지만."
3011003020060,樹里,あの後、帰りがほんとに大変だったからな……,"그 뒤에, 귀가하는 거 장난 아니었으니까..."
3011003020070,夏葉,ええ、そうね……,"네, 그래요..."
3011003020080,夏葉,"何も考えずに走り続けて、
帰り道も覚えていなかったせいとは言え、ね","아무 생각 없이 달리고 나니, 
돌아가는 길조차 기억나지 않았다, 그런 거네."
3011003020090,樹里,"道を聞こうにも人がいねぇから、
あっちだこっちだ言いながら、道を探して……","길을 물어보려고 해도 주위에 사람이 없어서, 
여기저기 헤매고 다녀서..."
3011003020100,樹里,"ったく、この年で迷子になるとは
思わなかったよ","참나, 이 나이 먹고 미아가 될 줄이야.
상상도 못했어."
3011003020110,夏葉,"本当ね。迷子になった理由も
樹里を追い抜くのに夢中になったせいだもの","정말이야. 미아가 된 이유도
쥬리를 따라 잡는 데 열중했기 때문이라니."
3011003020120,樹里,"次の日は次の日で、
筋肉痛でレッスンが大変だったしよ","다음날, 그 다음날까지도
근육통 때문에 레슨이 고생이었다고."
3011003020130,夏葉,"あら、それは鍛え方が足りないのよ
私は普段から鍛えてるから、どうってことなかったわ","어머, 그건 단련이 부족해서 그런 거야.
나는 평소에 단련하고 있었으니까, 아무렇지도 않았어."
3011003020140,樹里,そういう夏葉も痛そうにしてただろ,그렇게 단련했다는 나츠하 님도 꽤 고통스러워 했지.
3011003020150,夏葉,してない！,안했어!
3011003020160,樹里,"い－や、たまに痛そうに
顔をしかめてただろ","이야~, 어지간히도 아팠는지
간간히 얼굴을 찌뿌리곤 했었지."
3011003020170,夏葉,……してない,...안 그랬어.
3011003020180,樹里,"ははっ
夏葉って、結構意地っ張りだよな","하핫.
나츠하는 정말 고집쟁이라니까."
3011003020190,夏葉,"……事実を言ってるだけよ
日々の鍛錬は欠かしてないから","...사실을 말하고 있는 것 뿐이야.
매일 단련을 거르지 않고 있으니까."
3011003020200,夏葉,アナタも普段から運動した方がいいわよ？,너도 평소에 운동하는 편이 좋다구?
3011003020210,樹里,だから運動してるっての,그러니까 운동하고 있대두.
3011003020220,樹里,"あの日はウォ－ミングアップを
ちゃんとやらなかったせいだ","그날은 워밍업을
제대로 하지 않았기 때문이야."
3011003020230,夏葉,ま、そういうことにしておくわ,"뭐, 그런 걸로 해둘게."
3011003020240,樹里,"……あれ
そういや、なんで走ることになったんだっけ","...어라.
그러고 보니, 왜 달리자고 했더라?"
3011003020250,夏葉,"さぁ……どうだったかしら
覚えてないわね","글쎄... 왜 그랬을까.
기억이 잘 안 나네."
3011003020260,夏葉,"あの高台の綺麗な景色は、
よく覚えてるんだけどね","그 언덕에서 본 아름다운 경치는
선명히 기억하고 있지만."
3011003020270,樹里,"そうだな。あれで一気に
いろんなことがどうでもよくなった気がする","그러게. 그 경치 하나만으로
무슨 일이 있었든지 간에 상관없게 됐어."
3011003020280,夏葉,"先に着いた私が景色に目を奪われていたら
アナタが追い付いてきたのよね","먼저 도착한 내가 노을에 푹 빠져 있었을 즈음에
네가 뒤따라 왔었지."
3011003020290,樹里,"ん？　ちょっと待て
おかしくね？","응? 잠깐, 
뭔가 이상한데?"
3011003020300,夏葉,何が？,뭐가?
3011003020310,樹里,最初に着いたのはアタシだったろ？,먼저 도착한 것은 나였을 텐데?
3011003020320,夏葉,"何言ってるの？
私の方が間違いなく早く着いたわ","뭐라는 거니?
내 쪽이 확실하게 먼저 도착했었어."
3011003020330,樹里,だから、それはアンタの勘違いだっての！,"그러니까, 그건 니 착각이라고!"
3011003020340,樹里,"そんなに言うならもう一回
ジョギングで勝負すっか！？","그렇게 말할거면, 다시 한번
조깅으로 승부할까!?"
3011003020350,夏葉,"望むところよ
わざわざ連敗したいだなんて、アナタも変わり者ね","좋아, 바라던 바야.
일부러 연패를 당하고 싶다니, 너도 참 괴짜네."
3011003020360,樹里,よ－し、やってやろ－じゃね－か！,"좋~아, 한 판 해보자고!"
3011003020370,夏葉,"いつでもいいわよ
私はいつでもベストコンディションだから","언제든 덤벼도 좋아.
난 언제나 베스트 컨디션이니까."
3011003020380,樹里,"言うじゃね－か
負けた後で言い訳すんなよ？","말은 참 잘한다.
지고 나서 변명이나 하지 말라구?"
3011003020390,樹里,……ははっ,...하핫.
3011003020400,夏葉,……ふふっ,…… 후훗
3011003020410,樹里,"あ－あ、ほんとアタシたち
子どもみたいだな","아~아, 우리들 진짜
초딩 같네."
3011003020420,夏葉,ええ、そうね,"응, 그렇네."
3011003020430,樹里,"……なあ、今度また走らないか？
勝負は抜きで","...있지, 다음에 또 달리지 않을래?
승부는 제쳐 두고."
3011003020440,夏葉,"ええ、付き合ってあげてもいいわ
いつなら空いてるかしら？","그래, 같이 해도 좋아.
언제 스케줄 괜찮아?"
3011003020450,樹里,"そうだな……
今度の休みなんかどうだ？","그럼...
이번 휴일에 어때?"
3011003020460,夏葉,"ええ、いいわよ
目的地はまたあの高台でいいわよね？","그래, 좋아.
목적지는 또 그 언덕으로 하는게 어때?"
3011003020470,樹里,"ああ
またあの風景が見れるなら悪くねぇな","응.
다시 그 풍경을 볼 수 있다면 나쁘지 않지."
3011003020480,夏葉,ふふ、楽しみにしておくわ,"후후, 기대하고 있을게."
info,produce_events/301100302.json,
译者,,
