id,name,text,trans
0000000000000,プロデューサー,果穂ー、そろそろレッスンの時間……,"카호ー, 슬슬 레슨 시간......"
1009001020010,果穂,わぁっ……！,와앗......!
0000000000000,プロデューサー,どうしたんだ？,왜 그러니?
1009001020020,果穂,"あっ、プロデューサーさん！
やっぱり事務所ってスゴいですねっ","앗, 프로듀서님!
역시 사무소는 굉장하네요!"
1009001020030,果穂,ヒーローの秘密基地に来たみたいで楽しいです！,히어로의 비밀기지에 온 것 같아서 즐거워요!
0000000000000,プロデューサー,"そ、そうか
たしかに果穂には珍しいかもな","그, 그러니
확실히 카호에게는 신기할지도"
1009001020040,果穂,"はい！
……あっ！　プロデューサーさん、見てくださいっ！","네!
......앗! 프로듀서님, 이거 보세요!"
1009001020260,はづき,……,......
0000000000000,プロデューサー,……はづきさんがどうかしたのか？,......하즈키씨가 어쨌는데?
1009001020050,果穂,スゴいスピードでパソコンを使ってますっ,엄청난 속도로 컴퓨터를 치고 계세요
1009001020060,果穂,いつも眠そうにしてるのに、すごいです！,"항상 졸린 듯 하신데, 대단해요!"
1009001020070,果穂,"なんだか……ピンチのヒーローを助ける、
正義の味方って感じがします！","왠지......핀치에 몰린 히어로를 도와주는,
정의의 편이라는 느낌이 드네요!"
0000000000000,プロデューサー,"なるほど……
それは俺もわかるよ","그렇구나......
그건 나도 알것 같아"
1009001020080,果穂,ですよねっ。カッコいいなーっ,그렇죠. 멋있다ー
1009001020090,果穂,"ここでなら、
本当にヒーローになれる気がしてきました！","여기라면,
정말로 히어로가 될 수 있을지도 모른단 느낌이 들었어요!"
0000000000000,プロデューサー,"果穂はヒーローじゃなくて、
アイドルなんだけどな……","카호는 히어로가 아니라,
아이돌이 됐지만 말야......"
1009001020270,はづき,ふふっ,후훗
0000000000000,プロデューサー,"あ、はづきさん
お疲れ様です","아, 하즈키씨
수고하십니다"
1009001020280,はづき,"お疲れ様です、プロデューサーさん。……果穂さんを
見てると、あたしたちまで元気がもらえますね","수고하시네요, 프로듀서님. ......카호양을
보고 있으면, 저희까지 기운이 나는 것 같네요"
0000000000000,プロデューサー,"そうですね。
あの元気いっぱいさなら……","그러게요.
저 활기찬 모습이라면......"
0000000000000,プロデューサー,"世の中に旋風を巻き起こすヒーローみたいな……
本当に、そんなアイドルになれるかもしれません","세계에 선풍을 일으키는 히어로 같은......
정말로, 그런 아이돌이 될지도 모르겠네요"
1009001020100,果穂,えっ、ヒーローですか！？,"엣, 히어로인가요!?"
0000000000000,プロデューサー,"うん。今、果穂がヒーローみたいに
なれるかもって話してたんだよ","응, 지금, 카호가 히어로처럼
될지도 모른다고 이야기 하고 있었어"
1009001020110,果穂,"あたしもいつか、
ヒーローみたいになれるんですか！？","저도 언젠가,
히어로처럼 되는 건가요!?"
0000000000000,プロデューサー,そうだな……,그러네......
select,,"なれるから
スカウトしたんだ","될 수 있으니까
스카웃 한거야"
select,,果穂はなりたいんだろ？,카호는 되고 싶은 거지?
select,,レッスンあるのみだ！,레슨만이 있을 뿐!
0000000000000,プロデューサー,"果穂は、ヒーローみたいにみんなを笑顔にできる……
そんなアイドルになれると思うよ","카호는, 히어로 같이 모두를 미소 짓게 할 수 있는......
그런 아이돌이 될 수 있다고 생각해 "
1009001020120,果穂,本当ですか！？,정말인가요!?
0000000000000,プロデューサー,"ああ。そのためにも
しっかりプロデュースしてやるからな","그럼, 그걸 위해서
확실히 프로듀스해 줄테니까 말야"
1009001020130,果穂,"あたしがヒーローみたいに……
じゃあ、カッコいいポーズとかも必要ですよね！！","제가 히어로처럼......
그럼, 멋있는 포즈같은것도 필요하겠네요!!"
1009001020140,果穂,"今から考えておかないとっ
どんなポーズがカッコいいかなー","지금부터 생각해 두지 않으면
어떤 포즈가 멋있으려나ー"
0000000000000,プロデューサー,"はは。ポーズも大事だけど、
まずはレッスンからだな","하하. 포즈도 중요하지만,
일단은 레슨부터네"
0000000000000,プロデューサー,これから、一緒に頑張っていこう,"지금부터, 같이 힘내서 가자"
1009001020150,果穂,"はいっ。えへへ！
ヒーローみたいになれるように、頑張りますっ！","넵. 에헤헤!
히어로 같이 될 수 있도록, 열심히 할게요!"
1009001020160,果穂,はい、なりたいです！,"네, 되고 싶어요!"
0000000000000,プロデューサー,"うん、いい返事だ
そういう気持ちの強さが大事なんだ","응, 좋은 대답이야
그런 마음의 강함이 중요한 거란다"
1009001020170,果穂,あっ。それ、聞いたことがありますっ,"앗. 그거, 들어 본 적이 있어요"
1009001020180,果穂,"好きな特撮番組でも、
こーじょーしんが大事だ、って言ってました！","좋아하는 특촬방송에서도,
향상심이 중요하다 라고 했었어요!"
1009001020190,果穂,"やっぱりアイドルとヒーローって
似てるんですね！","역시 아이돌과 히어로는
비슷한거네요!"
0000000000000,プロデューサー,"たしかにそうだな。アイドルもヒーローも、
みんなを笑顔にし続けるには向上心が必要だ","확실히 그러네. 아이돌도 히어로도,
모두를 항상 미소짓게 하려면 향상심이 필요하지"
0000000000000,プロデューサー,だから上を目指して、一緒に戦っていこうな,"그러니까 위를 목표로, 같이 싸워 가자"
1009001020200,果穂,"はいっ。あたし、プロデューサーさんと戦います！
とぉっ！","넵. 저, 프로듀서님와 함께 싸웁니다!
이얍!"
0000000000000,プロデューサー,"ヒーローみたいになるには、
毎日のレッスンは欠かせないぞ","히어로처럼 되려면,
매일 레슨은 빠트릴 수 없지"
1009001020210,果穂,"ヒーローも毎日の特訓が大事だって言ってました
みんなの笑顔を守るには、日々のたんれんが必要だって！","히어로도 매일 특훈이 큰일이라고 말했어요
모두의 미소를 지키려면, 매일 단련이 필요하다고!"
1009001020220,果穂,"みんなの笑顔を守るために、アイドルも
毎日のレッスンが大事なんですねっ","모두의 미소를 지키기 위해서, 아이돌도
매일 레슨이 중요한 거네요"
0000000000000,プロデューサー,"ああ。それに、
果穂にはすごい潜在能力が眠ってるはずだからな","그래. 거기다가,
카호에게는 굉장한 잠재능력이 잠들어 있을테니까 말야"
1009001020230,果穂,"せんざいのーりょく！
あたし、知ってます！　眠れる力です！","잠재능력!
저, 알아요! 잠들어 있는 힘이죠!"
0000000000000,プロデューサー,"そうだ。その力を解放するためにも、
まずはレッスンだ","그래. 그 힘을 해방하기 위해서라도 ,
일단은 레슨이야 "
1009001020240,果穂,"はいっ！　みんなを笑顔にできる、
ヒーローみたいなアイドルになるために……","넵! 모두의 미소 짓게 만드는,
히어로 같은 아이돌이 되기 위해......"
1009001020250,果穂,今日もレッスン、頑張ります！,"오늘도 레슨, 열심히 할게요!"
info,produce_events/100900102.json,
译者,,
