id,name,text,trans
3005005030010,摩美々,"新商品の缶コーヒーでーす
どうぞー","새로나온 캔커피 입니다-
드셔보세요-"
3005005030020,恋鐘,"お疲れ様です～
コーヒー飲んで、元気ば出すっちゃよ～！","수고하십니다~
커피드시고 기운내요~!"
3005005030030,霧子,"あの……
こ、これ……どうぞ……！","저...
보, 보고...가세요...!"
3005005030040,結華,"はい、今月発売したばかりです
ぜひぜひ飲んでみてくださいね！","이번 달에 막 발매한거예요
부디 드셔봐주세요!"
3005005030050,咲耶,"後味もすっきりしていて、朝にぴったりですよ
……フフ、ありがとうございます","뒷맛도 깔끔해서 아침에 딱이에요
...후후, 감사합니다"
3005005030060,結華,"これで終わり……だよねー？
みんな、お疲れ様ー！","이걸로 끝...인거지-?
다들 수고했어-!"
3005005030070,恋鐘,"お疲れ様～！　いや～楽しかったばい
サラリーマンの人がいっぱいおったね～","수고했어~! 이야~ 즐거웠어야
샐러리맨들이 잔뜩 있었구마~"
3005005030080,恋鐘,"みーんな忙しそうで最初はびっくりやったけど
たくさん受け取ってもらえてよかったと","다-들 바빠보여서 처음엔 깜짝 놀랐는데
그래도 많이 받아주셔서 다행이구마"
3005005030090,咲耶,"フフ、そうだね。コーヒーは仕事前の眠気覚ましに
なるだろうし、喜んでもらえたんじゃないかな？","후후, 맞아. 커피는 일하기 전에 졸린걸
깨워줄테니 기쁘게 받아준거 아닐까?"
3005005030100,咲耶,"私も、いつもはあまり話せない方と
触れ合えてよかったよ","나도 평소엔 이야기해볼 수 없는 사람들과
접해볼 수 있어서 좋았어"
3005005030110,結華,"さくやんの前、ＯＬさんの列ができてたもんね……
すごかった……！","사쿠양 앞에는 OL들이 줄서서 있었지...
굉장했어...!"
3005005030120,咲耶,"そうかな？　私よりも……
摩美々の方が、人を集めていた気がするよ","그랬나? 나 보다도...
마미미쪽이 사람들을 잘 모았던거 같은데"
3005005030130,霧子,"摩美々ちゃん……
コーヒー配るの……早かったね……","마미미쨩...
커피 나눠주는거... 빨랐지..."
3005005030140,摩美々,"別にー……
ただ早く終わらせたかっただけー……","딱히-...
그냥 빨리 끝내고 싶었을 뿐이야-..."
3005005030150,恋鐘,"んふふ～。結局摩美々も、
しーっかり仕事ばしよったよね～","응후후~. 결국 마미미도
제~대로 일한거지~"
3005005030160,咲耶,"あぁ、イベント中の１週間
ちゃんと時間通りに来ていたし","맞아. 이벤트하는 일주일동안
제대로 시간맞춰 왔으니깐"
3005005030170,摩美々,遅刻した方がぁ、めんどーそうだしー……,지각하는게 더 귀찮을거 같았으니깐-...
