id,name,text,trans
4001019020010,甜花,──はぁ……うぅ……,──하아……후우……
4001019020020,甜花,"ちょっと……ラクになった、かな……
うぅ……","조금……편해졌으, 려나……
으으……"
4001019020030,真乃,"う、うん……
でも、まだ苦しそう……","으, 응……
그래도, 아직 힘들어 보여……"
4001019020040,甜花,だ……大丈夫……,괘……괜찮아……
4001019020050,甜花,"あと……２キロ……
甜花、走れる……！","앞으로……2킬로……
텐카, 달릴 수 있어……!"
4001019020060,結華,──チームピーちゃん、動きがありました！,"팀 피쨩, 움직임이 있습니다!"
4001019020070,結華,"てんちゃんも起き上がって、
マラソンを再開する模様──","텐쨩도 일어나서,
마라톤을 재개할 모양──"
4001019020080,結華,映像戻します！,화면 돌리겠습니다!
4001019020090,結華,──そして、なっちゃんはおかえりなさい,"그리고, 낫쨩은 어서오세요"
4001019020100,夏葉,"ええ
なんとかあと２キロ……","응
어떻게든 이제 2킬로……"
4001019020110,結華,ふふ、名コーチのアドバイスが効いているとみた,"후후, 명코치의 어드바이스가 통한 것 같네"
4001019020120,夏葉,"あら
まだ走れるって、言っただけよ","어머
아직 달릴 수 있다고 말한 것 뿐이야"
4001019020130,夏葉,"……ここから先を支えてくれるのは気持ちだけ
なるべくつらさを意識しないように──","이 앞을 지탱해주는 건 마음 뿐
가능한 한 괴로움을 의식하지 않도록──"
4001019020140,夏葉,──ふたりの息を聞いてみてって,두 사람의 호흡을 들어보자 라고
4001019020150,結華,"ほら！
やっぱり名コーチ！","봐봐!
역시 명코치잖아!"
4001019020160,夏葉,まぁ、気休めみたいなものだけど,"뭐, 그저 위로같은 것일 뿐이지만"
4001019020170,夏葉,"……甜花、
絶対一緒にゴールしたいって言うんだもの","텐카,
반드시 함께 골인하고 싶다고 말했어"
4001019020180,夏葉,千雪はどうしても応援するってきかないし,치유키는 어떻게든 응원하겠다면서 말을 듣질 않고
4001019020190,千雪,頑張ってー！　みんな、頑張ってー！,"힘내ー! 얘들아, 힘내ー!"
4001019020200,結華,……そっかぁ,그렇구나……
4001019020210,結華,みんなで企画を届けたいって気持ち、わかるよ,"다 같이 기획을 전달하고 싶은 마음, 이해해"
4001019020220,甜花,"すっ、すっ……
はっ、はっ……","습, 습……
하, 하……"
4001019020230,真乃,"すっすっ……
はっはっ……","습습……
하하……"
4001019020240,霧子,"すっ……すっ……
はっ……はっ……","습…… 습……
하아……하아……."
4001019020250,真乃,"……甜花ちゃん……
一緒に走ってくれて……ありがとう……っ","텐카쨩……
같이 달려줘서……고마워……"
4001019020260,甜花,"──う、ううん……！
す、すごい……遅れちゃって……","아, 아니야……!
어, 엄청……늦어져서……"
4001019020270,真乃,"あっ、ご、ごめんなさいっ、話しかけて……っ
お返事してもらわなくって、いいのっ","아, 미, 미안해, 말 걸어서……
대답 안 해도 괜찮아"
4001019020280,霧子,ふふ……,후후……
4001019020290,霧子,"うん……お話しなくても……
見えるよ……","응……말하지 않아도……
보여……"
4001019020300,霧子,"『すっ』は……
透明な息……","『습』은……
투명한 호흡……"
4001019020310,霧子,"『はっ』は……
白い息……","『하』는……
하얀 호흡……"
4001019020320,霧子,"みんなの息……
一緒に……走ってる……","모두의 호흡이……
함께……달리고 있어……"
4001019020330,甜花,"……！
う、うん……！","!
으, 응……!"
4001019020340,甜花,アドバイスの……とおり……,어드바이스……덕분……
4001019020350,真乃,"すっすっ……
はっはっ……","습습……
하하……"
4001019020360,甜花,"すっ、すっ……
はっ、はっ……","습, 습……
하, 하……"
4001019020370,真乃,"……
ほんとだね……っ","……
정말이구나……"
4001019020380,真乃,"ふふふっ……空が……
『すっ』と『はっ』で……いっぱい……っ","후후훗……하늘이……
『습』이랑 『하』로……가득해……"
4001019020390,甜花,"わ……
空……？","어……
하늘……?"
4001019020400,甜花,"走ったら……息……
空に、なるんだね……","달리면……호흡이……
하늘이, 되는 거구나……"
4001019020410,霧子,"甜花ちゃん……
ふふっ……","텐카쨩……
후훗……"
4001019020420,霧子,"いっぱい……いっぱい……
息……しなきゃ……","많이……많이……
호흡……해야해……"
4001019020430,真乃,ふふっ……,후훗……
4001019020440,甜花,にへへ……！,니헤헤……!
4001019020450,結華,"──機転をきかせて走り続けるチームピーちゃん！
残すところ50メートル！","임기응변을 통해 계속 달리는 팀 피쨩!
남은 거리 50미터!"
4001019020460,夏葉,"最後こそ丁寧に……！
呼吸はそのままよ！","마지막이야말로 신중하게……! 
호흡은 그대로!"
4001019020470,千雪,すっすっ、はっはっ……！,"습습, 하하……!"
4001019020480,結華,────今、ゴール！,"지금, 골인!"
4001019020490,結華,よく頑張りました……！,열심히 해줬습니다……!
4001019020500,結華,ここからは、走者・実況ともに交代となります,"여기서부터는, 주자 및 중계 모두 교대하겠습니다"
4001019020510,夏葉,私たちはこの後、第４区間を走るわ,"우리는 이 뒤에, 제 4 구간을 달릴 거야"
4001019020520,千雪,楽しみにしててくださいね……！,기대하고 있어주셔야 돼요……!
4001019020530,結華,"それでは！　まみみん、りんりん、あさたん！
あとはよろしくお願いします！","그러면! 마미밍, 린린, 아사땅!
뒤를 잘 부탁드려요!"
4001019020540,摩美々,はぁい,네에
4001019020550,凛世,はい……,네……
4001019020560,あさひ,はいっす！,넵!
4001019020570,摩美々,"まぁゆっくりやるんでー
よろしくお願いしまぁす","뭐 느긋하게 할 테니까ー
잘 부탁드립니다아"
4001019020580,凛世,"こらこら……
ゆっくり……していては──","이봐 이봐……
느긋하게……하면──"
4001019020590,あさひ,──ゆっくりやってたらダメっす！,느긋하게 하면 안 됨다!
4001019020600,凛世,……！,……!
4001019020610,摩美々,……ここは凛世がツッコむって決めてたでしょー,……여긴 린제가 끼어들기로 정했었잖아ー
4001019020620,あさひ,えっ、突っ込むっすか！？,"엇, 끼어들기 말임까!?"
4001019020630,あさひ,突っ込むのはスピードの出し過ぎっすよ！！,끼어드는 건 속도위반임다!!
4001019020640,凛世,ふふ……,후후……
4001019020650,凛世,なんでやねん……,뭔 소리여……
4001019020651,チームピーちゃん,《プレゼン・フォー・ユー！》,《프레젠 포 유!》
4001019020660,摩美々,"──まぁこんな感じでやってくんでー
よろしくお願いしまぁす","뭐 이런 느낌으로 할 테니까ー
잘 부탁드립니다"
4001019020670,摩美々,"ではぁ、第２区間走行者のチーム一番星ー
紹介映像をご覧くださいー","그러면, 제 2 구간 주자 팀 샛별
소개 영상을 보시겠습니다ー"
4001019020680,摩美々,"──ちょっとあさひー
打ち合わせしたでしょー","잠깐 아사히ー
미팅했었잖아ー"
4001019020690,あさひ,はいっす！　やったっす！,넵! 했었슴다!
4001019020700,あさひ,"でも、『ノリが大事』
っていう結論だったはずっすよ！","하지만, 『분위기가 중요』
하다고 결론내렸잖슴까!"
4001019020710,凛世,……,……
4001019020720,凛世,"……申し訳ございません……
凛世の……『ノリ』が……","죄송합니다……
린제의……『분위기』가……"
4001019020730,摩美々,いやぁ、ノリは足りてたっていうかぁ……,"아니, 분위기는 충분했다고 해야할까……"
4001019020740,凛世,次は……必ずや……,다음엔……반드시……
4001019020750,凛世,"もう一度……
おさらいが……できましょうか……？","다시 한번……
복습을……할 수 있을까요……?"
4001019020760,摩美々,"……あさひもいいー？
じゃあ次のとこ──","아사히도 괜찮아ー?
그럼 다음 부분──"
4001019020770,あさひ,"あっ、無線だ！
──はいっ、チームまりあっす！","아, 무전기 연락이다!
네, 팀 마리아임다!"
0,謎の声,────────,────────
4001019020780,摩美々,……何ー？,……뭐야ー?
0,謎の声,"──…………
……オウトウ……セヨ…………──","…………
응답……하라…………──"
4001019020790,凛世,…………！,…………!
4001019020800,あさひ,"はいっす！
こちらチームまりあ！","넵!
여긴 팀 마리아!"
4001019020810,あさひ,"……？
チームまりあっす！　どうぞ！","?
팀 마리아임다! 말씀하세요!"
0,謎の声,"──…………
……オウトウ……セヨ…………──","──…………
……응답……하라…………──"
4001019020820,あさひ,はいっす……！,넵……!
0,謎の声,……プレゼントヲオトシタ…………,선물을 잃어버렸다…………
0,謎の声,"──……トナカイ…………
マワシテオク……","루돌프…………
돌려보내겠다……"
4001019020830,摩美々,え……,에……
4001019020840,あさひ,トナカイ……！,루돌프……!
4001019020850,凛世,"……
どなたの……声でしょう……","……
어떤 분의……목소리일까요……"
4001019020860,あさひ,もしもーし！　もしもーし……！,여보세요! 여보세요……!
4001019020870,果穂,『わぁ……っ！』,『와앗……!』
4001019020880,甘奈,『きゃ……っ！』,『꺄악……!』
4001019020890,灯織,『果穂……！　甘奈……！』,『카호……! 아마나……!』
4001019020900,摩美々,ちょっとー、そっちは何ー,"잠깐ー, 그쪽은 또 뭐야ー"
4001019020910,凛世,一番星の……みなさまが……！,샛별……분들께서……!
4001019020920,摩美々,"──え……
何、なんなのー……！","어……
뭐야, 무슨 일이야ー……!"
4001019020930,摩美々,"ちょっと、
ブイあけたらなんか映像繋いどいて────","잠깐만, 
중계 들어가면 아무 영상 좀 틀어줘────"
4001019020940,あさひ,トナカイ……！,루돌프……!
info,game_event_communications/400101902.json,
译者,,
