id,name,text,trans
4001005030010,樹里,──……," ……"
4001005030020,果穂,……！,!
4001005030030,夏葉,"──こちらエージェントＤ
敵は中央エリアで我々の出方を窺っている模様"," 여기는 에이전트 D
적은 중앙 지역에서 우리가 어떻게 나올지 엿보고 있는 모양 "
4001005030040,智代子,えぇっと、こちらエージェント……なんにしようかな……？,"으음, 여기는 에이전트……뭘로 할까……?"
4001005030050,智代子,"──エージェントＣ！　敵の状態、了解しました
作戦はどうしますか？"," 에이전트 C! 적의 상태, 알겠습니다
작전은 어떻게 합니까?"
4001005030060,夏葉,"そうね。ふたりで固まっているからには、
向こうは攻め重視のはず。樹里らしくていいことだわ","그렇네. 둘 다 멈춰있는 이상,
상대편은 공격중시일 거야. 쥬리답고 좋아"
4001005030070,夏葉,"……となれば私たちも、
日和っているわけにはいかないでしょう","그렇다면 우리도,
지켜보고만 있을 수는 없지"
4001005030080,夏葉,"目には目を。攻撃には攻撃を、よ
最短であの子たちを倒して宝物を取りに行くわ","눈에는 눈. 공격에는 공격, 이야
최단시간에 저 애들을 쓰러뜨리고 보물을 쟁취하러 가자"
4001005030090,夏葉,"正々堂々撃ち合いをしましょう
──この水鉄砲で、ね","정정당당당하게 맞받아치자
 이 물총으로 말야"
4001005030100,智代子,"おっけー
こっちの宝物の守りは？","오케이 
우리 보물의 방어는?"
4001005030110,夏葉,必要ない。そのためにあの配置にしたのだもの,필요없어. 그걸 위해서 저렇게 배치한 거니까
4001005030120,夏葉,合図したらついてきなさい、エージェントＣ,"신호하면 따라와, 에이전트 C"
4001005030130,智代子,了解、エージェントＤ,"알겠어, 에이전트 D"
4001005030140,智代子,……ちなみに夏葉ちゃん、なんでコードネームＤなの？,"하나만 더 나츠하쨩, 왜 코드네임 D야?"
4001005030150,夏葉,"あら、簡単なことよ
本当の名前がすぐわかるようだと困るでしょう？","어머, 간단한 거야
진짜 이름이 금방 들켜버리면 곤란하잖아?"
4001005030160,夏葉,一般的なトレーニング道具なら特定できないと思って,일반적인 트레이닝 도구라면 특정하기 힘들 거라고 생각해서
4001005030170,智代子,"えっ
もしかしてＤってダンベルの──","어
혹시 D라는 건 덤벨의 "
4001005030180,夏葉,さぁ、私に続いて智代子！,"자, 나를 따라와 치요코!"
4001005030190,智代子,"って、待って夏葉ちゃん！　本名もろバレ！
コードネームはどこへ！？","기, 기다려 나츠하쨩! 본명 드러냈잖아!
코드네임은 어디 간 거야!?"
4001005030200,智代子,──ああっ、私もＤって呼んでない……！！," 아앗, 나도 D라고 안 불렀다……!"
4001005030210,樹里,"お、騒がしいのが来やがったな
正面突破とはらしいことで！","오, 시끄러운 게 오는군
정면 돌파라니 걔네다워!"
4001005030220,樹里,果穂！,카호!
4001005030230,果穂,お任せあれ、ですっ,맡겨만 주세요
4001005030240,夏葉,良い腕してるじゃない果穂！　負けないわよ！,솜씨가 좋잖아 카호! 지지 않아!
4001005030250,果穂,さすが夏葉さん速いです！　敵ながらスゴいです！,역시 나츠하씨 빠르네요! 적이지만 굉장해요!
4001005030260,樹里,相変わらず力押しだな！　枕投げの時と一緒じゃねーか,여전히 힘으로 몰아붙이는구나! 베개 싸움때랑 똑같잖아
4001005030270,智代子,"攻撃は最大の、ってやつだよ樹里ちゃん！
今回は私もアタッカーなんだから！","공격은 최선, 이라는 거야 쥬리쨩!
이번엔 나도 공격수니까! "
4001005030280,樹里,"へっ、その意見には賛成だぜチョコ
だからこっちも最大火力だ","훗, 그 의견에는 찬성이야 쵸코
그러니까 우리도 화력 최대로!"
4001005030290,樹里,果穂、銃貸せ！,"카호, 총 줘!"
4001005030300,果穂,はい！,네!
4001005030310,樹里,よしダッシュ！,좋아 대시!
4001005030320,果穂,はいっ！,넵!
4001005030330,夏葉,速い──！,빠르다!
4001005030340,智代子,まずいよ、抜かれちゃう──！,"위험해, 뽑혀버릴 거야!"
4001005030350,樹里,よそ見すんなよ、アンタらの相手はアタシだろ！,"한 눈 팔지 마, 너희의 상대는 나잖아!"
4001005030360,夏葉,くっ……！,큭……!
4001005030370,樹里,"（ここから向こうの宝物までは一直線、
夏葉もチョコも果穂には追いつけねー……！）","(여기서 저쪽의 보물까지는 일직선,
나츠하도 쵸코도 카호를 따라잡을 수 없어 ……!)"
4001005030380,樹里,ふたりして攻めに来たのが間違いだったな！,둘이서 공격 온 것이 실수였어!
4001005030390,智代子,そっ、そんなぁっ……！,"그, 그럴 수가……!"
4001005030400,智代子,……なーんちゃって？,라고 할 줄 알았지?
4001005030410,樹里,え──,"뭐 "
4001005030420,果穂,取った──,얻었다─
4001005030430,凛世,いいえ……,아니요……
4001005030440,夏葉,凛世、今よ！,"린제, 지금이야!"
4001005030450,凛世,させません、果穂さん……,"그렇게 둘 순 없습니다, 카호양……"
4001005030460,果穂,凛世さん！？,린제씨!?
4001005030470,凛世,詰みです……！,외통수입니다……!
