id,name,text,trans
4001004050010,甘奈,"千雪さん、やっぱり大人だよね～……
憧れちゃうな","치유키씨, 역시 어른이네~……
동경하게 돼"
4001004050020,甘奈,"あの方法だったらさ、
ゲームセンターもブックカフェも載せられるもん☆","그 방법이라면,
게임센터도 북카페도 실을 수 있겠는걸☆"
4001004050030,甜花,"うん……どっちも載るの、嬉しい……！
でも、甜花……","응……양쪽 다 실리는 것, 기뻐……!
그래도, 텐카……"
4001004050040,甜花,"どっちかしか、記事にならなくても……
嬉しい……","한 쪽만, 기사로 실을 수밖에 없게 돼도……
기쁠 거야……"
4001004050050,甜花,"なーちゃん……甜花の、行きたいところ……
選んでくれた……から……","나쨩……텐카가, 가고 싶은 곳……
선택……해줬으니까……"
4001004050060,甘奈,甜花ちゃん……えへへ,텐카쨩……에헤헤
4001004050070,甜花,へへ……,헤헤……
4001004050080,甘奈,やっぱ甘奈たち、おんなじだね,"역시 우리들, 똑같네"
4001004050090,甜花,うん……おんなじ……,응……똑같아……
4001004050100,甘奈,……でも、千雪さんの行きたいとこ、行けてないね,"하지만, 치유키씨가 가고 싶은 곳, 가지 못했네"
4001004050110,甜花,"うん……行きたいところ、
思いつかないって……","응……가고 싶은 곳,
떠오르지 않는다고……"
4001004050120,甘奈,このままじゃ、千雪さんの記事、なくなっちゃう……,"이대로라면, 치유키씨의 기사, 없어져 버릴 거야……"
4001004050130,甜花,うん……,응……
4001004050140,甘奈,"きっと、どこかあると思うんだ
千雪さん、甘奈たちに遠慮してくれてるんじゃないかな……","틀림없이, 어딘가 있을 거야
치유키씨, 우리한테 양보해 주고 있는 게 아닐까……"
4001004050150,甜花,……,……
4001004050160,甜花,"……な、なーちゃんは……千雪さんのこと
……好き？","나, 나쨩은……치유키씨……
좋아?"
4001004050170,甘奈,"え？　……うん、大好きだよ
──甜花ちゃんは？","응?……응, 정말 좋아
텐카쨩은?"
4001004050180,甜花,て、甜花も……好き……,"테, 텐카도……좋아……"
4001004050190,甜花,……,……
4001004050200,甜花,"なーちゃんは……どうして千雪さんのこと……
好き……だと思う……？","나쨩은……왜 치유키씨를……
좋다고……생각해……?"
4001004050210,甘奈,うーんと……優しくて、大人で……,"으음……상냥하고, 어른이고……"
4001004050220,甘奈,"甘奈も、千雪さんみたいな素敵な女性になれたらな～
って思うから！","아마나도, 치유키씨같은 멋진 여성이 될 수 있었으면~
하고 생각하니까!"
4001004050230,甜花,……そ、そっか,"그, 그렇구나……"
4001004050240,甘奈,甜花ちゃんは、どうして？,"텐카쨩은, 왜?"
4001004050250,甜花,て、甜花は……うまく言えないけど……,"테, 텐카는……말로 잘 설명 못 하겠지만……"
4001004050260,甜花,……甜花、なーちゃんのこと大好き,"텐카, 나쨩이 정말 좋아"
4001004050270,甜花,"それで、なーちゃんの、好きなとこ……いっぱいあって……
けど、なんで好きかって言われたら……うまく、言えない","그래서, 나쨩의 좋아하는 부분……엄청 많은데……
그런데, 왜 좋아하냐고 물어보면……잘, 못 말하겠어"
4001004050280,甜花,"千雪さんは、なーちゃんと……
ちょっと、おんなじ感じ……","치유키씨는, 나쨩이랑……
조금, 같은 느낌……"
4001004050290,甘奈,"えへへ……
じゃあ、やっぱり……","에헤헤……
그럼, 역시……"
4001004050300,甘奈,"やっぱりおんなじ！
甜花ちゃんと甘奈、やっぱ双子だね☆","역시 똑같아!
텐카쨩이랑 아마나, 결국 쌍둥이구나☆"
4001004050310,甜花,"にへへ……
じゃ、じゃあ……","니헤헤……
그, 그러면……"
4001004050320,甜花,"甜花……
ち、千雪さんの……記事、作りたい……！","텐카……
치, 치유키씨의……기사, 쓰고 싶어……!"
4001004050330,甘奈,……え？,어?
4001004050340,甜花,"甜花たちで……
千雪さんの記事、作ろう……！","우리가……
치유키씨의 기사, 쓰자……!"
4001004050350,甘奈,えっ……どうやって？,어……어떻게?
4001004050360,甜花,"そ、それは……縁日の取材で……
千雪さんを主役に、して……","그, 그건……잿날 취재로……
치유키씨를 주인공으로, 해서……"
4001004050370,甘奈,千雪さんを……主役に……？,치유키씨를……주인공으로……?
4001004050380,甜花,"え、と、どうやるかは……
わかんないけど……すっごく、可愛くなってもらって……！","그, 어, 어떻게 할지는……
잘 모르겠지만……엄청, 사랑스럽게 만들어서……!"
4001004050390,甘奈,う～ん……なんか甘奈もひらめきそうなんだけど……,으음~……아마나도 뭔가가 번뜩일 것 같은데……
4001004050391,甘奈,……あ！,아!
4001004050400,甘奈,"千雪さん、この前ブックカフェで見た髪飾り、
気にしてたでしょ？","치유키씨, 전에 북카페에서 봤던 머리 장식,
신경쓰고 있었지?"
4001004050410,甘奈,あれは普段使い用のやつだったけど……,그건 평상시에 쓰는 물건이었지만……
