id,name,text,trans
0000000000000,プロデューサー,少し出てくるよ,잠깐 나갔다 올게
4001006030010,結華,"へっ！？　ちょっ、プロデューサー！
ひとりで出かける気！？","뭣!? 잠깐, 프로듀서!
혼자서 나갈 생각이야!?"
4001006030020,結華,カギ探しでしょ？　危ないからついてくってば！,열쇠 찾으려는 거지? 위험하니까 같이 가준다니까!
0000000000000,プロデューサー,いやー、はは。悪いよ……,"아니 , 하하. 너무 미안한걸……"
0000000000000,プロデューサー,"この間から、何回も付き合ってもらっちゃってるしさ
道も俺の世界と同じみたいだったし、ひとりで──","전부터 몇 번이나 함께해줬었고 말야
길도 내가 살던 세계와 같아보이니까, 혼자서 "
4001006030030,結華,"おバカ。あのねぇ、ここはニンゲンの世界じゃないって、
忘れちゃったの？","바보야. 저기요, 여기는 인간 세계가 아니라니까,
까먹었어?"
4001006030040,結華,"三峰たち以外に見つかったら、
ガッとやってチュっと吸われてハイさよなら、だよ？","우리 이외의 자들에게 발견되면,
콱 하고 쪽 빨려서 응 안녕, 이라구?"
0000000000000,プロデューサー,……あー……,아 ……
4001006030050,結華,──さてプロデューサー。何か言うことは？," 자 그럼 프로듀서. 뭔가 할 말은?"
0000000000000,プロデューサー,……一緒に来てもらえないかな,같이 가주지 않을래?
4001006030060,結華,"よくできました
ちょっと待ってて、準備してくる！","참 잘했어요
잠깐 기다리고 있어, 준비하고 올게!"
0000000000000,プロデューサー,（気を遣ってもらってばかりだ……）,(배려를 받기만 하고 있어……)
0000000000000,プロデューサー,"（種族だって違うのに……
こっちの世界のみんなも、優しい……）","(종족조차 다른데……
이쪽 세계 애들도 다들, 착하구나……)"
4001006030070,摩美々,……,……
0000000000000,プロデューサー,"おお、摩美々か
おはよう","오, 마미미
안녕"
4001006030080,摩美々,……おはよーございまぁす,안녕하세요
4001006030090,摩美々,……,……
0000000000000,プロデューサー,"……？
どうした？　何かあったか？","?
왜 그래? 무슨 일 있었어?"
4001006030100,摩美々,……あのー……,저기 ……
0000000000000,プロデューサー,うん,응
4001006030110,摩美々,…………,…………
4001006030120,摩美々,……イエ,아니에요……
4001006030130,結華,お待たせプロデューサー！　と、まみみん？,"기다렸지 프로듀서! 엇, 마미밍?"
4001006030140,摩美々,あ……,아……
4001006030150,結華,あー……,아 ……
4001006030160,結華,"丁度いいところに人手発見じゃんっ
ねぇまみみん、三峰たちこれからカギ探しに行くんだよー","마침 좋은 때 일손 발견이네
저기 마미밍, 우리 지금부터 열쇠 찾으러 갈 거야 "
4001006030170,結華,お願いっ、手伝って！,"부탁이야, 도와줘!"
4001006030180,摩美々,え……,어……
4001006030190,結華,"三人寄れば魔女の知恵って言うし、
一緒の方が捗りそうだと思わない？","셋이 모이면 마녀의 지혜가 나온다고도 하고,
같이 찾는 편이 더 잘 찾아질 것 같지 않아?"
4001006030200,結華,"ね？　ね？？
この通り！","응? 응??
부탁해!"
4001006030210,摩美々,…………,…………
4001006030220,摩美々,……まぁ……いい、ケド……,"뭐어……상관, 없지만……"
4001006030230,結華,やったぁ、戦力確保！,"됐어, 전력 확보!"
0000000000000,プロデューサー,"摩美々、本当に大丈夫か？
無理はする必要ないからな……？","마미미, 정말 괜찮아?
억지로 할 필요는 없으니까 말야……?"
4001006030240,摩美々,……無理とかじゃないんでー,억지로 같은 건 아니라서 ……
4001006030250,摩美々,お節介ー……,괜한 참견 ……
4001006030260,結華,"えー？　無難なアシストって言ってよ
最後まで手伝うわけじゃないんだからさ","응? 무난한 어시스트라고 말해달라구
끝까지 도와줄 건 아니니까 말야"
4001006030270,摩美々,……,……
4001006030280,摩美々,……別に何もしないからぁ,딱히 아무것도 안 할 거니까
4001006030290,結華,そう？　それならそれで,그래? 그렇다면 그렇게 해
4001006030300,結華,──よし！　じゃあ行こっか！," 좋아! 그럼 가볼까!"
0000000000000,プロデューサー,（ああもう……上手くいかないもんだな……）,(아아 정말……좀처럼 잘 풀리질 않네……)
0000000000000,プロデューサー,"（昨日は結華と摩美々に手伝ってもらって、
今日は咲耶に──……）","(어제는 유이카와 마미미에게 도움 받고,
오늘은 사쿠야에 ……)"
4001006030310,咲耶,──……プロデューサー……？,프로듀서……?
0000000000000,プロデューサー,わっ……！？,왁……!?
4001006030320,咲耶,"どうしたのかな？
心ここにあらずといった様子だったけれど","무슨 일이야?
마음이 여기에 없는 듯해 보였는데"
4001006030330,咲耶,"なんだか悔しいよ……隣にいる私より、
アナタの関心を独り占めするものがあるなんて……","왠지 분한걸……곁에 있는 나보다도,
당신의 관심을 독차지하는 것이 있다니……"
4001006030340,咲耶,うっかり、妬いて爪を立ててしまいそうだ,"나도 모르게, 질투심에 손톱을 세워버릴 것 같아"
0000000000000,プロデューサー,"いや、すまない……
どうにも上手くいかないなと思って……","아니, 미안……
어떻게 해도 좀처럼 잘 안 풀리는 것 같아서……"
4001006030350,咲耶,……上手くいかない、かい？,잘 안 풀린다고?
0000000000000,プロデューサー,"ああ。ただでさえ咲耶についてきてもらっているのに、
鍵は見つからないし、水路には落ちるし、肩は借りてるし","응. 안 그래도 사쿠야에게 도움받고 있는데도,
열쇠는 보이질 않고, 수로에는 떨어지고, 어깨는 빌리고 있고"
0000000000000,プロデューサー,せめて足さえ捻ってなければ──って、これは言い訳か,"적어도 다리만 삐지 않았다면 아니, 이건 변명인가"
0000000000000,プロデューサー,"世話をかけてばかりでごめん、咲耶
……みんなにも、悪いことをしてると思ってるんだ","민폐 끼치기만 해서 미안, 사쿠야
다른 애들에게도, 나쁜 짓을 하고 있는 것 같아"
4001006030360,咲耶,……,……
4001006030370,咲耶,何も、私たちだって嫌々一緒に行動しているわけじゃない,"뭐, 우리도 마지못해 함께 행동하고 있는 건 아니야"
4001006030380,咲耶,"みんな、望んでアナタを手伝っているんだ
昨日の結華や摩美々も、待ってくれている恋鐘や霧子も","다들, 본인이 원해서 당신을 돕고 있어
어제 유이카나 마미미도, 기다리고 있는 코가네나 키리코도"
4001006030390,咲耶,それに、今日の私も,"물론, 오늘 나도"
0000000000000,プロデューサー,咲耶……,사쿠야……
4001006030400,咲耶,"だから、せっかくなら笑顔で「ありがとう」と
言ってもらえた方が嬉しいな","그러니까, 이왕이면 웃는 얼굴로 『고마워』라고
말해주는 편이 기쁘겠어"
4001006030410,咲耶,つらそうな顔の、「ごめん」ではなくてね,"괴로워보이는 얼굴로, 『미안』이라고 하지 말고 말야"
4001006030420,咲耶,どうだろう？　難しいお願いかな？,어때? 어려운 바람인가?
0000000000000,プロデューサー,ごめ──,미아  ……
0000000000000,プロデューサー,……じゃなくて、ありがとう、だな,"아니, 고마워, 구나"
