id,name,text,trans
0000000000000,智代子,"ど、どうしましょう、プロデューサーさん！
なんだか落ち着きません……！","어, 어떻게 하죠, 프로듀서님! 
어쩐지 침착할 수가 없어요……!"
0000000000000,プロデューサー,"智代子なら大丈夫だ
深呼吸でもして落ち着いてごらん","치요코라면 괜찮아 
심호흡이라도 해서 침착해져보렴"
0000000000000,智代子,"は、はい！　
……すぅ……はぁ……","ㄴ, 네! 
…… 스으…… 하아……"
0000000000000,智代子,"だ、だめです～っ！
全然落ち着けません！　どきどきしちゃって……！","아, 안 돼요~! 
전혀 진정되지 않아요! 두근두근해져서……!"
0000000000000,プロデューサー,"それじゃあ、普段通りのことをやってみよう
ちょっとは落ち着くかもしれないぞ","그러면, 평상시 하는 일을 해 보자
조금은 침착해질지도 모르니까"
0000000000000,智代子,"普段通りのこと……
じゃ、じゃあ、チョコを食べます！","평상시 하는 일…… 
음, 그러면, 초콜릿을 먹을게요!"
0000000000000,プロデューサー,ああ、いい案だ,"응, 좋은 선택이야"
0000000000000,智代子,"……はぁ……
あ……なんだか、少し落ち着いてきました","…… 하아…… 
아…… 어쩐지, 조금 침착해졌어요"
0000000000000,プロデューサー,"その調子で、いつも通りにやれば大丈夫だ！
頑張れ、智代子！","그 상태로, 언제나처럼 하면 괜찮을 거야! 
힘 내, 치요코!"
0000000000000,智代子,"……わかりました！
それじゃあ、行ってきます！","…… 알겠습니닷! 
그러면, 다녀올게요!"
info,produce_events/601000101.json,
译者,,
