id,name,text,trans
3013005010010,夏葉,えーっと、私たちの紹介記事は……,"그러니까, 우리 소개 기사는…"
3013005010020,果穂,"どんなふうになってるんでしょう！
楽しみです！",어떻게 쓰여 있을까요!\n기대됩니다!
3013005010030,夏葉,"ふふっ、ちょっと待ってね
……あっ、あったわよ。これね！","후후, 잠깐만 기다려\n아, 여기있다, 이거네!"
3013005010040,夏葉,"……こうしてみると……
色々あったわね……",이렇게 보면…\n여러가지 있었구나…
3013005010050,樹里,"あぁ、そんなに長くねー合宿だったけど、
中身は濃かったな……","그래, 그렇게 길지 않은 합숙이었지만\n한건 많았지…"
3013005010060,智代子,"そうだよねぇ……
あっ、この写真、カレー作りの時のだ！","그렇지…\n아, 이 사진, 카레 만들때야!"
3013005010070,智代子,"ちゃんとできて良かったよー
またみんなで何か作ったりしたいなぁ",제대로 만들어서 다행이었지\n또 모두하고 만들거나 해보고 싶다.
3013005010080,夏葉,"あの時は教えてくれて助かったわ
ありがとう",그 때는 가르쳐줘서 많은 도움 됐어\n고마워
3013005010090,凛世,…………,……
3013005010100,夏葉,凛世も、何か気になる写真あったの？,린제도 뭔가 신경쓰이는 사진 있어?
3013005010110,凛世,"はい……
凛世は……これが……",네…\n린제는… 이것이…
3013005010120,樹里,ああ、枕投げの時のやつだな！,"아, 베게싸움 할때의 사진이네"
3013005010130,果穂,みなさん、真剣な顔してます！,여러분 진지한 표정입니다!
3013005010140,夏葉,"ふふっ、あれは楽しかったわね
私も随分、熱くなってたわ","후후, 저때는 즐거웠지\n나도 상당히 열 올랐었고"
3013005010150,智代子,果穂は必殺技みたいなの決めてたよね,카호는 필살기 같은거 하고 그랬지
3013005010160,果穂,"ジャスティスシュートっ！
ですねっ",저스티스 슛!\n말이죠
3013005010170,凛世,大変に……強烈でございました……,대단히… 강렬했습니다…
3013005010180,夏葉,"もちろん果穂もだけど……
みんな想像以上に強かったわ",물론 카호도 그렇지만\n모두 상상 이상으로 강했어.
3013005010190,智代子,"ほんとほんと！
あー、また枕投げしたくなってきちゃった……！",정말로!\n아 또 베게싸움 하고 싶어졌다…!
3013005010200,夏葉,"さっきはみんなで料理がしたいって
言ってなかったかしら？",방금 전에는 모두하고 요리를 하고 싶다고\n하지 않았나?
3013005010210,智代子,"えへへ、だって楽しいこといっぱいだったから
まだまだ合宿やってたかったくらいだよ","에헤헤, 그야 즐거운 일 잔뜩이었으니까\n계속 계속 합숙 하고 싶을 정도야"
3013005010220,夏葉,"本当ね……
またあの学校に戻りたいとさえ思ってしまうわ……",그렇네…\n또 그 학교로 돌아가고 싶어질 정도야…
3013005010230,夏葉,"……すっかり山っぽくなってきたわね
そろそろ到着かしら？",이제 완전 산이네\n슬슬 도착일까?
3013005010240,智代子,ほんとだぁ……楽しみだねぇ,정말… 기대돼
3013005010250,夏葉,うふふ、そうね,후후 그렇네
3013005010260,夏葉,"それにしても、廃校の合宿施設なんて……
いったい、どんなところなのかしら","그렇다 해도, 폐교의 합숙 시설이라니…\n대체 어떤곳일까"
3013005010270,果穂,やっぱり、けっこう古い建物なんですか？,역시 꽤 낡은 건물인가요?
3013005010280,凛世,廃校と……いうほどですから……,폐교라고… 할 정도이기에…
3013005010290,果穂,あたし、ちょっとわくわくしてきました……！,"저, 조금 두근두근 해졌어요…!"
3013005010300,智代子,わかるよ果穂！　どんな感じなのか早く見たいよねー！,"알아, 카호! 어떤 느낌일지 빨리 보고싶지!"
3013005010310,智代子,"向こうに着いたら、自由時間に何するかも決めなきゃだし！　
みんな、やりたいこととかある？",저쪽에 도착하면 자유시간에 뭐 할지 정해야하고!\n다들 하고 싶은거라던가 있어?
3013005010320,果穂,"はい！
あたし、鬼ごっこがしたいです！",네!\n저는 술래잡기를 하고 싶습니다!
3013005010330,果穂,"誰もいない校庭全部を使ってやったら、
きっとスッゴく面白いと思うんですっ！",아무도 없는 교정 전부를 사용하면\n분명 엄청 재미있을거 같아요!
3013005010340,凛世,"果穂さんは……
お得意そうですね……","카호양은…
잘할거 같습니다…"
3013005010350,果穂,えへへ、頑張って全員捕まえちゃいます！,"에헤헤, 열심히 전원 다 잡아보겠습니다!"
