id,name,text,trans
0000000000000,プロデューサー,"久しぶりの大きな舞台だな
……樹里、緊張はしてないか？","오랜만에 큰 무대에 서는구나
 ……쥬리, 긴장 하고있진 않지?"
6011002030010,樹里,"おー…… 
いや、まぁ……緊張はしてるんだけどさ","그래…… 
 아니, 뭐……긴장은 하고있지만 말야"
6011002030020,樹里,"けど、たくさんの人に
練習の成果を見てもらうんだから……","그래도, 수많은 사람들에게
 연습의 성과를 보여줘야 되니까……"
6011002030030,樹里,"緊張すんのは当たり前だよなーとも
思うようになってきてさ","긴장하는건 당연한거 아닌가 하고
 생각이 들어서말야"
6011002030040,樹里,"……なんだろ
──慣れ、みたいな……？","……뭐랄까 
 익숙해져야 한다, 같은……?"
6011002030050,樹里,あっ、悪い意味じゃなくてな！？,"앗, 나쁜 뜻은 아니라고!?"
0000000000000,プロデューサー,"わかってるよ
……俺は、そういうのを成長って言うんだと思うぞ","알고 있다고
 ……나는, 그런걸 성장이라고 말하고 싶어"
6011002030060,樹里,"……まー
アンタがそういうなら、そうってことにしておく","……뭐
네가 그렇다고 하면, 그런거라고 해줄게"
0000000000000,プロデューサー,はは、おう,"하하, 그래"
0000000000000,プロデューサー,──それじゃあ、樹里らしく頑張ってきてくれ,"그럼, 쥬리답게 힘 내 줘"
6011002030070,樹里,……おー！,……그래!
6011002030080,樹里,"客席で待ってるファンに
今のアタシたちのこと、届けてこなくちゃな","객석에서 기다리는 팬들에게
 지금의 우리들의 모습을, 전해줘야지"
6011002030090,樹里,"──それじゃあ
行ってくるよ、プロデューサー！","──그럼
 다녀올게, 프로듀서!"
info,produce_events/601100203.json,
译者,,
