id,name,text,trans
0000000000000,プロデューサー,"灯織
仕事の資料が来たから、目を通してほしいんだが──","히오리
일에 대한 자료가 와서, 한번 읽어봐 줬으면 하는데──"
0000000000000,プロデューサー,……灯織？,……히오리?
2002009010010,灯織,え……？,네……?
2002009010020,灯織,"あっ、すみません！
ぼうっとしていました","앗, 죄송해요!
멍 때리고 있었어요."
2002009010030,灯織,えっと、なんでしょうか,"그게, 무슨일인가요?"
0000000000000,プロデューサー,"仕事の資料を渡そうかと思ったんだけど……
もしかして、具合でも悪いのか？","일에 관한 자료 건네줄까 했는데……
혹시, 몸 상태 안좋니?"
2002009010040,灯織,"あ、ああいえ、違うんです
全然体調不良とかではなくて……！","아, 아아뇨, 아니에요.
전혀 컨디션에 문제 있는게 아니라……!"
2002009010050,灯織,資料ですよね？　いただけますか？,자료 말이죠? 주실 수 있나요?
0000000000000,プロデューサー,"あ……いや……
この仕事はまだ先のやつなんだ","음…… 아니…… 
이 일은 아직 차후에 있을 일이야."
0000000000000,プロデューサー,"急ぎでもないし、
今すぐやっておくべきことでもないから……","급한것도 아니기도 하고,
지금 알아야 할 것도 아니니까……"
0000000000000,プロデューサー,"今日はもう帰って、しっかりご飯を食べて
ゆっくり休もう","오늘은 일찍 돌아가서, 제대로 밥 먹고
푹 쉬어."
2002009010060,灯織,いえ、でも…………,"아뇨, 하지만……"
0000000000000,プロデューサー,たまにはこういう日があってもいいと思うんだ,가끔은 이런 날이 있어도 괜찮다고 생각해.
0000000000000,プロデューサー,それでさ、また明日から頑張ろう,"그리고, 내일부터 열심히 해보자."
2002009010070,灯織,でも──,하지만──
2002009010080,灯織,"……いえ、わかりました
今日は早めに休みます","……아뇨, 알겠어요.
오늘은 일찍 돌아가 볼게요."
2002009010090,灯織,"プロデューサーもお疲れだと思うので、
なるべく早く帰って、ちゃんと休んでくださいね","프로듀서도 피곤하신거 같아 보이니까,
가급적 빨리 돌아가셔서, 제대로 푹 쉬셔야 해요?"
0000000000000,プロデューサー,ああ、わかった。ありがとう,"그래, 알았어. 고마워."
2002009010100,灯織,"じゃあ……私帰ります
お疲れ様でした","그럼…… 저 돌아가 볼게요.
수고 많으셨어요."
0000000000000,プロデューサー,お疲れ様。寒いから気を付けて,수고 많았어. 추우니까 조심히 돌아가렴.
2002009010110,灯織,"はい、ありがとうございます
失礼します","네, 고마워요.
먼저 실례할게요."
0000000000000,プロデューサー,……………,…………
0000000000000,プロデューサー,（ちょっと引っかかるんだよな……）,(조금 마음에 걸린단 말이지……)
0000000000000,プロデューサー,"（……何かあったんだろうか
体調不良じゃないなら、悩みごと……とか──）","(……무슨 일이라도 있었던걸까
몸 상태가 안좋은게 아니라면, 고민이라도…… 있는걸까──)"
2002009010120,灯織,"……では、失礼します
今日もお疲れ様でした","……그럼, 먼저 실례할게요.
오늘도 수고 많으셨어요."
0000000000000,プロデューサー,あっ灯織、ちょっと待ってくれ！,"앗 히오리, 잠깐만 기다려줘!"
2002009010130,灯織,……？,……?
0000000000000,プロデューサー,"この後って予定あるか？
よかったら一緒に夜ご飯食べて帰らないかと思って","이 뒤로 예정 있니?
괜찮다면 나랑 같이 저녁 먹고 돌아가지 않을래?"
2002009010140,灯織,"えっと、なにもありません
大丈夫です","그게, 아무 예정없어요.
가도 괜찮아요."
0000000000000,プロデューサー,"えっ、最近はひとりで外食してるのか
……じゃあ、今日もどこかに行くつもりだった？","엑, 요즘에 혼자서 외식하고 있었구나.
……그럼, 오늘도 어딘가 갈려고 했었어?"
2002009010150,灯織,はい……すみません……,네…… 죄송해요……
0000000000000,プロデューサー,"こっちこそすまん
灯織が謝ることじゃないよ","이쪽이야말로 미안.
히오리가 사과할 일이 아니야."
0000000000000,プロデューサー,"いつも自分で作るって聞いてたから、意外でさ
そういう日だってあるよな","항상 스스로 만들어서 먹는다고 들어서, 의외구나 싶었어.
그런 날도 있겠지."
0000000000000,プロデューサー,"やっぱり、家と学校と仕事って
３つも考えなきゃいけないの、大変だよな……","역시, 집이랑 학교랑 일이랑
세 개다 생각해야 하니까, 힘들겠는걸……"
2002009010160,灯織,いえ、そんなことはないです,"아뇨, 그렇지 않아요."
2002009010170,灯織,"今だけ……
ちょっと、余裕がないだけで","지금만……
잠깐, 여유가 없어서요."
0000000000000,プロデューサー,"……これは提案なんだけどさ
仕事量、調整するって手も──","……이건 그냥 물어보는건데
스케줄량, 조절 하는건──"
2002009010180,灯織,仕事はしたいです！,일은 하고 싶어요!
2002009010190,灯織,っ……すみません、急に,"앗…… 죄송해요, 갑자기"
2002009010200,灯織,でも、減らすのは嫌です……すみません……,"하지만, 줄이는건 싫어요…… 죄송해요……"
0000000000000,プロデューサー,……そうか,……그렇구나
select,,わかった,알았어
select,,じゃあ、頑張ろう,"그럼, 열심히 해보자"
select,,"ダメそうな時は
頼ってくれ","안될거 같을 때에는
말해줘"
0000000000000,プロデューサー,"俺は灯織を信じるよ
調整はしない","난 히오리를 믿고 있어.
조정은 안할게."
0000000000000,プロデューサー,"でも、これ以上は厳しいと思った時は、
俺の一存で止めるけど、いいか？","하지만, 이 이상 어려울 거 같단 생각이 들면,
내 독단적으로 말릴건데, 괜찮지?"
2002009010210,灯織,"はい、それで構いません
ありがとうございます……","네, 그건 상관 없어요.
고마워요……"
0000000000000,プロデューサー,今だけなんだよな？,지금만 인거지?
2002009010220,灯織,はい。ずっとじゃありません,네. 계속 그렇지는 않아요.
2002009010230,灯織,私は大丈夫です,전 괜찮아요.
2002009010231,灯織,だから、よろしくお願いします,"그러니까, 잘 부탁 드릴게요."
0000000000000,プロデューサー,"いつでも、どんなことでもいい
そのために俺がいるんだから","어느 곳이든, 언제라도 말해도 괜찮아.
그걸 위해서 내가 있는거니까."
2002009010240,灯織,プロデューサー……,프로듀서……
2002009010250,灯織,"すみません
……ありがとうございます","죄송해요
……고마워요."
info,produce_events/200200901.json,
译者,,
