id,name,text,trans
4901006020010,社長,"なんだその曖昧な返事は……？
まさかアイドルにもそんな態度ではないだろうな？","뭐냐 그 애매한 대답은...?
설마 아이돌 앞에서도 그러는건 아니겠지?"
0000000000000,プロデューサー,"い、いえ、そんなことはありません……！
うまくやれているのか、自信が無くてつい……","아, 아뇨 그렇지 않습니다...!
잘하고 있는지 자신이 없어서 그만..."
4901006020020,社長,"フン、そういうことか……
いいか、よく聞けプロデューサー","흠, 그런건가...
좋아, 잘 들어라 프로듀서"
4901006020030,社長,"お前が迷えばアイドルが迷う
現場のスタッフや関係者もそれは同じだ","너가 헤메면 아이돌이 헤멘다
현장의 스텝과 관계자도 마찬가지다"
4901006020040,社長,"自信が無くとも胸を張れ
その時々で全力を尽くせば、そう間違いは起こらない","자신이 없어도 가슴을 피도록
그때그때마다 전력을 다하면 그런 실수는 하지 않게된다"
0000000000000,プロデューサー,"は……はい！
ありがとうございます、天井社長！","네... 네!
감사합니다, 아마이 사장님"
4901006020050,社長,"……それでは次の質問だ
アイドルを導く上で、気を付けていることはなんだ？","그러면 다음 질문이다
아이돌을 이끌때 조심해야 할건 무었이지?"
select,,"身だしなみや
清潔感です","몸가짐이나
청결함 입니다"
select,,誠実さです,성실함 입니다
select,,"アイドルの
売り出し方です","아이돌의
판매법 입니다"
info,special_communications/490100621.json,
译者,,
