id,name,text,trans
0000000000000,司会,始まりました『新春アイドル羽根つき大会』！,시작됐습니다 『신춘 아이돌 하네츠키 대회』！
0000000000000,司会,"今回参加していただくのは～
『ストレイライト』のみなさんです！","이번에 참여해 주신 분은~
『스트레이라이트』 여러분입니다！"
3018005030001,一同,よろしくお願いします！,잘 부탁드립니다！
3018005030010,冬優子,（あーあ、結局、全然練習できなかった……）,"( 아ー아, 결국, 전혀 연습못했어…… )"
0000000000000,司会,"みなさんには
トーナメント形式で互いに戦ってもらいますよ","여러분들은
토너먼트형식으로 서로 싸워 주셨으면 합니다"
0000000000000,司会,……敗者はもちろん墨を塗られまーす！,……진 사람은 물론 먹물을 바릅니다！
3018005030020,冬優子,え～、そんなぁ～！,"에~, 그런~！"
3018005030030,冬優子,（……どーせ、墨塗り確定……）,"( ……당연히, 먹물범벅 확정…… )"
0000000000000,司会,"さて、ではさっそく始めます！
その前に！　ここでひとつ、ルールを追加します！","자, 그러면 바로 시작하겠습니다！
그 전에！ 여기서 하나, 룰을 추가합니다！"
3018005030031,一同,！,！
0000000000000,司会,追加ルールはみなさんに決めてもらいますよ～,추가 룰은 여러분들이 정해주실게요~
3018005030040,冬優子,"わあ……！
どうやって決めるんですか？","와아……！
어떻게 정하는 건가요？"
0000000000000,司会,"この箱に何枚か紙が入っています
１枚引いてもらい、出たものを追加ルールとします！","이 상자에  몇장의 종이가 들어 있습니다
한장을 뽑아서, 나온 것을 추가 룰으로 합니다！"
0000000000000,司会,"では、質問をしてくれたので
黛さん、引いてもらえますか？","그러면, 질문해 주셨으니
마유즈미씨, 뽑아 주시겠어요 ？"
3018005030050,冬優子,はーい！,네ー！
3018005030060,冬優子,これでお願いしますっ,이거로 부탁드릴게요
3018005030070,冬優子,（……今更、ルールがひとつ増えたところで……）,"( ……이제와서, 룰이 하나 추가된 정도로…… )"
0000000000000,司会,では……追加ルールを発表します！,그러면…… 추가 룰을 발표하겠습니다！
3018005030071,一同,……,……
0000000000000,司会,追加ルールは──,추가 룰은──
0000000000000,司会,"『新春アイドル羽根つき大会』
優勝者は黛冬優子さんに決まりました！","『신춘 아이돌 하네츠키 대회』
우승자는 마유즈미 후유코씨로 정해졌습니다！"
3018005030080,冬優子,"わあ……！
ありがとうございますっ！","와아……！
감사합니다！"
0000000000000,司会,黛さん、勝利のひとことをどうぞ！,"마유즈미씨, 승리하신 소감을 부디！"
3018005030090,冬優子,"テレビの前のみなさん！
応援ありがとうございますっ！","TV앞에 계신 여러분들！
응원 감사합니다！"
3018005030100,冬優子,"これからも、ふゆの応援、
よろしくお願いしますっ！","앞으로도, 후유의 응원,
잘 부탁드릴게요！"
0000000000000,司会,"素敵な笑顔をいただきました！
では、そろそろお別れのお時間となります！　さようなら～","멋진 미소를 받았습니다！
그러면, 이만 헤어질 시간이 되었습니다！ 안녕~"
3018005030110,冬優子,ありがとうございました～！,수고하셨습니다~！
3018005030120,冬優子,あっははは～！　やった～！,앗하하하~！ 해냈다~！
3018005030130,愛依,あの追加ルールなら冬優子ちゃん強いよね～,그 추가 룰이라면 후유코쨩 강하네~
3018005030140,あさひ,"わたしはまだ納得してないっす～
もう１回勝負するっすよ～","저는 아직 납득이 안감다~
한번 더 승부하고 싶슴다~"
3018005030150,冬優子,"嫌よ
もうやる意味ないでしょ","싫어
이제 하는 의미가 없잖아"
3018005030160,愛依,けど、冬優子ちゃん、持ってるよね～,"그치만, 후유코쨩, 운 좋네~"
3018005030170,冬優子,運も実力のうちなのよ,운도 실력중 하나야
0000000000000,司会,追加ルールは～……,추가 룰은~……
0000000000000,司会,"『アイドルなら朝飯前？　
笑顔を絶やさずプレーしよう！』です！","『아이돌이라면 누워서 떡먹기？　
끊임 없이 미소를 지으며 플레이하자！』입니다！"
3018005030180,あさひ,"どういうことっすか！？
詳しく知りたいっす！","무슨 의밈까！？
자세하게 알고 싶슴다！"
0000000000000,司会,"笑顔が一番輝いていた人に
ボーナスポイントが入りま～す！","미소가 가장 빛났던 사람에게
보너스 포인트가 들어가겠습니다~！"
3018005030190,冬優子,……！,……！
3018005030200,冬優子,……よっし！,……좋았어！
0000000000000,司会,お！　黛さん、自信満々の表情ですね～,"오！ 마유즈미씨, 자신만만한 표정이네요~"
3018005030210,冬優子,"えぇ～、そんなことないですよぉ
ベストを尽くして頑張りますねっ、ふふっ","에에~, 그렇지 않아요
최선을 다해 열심히 할게요, 후훗"
0000000000000,司会,"頑張ってください～
では、みなさんは衣装に着替えてくださーい","열심히 해주세요~
그러면, 여러분들은 의상으로 갈아입어주세요"
3018005030220,冬優子,はーい！,네ー！
3018005030230,冬優子,（……いける……！）,（……할 수 있어……！）
3018005030240,あさひ,わたしの笑顔だって輝いてたっす～！,제 미소도 빛나고 있었슴다~！
3018005030250,冬優子,結果がすべてを物語ってるのよ,결과가 전부를 말해준다는 거야
3018005030260,愛依,"まぁまぁ、あさひちゃん
笑顔の特訓して負けないようにすればいいじゃん？","자 자, 아사히쨩
미소의 특훈을 해서 지지 않도록 하면 되잖아？"
3018005030270,あさひ,冬優子ちゃんに笑顔で勝つ……,후유코쨩에게 미소로 이긴다……
3018005030280,あさひ,"面白そっす！
冬優子ちゃん、今度勝負するっすよ！","재밌어보임다！
후유코쨩, 다음에 승부하는 검다！"
3018005030290,冬優子,"そうねぇ……
──いつでも受けてあげるけど？","그렇단 말이지……
──언제든지 받아줄 수 있는데？"
3018005030300,冬優子,もちろん、負けるつもりはないけどね！,"물론, 질 생각은 없지만 말야！"
info,produce_events/301800503.json,
译者,,
