id,name,text,trans
0000000000000,プロデューサー,そういえば、ユニットのみんなとは上手くやれてるのか？,"그러고보니, 유닛의 모두랑은 잘 지내고 있어?"
1018001000210010,冬優子,"はい！
あさひちゃんも愛依ちゃんもすっごく可愛くて……","네!
아사히쨩도 메이쨩도 엄청 귀여워서......"
1018001000210020,冬優子,"こんな可愛い子たちと一緒のユニットでいいのかなって、
ちょっと不安になっちゃいます……えへへ","그런 귀여운 아이들과 함께 유닛을 해도 괜찮은 걸까,
조금 불안해져요......에헤헤"
0000000000000,プロデューサー,"そんなふうに言うことないんだぞ
だって……","그런 식으로 말하지 마렴
그야......"
select,,期待してるんだからな,기대하고 있으니까
select,,"冬優子も
可愛いんだからな","후유코도
귀여우니까"
select,,最年長なんだからな,"최연장자니까 "
1018001000210030,冬優子,"期待……
ふゆに期待、ですか……？","기대......
후유에게 기대, 하시는 건가요......?"
1018001000210040,冬優子,"……えへへっ！　ありがとうございます！
そう言われたら、弱音なんて言ってられないですね！","......에헤헷! 고맙습니다!
그렇게 말씀하시면, 약한소리 같은 걸 할 수가 없네요!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기 했어)"
1018001000210050,冬優子,"そ、そんな……！
ふゆなんて、みんなに比べたらまだまだ……","그, 그런......!
후유같은 거, 모두에 비하면 아직 한참......"
1018001000210060,冬優子,"……でも、プロデューサーさんのこと……
信じて、ますからね……？","......그래도, 프로듀서님에 대한 거......
믿고, 있으니까요......?"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기 했네)"
1018001000210070,冬優子,"最年長……
確かに、ふゆが一番年上、ですもんね……","최연장자......
확실히, 후유가 제일 연상, 이네요......"
1018001000210080,冬優子,"お姉さんなんだから……
ちゃんとしないと、ですよね……","언니니까......
제대로 하지 않으면, 안되겠죠......"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽......실수다. 다른 걸 말했으면 좋았을 걸......)
info,produce_communications/101800100021.json,
译者,,
