id,name,text,trans
4018001000110010,冬優子,"審査員さんって、怖い方なんでしょうか……？
うう、緊張しちゃいます～……","심사위원 분은, 무서운 분인가요......?
우우, 긴장해버려요~......"
0000000000000,プロデューサー,（審査員が気になるみたいだな……）,(심사위원이 신경쓰이나 보구나......)
select,,楽しいことを考えよう,즐거운 걸 생각하자
select,,深呼吸をしよう,심호흡을 하자
select,,緊張は見抜かれるぞ,긴장이 간파당하겠어
4018001000110020,冬優子,"うーん、楽しいこと、楽しいこと…………
なんだか、ちょっとだけ気持ちが楽になりました……！","으음, 즐거운 일, 즐거운 일............
어쩐지, 조금이지만 기분이 좋아졌어요......!"
0000000000000,プロデューサー,（よし、前向きになれたかな）,"(좋아, 적극적으로 된 것 같아)"
4018001000110030,冬優子,"すー……はー……
ちょ、ちょっとだけ、落ち着けた、気が……します……","후ー……하ー……
조, 조금이지만, 진정한, 기분이......들어요......"
0000000000000,プロデューサー,（まだ震えてるけど、ちょっとはマシになったかな）,"(아직 떨고 있지만, 조금은 괜찮아졌을까)"
4018001000110040,冬優子,"や、やっぱりそうですよね……！？
ふゆ、怒られちゃったらどうしましょう……！","여, 역시 그런가요......!?
후유, 야단 맞으면 어쩌죠......!"
0000000000000,プロデューサー,（しまった、余計緊張させちゃったな……）,"(큰일이다, 더욱 긴장시켜 버렸어......)"
info,produce_communication_cheers/401800100011.json,
译者,,
