id,name,text,trans
3011004030010,樹里,あっついなー……,더워……
3011004030020,智代子,あっついねー……,덥네……
3011004030030,凛世,……,……
3011004030040,智代子,なんか、最近ずっとこの３人で暑いって言ってるよねー,"왠지, 요즘 우리３명이서 계속 덥다고 하네"
3011004030050,凛世,……,……
3011004030060,樹里,まぁ……凛世はわかんねーけどな……,뭐……린제는 모르겠지만 말야……
3011004030070,樹里,──な、何やってんだ、凛世？,"뭐, 뭐하는 거야, 린제?"
3011004030080,凛世,"凛世は……
雨を乞おうかと……","린제는……
기우제를 지내볼까 하고......"
3011004030090,樹里,"え、雨を……って
その人形でか……？","어, 기우제를……아니, 
그 인형 가지고……?"
3011004030100,智代子,わ、藁人形くんは万能だね……！,"지, 지푸라기 인형 군은 만능이네……!"
3011004030110,凛世,"はい……
この願い、天に……届きますよう……","네……
이 염원, 하늘에……닿도록……"
3011004030120,智代子,"……そ、そっか。涼しくなるなら雨でも良いもんね！
なーむー……！","……그, 그래. 시원해지기만 한다면 비라도 오는게 좋지!
음……!"
3011004030130,樹里,おい、チョコまで……,"야, 쵸코 너까지……"
3011004030140,智代子,"……ん、あれ？
雨、降ってきた？","……응, 어라?
비 오는 거야?"
3011004030150,智代子,"す、すごいよ凛世ちゃん！
ほんとに降ってきちゃった……！","괴, 굉장해 린제 쨩!
진짜로 오기 시작했어……!"
3011004030160,樹里,"お、マジかよ
これでちょっとは涼しくなるんじゃ──","오, 진짜냐고
이걸로 조금은 시원해 지는게"
3011004030170,智代子,"うわあっ！？
すごい降ってきた！","우와앗!?
엄청 쏟아진다!"
3011004030180,樹里,"ゲリラ豪雨だぞ、これ！
どっかで雨宿りしねーと……！","게릴라 호우잖아, 이거!
어디 가서 비를 피하지 않으면……!"
3011004030190,凛世,"申し訳ございません……
随分と……濡れてしまいました……","죄송합니다……
상당히…...젖어버렸습니다……"
3011004030200,智代子,"凛世ちゃんのせいじゃないよ！
おかげで涼しくなったし","린제 쨩 탓이 아니야!
덕분에 시원해지기도 했고"
3011004030210,樹里,"そうだぜ
……まぁ、タイミングはびびったけどな","그래
……뭐, 타이밍이 절묘해서 쫄았지만 말야"
3011004030220,智代子,"神社があって良かったよー
……この辺、なんにもないもんね","신사가 있어서 다행이야
……이 근처, 아무것도 없는 것 같네"
3011004030230,樹里,"ああ……ちょっと寄り道しすぎちゃったな……
ここ、なんの神社だ？","응……너무 돌아서 와버렸네……
여기, 무슨 신사야?"
3011004030240,凛世,"おそらくは……
水の神の……社でしょう……","아마도……
수신의……신사겠죠……"
3011004030250,樹里,"へぇー、水ね……
……ま、まさか、さっきの雨乞い……──！","오, 물의 신이라……
……서, 설마, 아까 기우제……!"
3011004030260,凛世,"はい……
あるいは……雨を上げることも……","네……
어쩌면……비를 그치게 하는 일도……"
3011004030270,智代子,いやいやいや……！？,잠깐잠깐잠깐……!?
3011004030280,智代子,"……で、でも……やってみる価値は……
神様だったら怖いこともないもんね……？","……그, 그래도…… 해 볼만한 가치는……
신님이라면 무서울 것도 없는 거지……?"
3011004030290,樹里,お、おい……！,"야, 야……!"
3011004030300,凛世,はい……！,네……!
3011004030310,智代子,……すっ……,……슥……
3011004030320,樹里,"……な、なんだ？
菓子を……お供えしてんのか……？","……뭐, 뭐야?
과자를……공양 하는거야……?"
3011004030330,智代子,"そう……。何事もお供え物から始まるんだよ……
雨が上がりますように……！　神様……！","그래…… 뭐든지 공양물부터 두고 시작하는 거라구……
비가 그치도록 해주세요……!　신님……!"
3011004030340,樹里,な、なるほど……,"그, 그렇구나……"
3011004030350,智代子,神様……！,신님……!
3011004030360,智代子,……だ、ダメかなぁ……,"……트, 틀린 건가……"
3011004030370,樹里,全然止まねーな……,전혀 그치질 않네……
3011004030380,凛世,"では……
凛世が参りましょう……","그럼……
린제가 해보겠습니다……"
3011004030390,智代子,おおっ……,오오……
3011004030400,凛世,すぅ……,스읍……
3011004030410,凛世,"プロデューサーさま……
雨を……お止めくださいませ……","프로듀서 님……
비를……멈추어 주시옵소서……"
3011004030420,樹里,ま、マジか……凛世……,"지, 진심이냐……린제……"
3011004030430,智代子,か、神様じゃないんだね……！,"시, 신님한테 비는 게 아니었구나……!"
3011004030440,樹里,いや、でもご利益さえあれば……,"아니, 그래도 공덕만 있다면……"
3011004030450,凛世,……,……
3011004030460,樹里,ダメか……,안 되나……
3011004030470,凛世,"申し訳ございません……
つい……プロデューサーさま、と……","죄송합니다……
무심코……프로듀서 님, 이라고……"
3011004030480,智代子,"り、凛世ちゃん……ドンマイだよっ！
……えっと、じゃあ……樹里ちゃん……","리, 린제 쨩……신경쓰지 마!
……그러니까, 그럼……쥬리 쨩……"
3011004030490,樹里,"……え？
……え、アタシもやんのか！？","……응?
……뭐, 나도 하는 거냐!?"
3011004030500,智代子,だって……私も凛世ちゃんもやったんだし……,아니 그게……나도 했고 린제 쨩도 했으니까……
3011004030510,樹里,"……わ、わかったよ
えーと……","……아, 알았다고
그러니까……"
3011004030520,智代子,あ、お辞儀してる……！,"아, 절 하고 있어……!"
3011004030530,樹里,"おう、２回お辞儀して、２回手を打って、
１回、お辞儀……","그래, ２번 절 하고, ２번 손뼉을 치고, 
１번, 절……"
3011004030540,凛世,"二礼二拍手……一礼……
神社での……作法です……","２례２박수……１례……
신사에서의……예법입니다……"
3011004030550,樹里,"ああ、それそれ
そーいうのをちゃんとやんねーとダメなんじゃねーか？","맞아, 그거 그거
그런 걸 제대로 하지 않으면 안 되는 거 아냐?"
3011004030560,智代子,"な、なるほど……
樹里ちゃん、すごいね……！","과, 과연……
쥬리 쨩, 굉장하네……!"
3011004030570,樹里,"もっかい礼して……
パンパン、と","한 번 더 절하고……
짝짝, 하고"
3011004030580,樹里,雨が止みますように……,비가 그치도록 해주세요……
3011004030590,智代子,……,……
3011004030600,凛世,……,……
3011004030610,智代子,や、止みそうじゃない……？,"그, 그치는 것 같지 않아……?"
3011004030620,凛世,"空が……
明るく……なって参りました……","하늘이……
밝아져……오고 있습니다……"
3011004030630,智代子,やったー！,됐다!
3011004030640,樹里,え、えっ……？,"어, 뭐라고……?"
3011004030650,凛世,"礼節を尽くし……祈る……
素晴らしい……お志です、樹里さん……","예절을 갖추어……비는……
훌륭한……정성입니다, 쥬리 씨……"
3011004030660,樹里,い、いや……アタシは……,"아, 아니……나는……"
3011004030670,智代子,あっ、もう夕焼けだよー！,"앗, 벌써 저녁놀이 지고 있어!"
3011004030680,樹里,"ほんとだ
しずくが……きらきらしてるな","진짜다
물방울이……반짝반짝 하네"
3011004030690,凛世,"はい……
家路を急ぐ……刻限です……","네……
서둘러 귀가할……시간입니다......"
3011004030700,樹里,……,……
3011004030710,智代子,樹里ちゃん……？,쥬리 쨩……?
3011004030720,樹里,"え？　……ああ、
いや……","어?　……아아, 
아니……"
3011004030730,樹里,（雨、上げてくれて、ありがとう……ございます）,"（비, 그치게 해주셔서, 감사……합니다）"
3011004030740,樹里,おーし、帰るか！,"좋아, 돌아갈까!"
info,produce_events/301100403.json,
译者,,
