id,name,text,trans
0000000000000,プロデューサー,"（…………真乃
少し緊張しているんだろうか……）","(…………마노
조금 긴장하고있는걸까……)"
0000000000000,プロデューサー,"…………よーし
──『むんっ』！","………좋아
──『뭉』!"
6001003010010,真乃,"ほわ……っ
ぷ、プロデューサーさん？","호왓…!
프, 프로듀서님?"
0000000000000,プロデューサー,"こう手をギュッとして力むと、
元気が出るって思ってな","이렇게 손을 꼬옥 쥐면,
기운이 날거라 생각했어"
0000000000000,プロデューサー,"……ほら、真乃も一緒にどうだ……？
──『むんっ』","………자, 마노도 함께 어때……?
──『뭉』!"
6001003010020,真乃,は、はい……,"네, 네에……"
6001003010022,真乃,──むんっ,──뭉…
0000000000000,プロデューサー,"もう一度、今度は一緒に
腕を大きく動かしながら──","한번더, 이번에는 함께
팔동작을 크게 하면서──"
6001003010021,真乃＆プロデューサー,──むんっ,──뭉!
6001003010030,真乃,"…………ふふっ、本当ですっ
なんだか気持ちがぽかぽかしてきた気がしますっ","…………후훗, 정말이네요
왠지 마음속이 따끈따끈해지는 느낌이 들어요"
0000000000000,プロデューサー,"はは、よかった……！　その調子で、
今日の予選、まずは元気よく自己紹介しよう……！","하하, 다행이다……! 그 기운을 담아,
오늘 예선, 먼저 힘차게 자기소개를 하자……!"
0000000000000,プロデューサー,"きっと、真乃のことを知らない人もいるだろうからさ
それだけでもできたら、今日は大丈夫だよ","분명, 마노를 모르는 사람도 있을테니까 말이야
그걸 해낸다면, 오늘은 괜찮을거야"
6001003010040,真乃,"自己紹介……はいっ、わかりました
やってみますね……っ","자기소개……넷, 알겠습니다
해볼게요……!"
info,produce_events/600100301.json,
译者,,
