id,name,text,trans
1001001001310010,真乃,プロデューサーさんっ……,"프로듀서님… "
0000000000000,プロデューサー,ん、どうした？,"응, 왜 그래?"
1001001001310020,真乃,"この前、ファンの方から『癒される～』って言われたんです
だけど、なんて返事していいか、わからなくて……","이 전에, 팬분이 『치유된다~』라고 하셨어요 
그런데, 뭐라고 대답해야 좋을지, 모르겠어서… "
0000000000000,プロデューサー,（ファンの気持ち、よくわかるなぁ）,"(팬이 어떤 기분인지, 잘 알겠군)"
select,,何も言わず、微笑,"아무 말도 없이, 미소"
select,,「ほわ～」って言おう,「호와~」라고 하자
select,,"「ありがとう」で
いいんじゃ","「고마워요」면 
된거아냐"
1001001001310030,真乃,"……何も言わずに微笑めばいいんですか？
えっと……こう、でしょうか？","… 아무 말도 안하고 웃으면 되나요? 
어…  이렇게, 하면 될까요?"
1001001001310040,真乃,"ほわ……？
プロデューサーさんまでにこにこ顔になりました？","호와… ? 
프로듀서님도 웃는 얼굴이 됐는데요?"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기한 거 같아)"
1001001001310050,真乃,"ほわ～って言えばいいんですか……？
ええと、じゃあ練習してみますね","호와~라고 하면 되나요… ? 
음, 그럼 연습해볼게요"
1001001001310060,真乃,"ほわ～……違うような気が……？
ほわ～……こんな感じですか、プロデューサーさん？","호와~…  뭔가 아닌거 같은데… ? 
호와~…  이런 느낌으로 될까요, 프로듀서님?"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했군)"
1001001001310070,真乃,はいっ、次からはそうしてみますねっ,"네, 다음부턴 그렇게 할게요"
1001001001310080,真乃,"ほわわわ……
私って、癒されるんですねぇ……？","호와와와…  
저는, 치유되는 거죠… ?"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(읏…  실수했다. 다른 말을 했으면 좋았을텐데… )
info,produce_communications/100100100131.json,
译者,,
