id,name,text,trans
4001001000130010,真乃,"プ、プロデューサーさんっ
私の衣装……おかしなところはありませんか？","프, 프로듀서님 
제 의상…  이상한데 없죠?"
0000000000000,プロデューサー,（衣装か。問題無いように見えるが……）,(의상이라. 문제 없어 보이는데… )
select,,"どこから見ても
アイドルだぞ","어딜봐도 
아이돌이야"
select,,"どこに出しても
恥ずかしくないぞ","어디 내놔도 
부끄럽지 않겠군"
select,,大事なのは中身だ,중요한건 내용물이야
4001001000130020,真乃,ありがとうございますっ……精一杯アイドルしてきます！,감사합니다…  최선을 다해 아이돌답게 하고 올게요!
0000000000000,プロデューサー,（よし。この様子なら問題無いだろう）,(좋아. 이 정도면 문제 없겠지)
4001001000130030,真乃,"ほわっ……
あ、どこも問題ないって意味、なんですね","호와…  
아, 하나도 문제 없다는 의미, 였군요"
0000000000000,プロデューサー,（少しは安心して貰えただろうか）,(조금은 안심했으려나)
4001001000130040,真乃,ほわ……でも、せっかくの衣装ですし……,"호와…  그치만, 모처럼 입은 의상인데… "
0000000000000,プロデューサー,（もう少し、言葉を選んだほうが良かったか……）,"(좀 더, 적절한 말을 했어야 했나… )"
info,produce_communication_cheers/400100100013.json,
译者,,
