id,name,text,trans
0000000000000,プロデューサー,うわ！　なんだこれ！,왓! 뭐야 이건!
1017001000210010,あさひ,プロデューサーさんじゃないっすか,프로듀서님 인검까?!
1017001000210020,あさひ,どうしたんすか？　そんなにびっくりして,무슨 일임까? 그렇게 놀라서
0000000000000,プロデューサー,（散らかしたことに気付いていないのか……）,(어질러 놓은 것을 신경 쓰지 못하는 건가……)
select,,探し物はこれだな,찾는 건 이거야
select,,早く片付けなさい,빨리 정리해
select,,足の踏み場が……,발 디딜 곳이……
1017001000210030,あさひ,なんでわかったっすか！？,어째서 안 것임까?
1017001000210040,あさひ,"何か面白い力でも持ってるんすか！　プロデューサーさん
もっと見せてほしいっす","뭔가 재밌는 힘이라도 가진검까?! 프로듀서님
좀더 보여 줬으면 좋겠슴다"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다)"
1017001000210050,あさひ,"片付けるんすか？
……まぁ、確かに散らかってるっすね","정리 하는검까?
……뭐, 확실히 어지르긴 했네요"
1017001000210060,あさひ,よぉーし、やるっすよ～！,"좋아, 하는거야~!"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나)"
1017001000210070,あさひ,まだまだ歩けるじゃないっすか！,아직 걸을수 있지 않슴까!
1017001000210080,あさひ,あっちとか、あとそっちとか！,"이쪽이나, 그러고 저쪽이나!"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽……실수다. 다른 얘기를 할껄 그랬어……)
info,produce_communications/101700100021.json,
译者,,
