id,name,text,trans
4901009340010,あさひ,！？　なんの音っすか！？,！？ 무슨 소림까！？
0000000000000,プロデューサー,"あさひ！　俺からの挑戦状だ！
事務所のあちこちにお菓子を隠しておいた！","아사히！ 내가 보내는 도전장이다！
사무소 이곳 저곳에 과자를 숨겨놨다！"
0000000000000,プロデューサー,"この紙にヒントが書いてあるぞ！
さーて……全部見つけられるかな？","이 종이에 힌트가 적혀있지！
그럼…… 전부 찾아낼 수 있을까？"
4901009340020,あさひ,"おぉっ！　面白そうっすね！
プロデューサーさん！　勝負っす！","오옷！ 재밌어 보이네요！
프로듀서님！ 승부임다！"
4901009340030,あさひ,プロデューサーさん！　全部見つけたっす！,프로듀서님！ 전부 찾았슴다！
0000000000000,プロデューサー,お！　お疲れ様！,오！ 수고했어！
4901009340040,あさひ,"プロデューサーさん！
このお菓子、返すっす！","프로듀서님！
이 과자, 돌려드리겠슴다！"
0000000000000,プロデューサー,え？　いらないのか？,어？ 필요없니？
4901009340050,あさひ,"もう１回やりたいから
別のところに隠してほしいんすよ！","한번 더 하고 싶으니까
다른 곳에 숨겨줬으면 함다！"
4901009340060,あさひ,もっともっと遊ぶっす！,더욱 더욱 노는 검다！
info,special_communications/490100934.json,
译者,,
