id,name,text,trans
3006005010010,咲耶,"おはようございます
……まだ誰も来ていないのか……","좋은 아침입니다
……아직 아무도 안 온 건가……"
3006005010020,咲耶,"（少し、早く来すぎてしまったみたいだな
レッスンまで、まだ時間もあるし……）","(조금, 너무 일찍 와버린 것 같네 
레슨까지, 아직 시간도 있고……)"
3006005010030,咲耶,（ん？　この花……前は飾ってなかったのに……）,(응? 이 꽃…… 전에는 장식하지 않았는데……)
3006005010040,咲耶,"色とりどりで美しい
小さいけれど、とても可憐だ……","여러가지 색이라 아름다워
작지만, 무척 가련하네……"
3006005010050,咲耶,"（なんという花だったかな……
見たことはあるんだけれど……）","(뭐라고 하는 꽃일까…… 
본 적은 있지만……)"
3006005010060,霧子,あ……おはよう……,아…… 좋은 아침……
3006005010070,咲耶,"おはよう、霧子
……どうしたんだい？　結構な荷物だね","좋은 아침, 키리코 
……왜그러니? 상당한 짐이구나"
3006005010080,霧子,あの、そのお花に……,"저, 그 꽃에……"
3006005010090,咲耶,"ああ、お世話をしようとしていたのか
……もしかして、飾ってくれたのも霧子だったのかな","아아, 보살펴 주려고 했던 거구나
……혹시, 장식해 준 것도 키리코였던 거려나"
3006005010100,霧子,う……うん,으……응
3006005010110,咲耶,"素敵な気遣い、ありがとう
ええと……そうだ、確かこの花は、スターチスだったかな","멋진 보살핌, 고마워
음 그러니까…… 맞다, 확실히 이 꽃, 스타티스였던가 "
3006005010120,霧子,うん……,응……
3006005010130,霧子,"いろんな色があって……
……みんながいるみたい","여러가지 색이 있어서……
……모두가 있는 것 같아 "
3006005010140,咲耶,"フフ、確かにそうだね
いろんな色が集まって、まるで私たちみたいだ","후후, 확실히 그렇네 
여러가지 색이 모여서, 마치 우리들 같아 "
3006005010150,咲耶,"おっと、失礼
ここにいては邪魔になってしまうね","어이쿠, 실례
여기 있으면 방해가 되겠지"
3006005010160,咲耶,……さあ、どうぞ,"……자, 부디"
3006005010170,霧子,"あっ、ご、ごめんね……！
ありがとう……","앗, 미, 미안해…… !
고마워……"
3006005010180,咲耶,"へえ
茎を少し切るんだね","헤에
줄기를 조금 자르는 거구나 "
3006005010190,霧子,"……うん
こうすると、長く元気でいてくれるんだ……","……응
이렇게 하면, 오랫동안 건강하게 있어줘……"
3006005010200,霧子,"ふふ……
お花さん……もうちょっと、一緒にいようね……","후후……
꽃씨…… 조금만 더, 같이 있자……"
3006005010210,咲耶,"きっとスターチスもそう思ってくれているさ
……おや？　花瓶に何を入れているんだい？","분명 스타티스도 그렇게 생각해 줄거야 
……이런? 화병에 뭘 넣고 있는 거니?"
3006005010220,霧子,"お砂糖……だよ
これも、お花さんの力になるの……","설탕……이야 
이것도, 꽃씨의 힘이 되거든……"
3006005010230,霧子,つやつやに……なってくれるんだ……♪,반들반들하게……되어 줘……♪
3006005010240,咲耶,"へぇ。甘いもので元気になるなんて
本当に、私たちみたいだな","헤에. 달콤한 것으로 기운차게 된다니 
정말로, 우리들 같네 "
3006005010250,霧子,ふふ……うん……,후후……응……
3006005010260,咲耶,"……この花、すごく元気に咲いていて一段と目立っているね
なんとなく、恋鐘っぽくて可愛いな","……이 꽃, 엄청 건강하게 피어있어서 한층 더 눈에 띄네 
왠지 모르게, 코가네같아서 귀여워"
3006005010270,霧子,"わぁ……！
そうだね、こっちが恋鐘ちゃんで……","와아…… !
그렇네, 이쪽이 코가네쨩이고…… "
3006005010280,霧子,こっちが……結華ちゃんかな……,이쪽이…… 유이카쨩이려나……
3006005010290,咲耶,そうだね、明るくみんなをよく見ているところが結華と同じだ,"그러게, 밝게 모두를 잘 보고 있는 점이 유이카와 닮았어 "
3006005010300,咲耶,じゃあ、これは……,"그러면, 이건……"
3006005010310,霧子,摩美々ちゃん……みたい……,마미미쨩…… 같아……
3006005010320,咲耶,"フフ、私もそうかと思っていたよ
横を向いているけど、見ているところはしっかり見ている","후후, 나도 그렇게 생각하고 있었어 
옆을 향해 있지만, 봐야 하는 곳은 확실히 보고 있어 "
3006005010330,咲耶,"なら、この静かに美しく咲いている雰囲気の花は霧子かな
不思議と見ていて優しい気持ちになれるよ","그러면, 이 조용하고 아름답게 피어있는 분위기의 꽃은 키리코려나
이상하게 보고있으면 상냥한 기분이 들어"
3006005010340,霧子,"じゃ……じゃあ……！　こっちのお花さんが……咲耶さん
凛としてて……かっこよくて……","그……그럼…… ! 이쪽의 꽃씨가…… 사쿠야씨 
늠름하고……멋있어서……"
3006005010350,咲耶,"フフ、私はそういうふうに思われているんだね
光栄だよ","후후, 나는 그런 식으로 생각되고 있구나
영광이야"
3006005010360,咲耶,"それにしても、花があるだけで
心がこんなに華やぐんだね","그건 그렇고, 꽃이 있는 것만으로
마음이 이렇게 좋아지는구나"
3006005010370,咲耶,改めて、花を飾る意味がわかった気がするよ,"다시금, 꽃을 장식한 의미를 알 것 같아"
3006005010380,咲耶,"こういう細やかにみんなの心を溶かすような気遣いは
霧子ならではだ。ありがとう","이런 소소한게 모두의 마음을 녹이는 것 같은 배려는 
키리코만이 가능해. 고마워 "
3006005010390,霧子,え……そ、そんなこと……,"에…… 그, 그렇진……"
3006005010400,霧子,あ……あ、でも……,"아…… 아, 그치만……"
3006005010410,咲耶,ん？　どうしたんだい？,응? 왜그러니?
3006005010420,霧子,"このお部屋……
もっと……お花が似合うと思うんだ……","이 방……
더욱…… 꽃이 어울릴거라고 생각해……"
3006005010430,咲耶,"なるほど……！
どこに置いたら、より素敵になるかな？","과연…… !
어디에 두면, 더 멋지게 될까? "
3006005010440,霧子,"う、うん……。隅の方にも置いて……
もう少し……明るくできたら……","으, 응……. 구석에 둬서……
좀 더…… 밝게 할 수 있다면……"
3006005010450,霧子,"みんな、もっと……
楽しい気持ちに……なれるかなって","모두, 더욱……
즐거운 기분이…… 될 수 있지 않을까 하고"
3006005010460,咲耶,霧子……,키리코……
3006005010470,咲耶,"（やっぱり霧子は優しい……
私も何か手伝ってあげたいな……）","(역시 키리코는 상냥해……
나도 뭔가 도와주고 싶네……)"
3006005010480,咲耶,"ねえ、霧子
私と一緒にそれを実現しないかい？","저기, 키리코
나와 같이 그걸 실현해보지 않겠니?"
3006005010490,霧子,"え……？
咲耶さん……","에…… ?
사쿠야씨……"
3006005010500,咲耶,霧子さえよければ、私も一緒に花を選んでみたいな……,"키리코만 괜찮다면, 나도 같이 꽃을 고르고 싶어……"
