id,name,text,trans
7902001060010,社長,"やはりここまで来ると、
乗り越えるべき壁も高かったな……","역시 여기까지 오면
넘아야 할 벽이 높아지네…"
7901001060010,はづき,"結果は残念でしたけど……
おふたりは立派にやってましたよ！","결과는 유감이었지만…
두사람 모두 훌륭하게 잘 해냈어요!"
7901001060020,はづき,"ここまで来れただけでも、
胸を張って誇れることだと私は思います","여기까지 왔다는 것만으로도
가슴 펴고 자랑 할 수 있을거예요."
7902001060020,社長,"ああ、良い活躍だった
それはたしかだ","그래, 좋은 활역이었다.
그건 확실하다."
0000000000000,プロデューサー,"……俺もそう思います
彼女はよくやってくれました","저도 그렇게 생각합니다…
그녀는 정말 잘 해주었어요."
7901001060030,はづき,"その言葉を、彼女に直接
言ってあげましょう？","그 말은 그녀에게 직접
해주는게 어떨까?"
0000000000000,プロデューサー,……はい,네…
0000000000000,プロデューサー,"……すまない
三次審査は通らなかった","미안해…
3차 심사는 통과하지 못했어."
7013001060010,夏葉,"……っ！
…………","읏…!
……"
0000000000000,プロデューサー,"……な、夏葉、大丈夫か？　『W.I.N.G.』のことは
残念だけど、夏葉はまだまだ――","나, 나츠하, 괜찮아? 『W.I.N.G.』 은…
안타깝지만 나츠하는 아직…"
7013001060020,夏葉,プロデューサー、今の私には何が足りなかったのかしら,"프로듀서, 지금의 나에겐 뭐가 부족했던걸까"
0000000000000,プロデューサー,"……今は何も気にしなくていいぞ
夏葉は誰にも負けないくらい頑張ってたからな","지금은 아무것도 생각하지 않아도 괜찮아…
나츠하는 누구에게도 지지 않을 정도로 열심히 했으니까"
7013001060030,夏葉,"大丈夫よ、本当のことを言って
決して落ち込んでいるわけじゃないの","괜찮아, 솔직히 말해줘.
절대 다운된건 아니니까."
7013001060040,夏葉,"審査を突破できなかったのは悲しいけど、
結果が全てを物語ってるって、理解してるつもりよ","통과 하지 못한건 슬프지만
결과가 모든걸 말해준다고 생각할래"
0000000000000,プロデューサー,分かった。事務所に戻ってしっかり反省をしよう,알았어. 사무실에 돌아가서 확실히 말해줄게
7013001060050,夏葉,ありがとう、プロデューサー,"고마워, 프로듀서"
7013001060060,夏葉,こんなところで私、諦めたくないわ！,나는 이런 곳에서 포기하고 싶지 않아!
0000000000000,プロデューサー,（強い心だ……夏葉ならまだまだ成長できる！）,(강하구나… 나츠하라면 좀 더 성장할 수 있어!)
0000000000000,プロデューサー,"わかった。夏葉の良さをもっと生かせるように
今後をしっかり考えて行こう！","알았어. 나츠하의 장점을 잘 살릴 수 있도록
앞으로도 열심히 고민해보자!"
0000000000000,プロデューサー,明日からトレーニングが厳しくなるぞ！,내일부터 트레이닝이 하드해질거애!
7013001060070,夏葉,構わないわ！　プロデューサー,상관없어! 프로듀서.
7013001060080,夏葉,"世界一のアイドルを目指すのに必要な事なら
私はどんなことでもこなして見せるわ！","세계 제일의 아이돌이 되기 위해 필요한 일이라면
나는 어떤 일이라고 해낼테니까!"
info,produce_events/701300106.json,
译者,,
