id,name,text,trans
0000000000000,プロデューサー,……,……
2014009030010,甘奈,"測り終わったみたいだね……
ちょっと見せて","측정 끝난 거 같네……
잠깐 보여줘"
2014009030020,甘奈,うーん……なかなか下がらないね……,음…… 꽤 내려가질 않네……
0000000000000,プロデューサー,早くよくなるといいんだがな……,빨리 괜찮아지면 좋겠는데……
0000000000000,プロデューサー,"甘奈、看病してくれてありがとう
本当に助かるよ","아마나, 간병해줘서 고마워
정말 도움이 됐어"
2014009030030,甘奈,ううん、気にしないで,"아냐, 신경쓰지 마"
2014009030040,甘奈,甘奈、今日はちょうど出番ないし！,"아마나, 오늘은 마침 일도 없었고！"
0000000000000,プロデューサー,"そっか、オフだったよな……
すまない","그런가, 오프였구나……
미안"
2014009030050,甘奈,もう、謝らなくていいからっ,"정말, 사과안해도 되니까"
2014009030060,甘奈,"こういう時は遠慮しちゃダメだよ
ちゃーんと甘えるの！","이럴 땐 사양하면 안된다구
제대로 어리광 부리는거야！"
2014009030070,甘奈,本当になんでも言ってくれていいからね！,정말 뭐든 말해도 되니까！
0000000000000,プロデューサー,"ああ……
じゃあ水をもらってもいいかな","응……
그럼 물좀 가져다 줄 수 있을까"
2014009030080,甘奈,うん！,응！
2014009030090,甘奈,はい！　どーぞ,자！여기
0000000000000,プロデューサー,ありがとう──,고마워──
0000000000000,プロデューサー,──げほっ！,──콜록！
2014009030100,甘奈,大丈夫！？,괜찮아！？
2014009030110,甘奈,……,……
0000000000000,プロデューサー,"変なところに入ったみたいだ……
背中、さすってくれてありがとう、だいぶ楽になったよ","이상한 곳에 들어간 것 같아……
등, 쓸어줘서 고마워, 많이 편해졌어"
2014009030120,甘奈,よかった……,다행이다……
2014009030130,甘奈,"！
プロデューサーさん、お腹減った？","！
프로듀서님, 배고파？"
2014009030140,甘奈,甘奈、何か買ってくるね！,"아마나, 뭔가 사올게！"
0000000000000,プロデューサー,"ああ、すまん……
何から何まで……","응, 미안……
하나부터 열까지……"
2014009030150,甘奈,"ううん、お薬も飲まなくちゃだし！
何がいい？","아냐, 약도 먹어야 하니까！
뭐가 좋아？"
select,,"おかゆを
頼んでいいかな","죽을
부탁해도 될까"
select,,"ゼリーを
お願いするよ","젤리를
부탁할게"
select,,揚げ物を……,튀김을……
2014009030160,甘奈,うん！　任せてっ☆,응！ 맡겨만 줘☆
2014009030170,甘奈,"おかゆなら作る方が早いから
そこのキッチン借りるね！","죽이라면 만드는 편이 빠르니까
주방좀 빌릴게！"
2014009030180,甘奈,はい、お待ちどうさま！,"네, 기다리셨습니다！"
0000000000000,プロデューサー,"ありがとう、さすが甘奈だな
美味しそうだ","고마워, 역시 아마나네
맛있어보여"
2014009030190,甘奈,"大げさだよ～
このくらいなら大したことないから","엄살이야~
이 정도면 별거 아니니까"
2014009030200,甘奈,じゃ、その……,"그럼, 그……"
2014009030210,甘奈,口、開けて……？,"입, 벌려줘……？"
0000000000000,プロデューサー,"え？　
ああ、大丈夫だよ、自分で食べられるから……","어？　
아니, 괜찮아, 스스로 먹을 수 있으니까……"
2014009030220,甘奈,"さっき水飲む時、手震えてたよ？
こぼしてやけどしちゃったら大変だし……","방금 물 마실 때, 손 떨었다구？
쏟아서 화상입으면 큰일이니까……"
2014009030230,甘奈,"だから……
はい！　あーん！","그러니까……
자！ 아ー앙！"
2014009030240,甘奈,"はーい
ちょっと行ってくるね！","네ー
잠깐 다녀올게！"
2014009030250,甘奈,プロデューサーさん！　お待たせ──,프로듀서님！ 기다렸지──
0000000000000,プロデューサー,……,……
2014009030260,甘奈,……眠ってる……,……자고 있네……
2014009030270,甘奈,"……早くよくなってね……
甘奈の大切な──","……빨리 나아줘……
아마나의 소중한──"
0000000000000,プロデューサー,──ん……,──음……
2014009030280,甘奈,！,！
0000000000000,プロデューサー,……寝ちゃってたのか……,……잠들어 버렸나……
2014009030290,甘奈,"プロデューサーさん
お、おはよう……！","프로듀서님
아, 안녕……！"
0000000000000,プロデューサー,おはよう……,안녕……
0000000000000,プロデューサー,"甘奈に買いに行かせておいて
自分は寝ちゃってたのか……すまん","아마나한테 심부름 보내놓고
난 잠들어버린건가…… 미안"
2014009030300,甘奈,ううん！　気にしないで！,아냐！ 신경쓰지마！
2014009030310,甘奈,"……プロデューサーさん
もしかして聞いてた……？","……프로듀서님
혹시 들었어……？"
0000000000000,プロデューサー,ん？　なんのことだ？,응？ 뭘？
2014009030320,甘奈,ううん！　なんでもないよ！,아냐！ 아무것도 아냐！
2014009030330,甘奈,うーん……,음……
2014009030340,甘奈,食べられるかな……？,먹을 수 있을까……？
2014009030350,甘奈,気持ち悪くなっちゃわない……？,기분 안좋아지지 않아……？
0000000000000,プロデューサー,食欲はあるんだけどな……,식욕은 있는데 말야……
2014009030360,甘奈,……,……
0000000000000,プロデューサー,"やっぱりやめておくよ
確かにそうなりそうな気がしてきた","역시 관둘게
분명히 그렇게 될 것 같은 느낌이 들었어"
2014009030370,甘奈,消化にいいもの作るね,소화 잘 되는 것으로 만들게
2014009030380,甘奈,揚げ物は治ったら作ってあげるっ,튀김은 다 나으면 만들어 줄게
info,produce_events/201400903.json,
译者,,
