id,name,text,trans
0000000000000,プロデューサー,甜花、スケジュール表がどうかしたのか？,텐카、스케줄표에 무슨 문제라도 있어?
1015001000910010,甜花,"プロデューサーさん……
あの……レッスン、いっぱい入ってるって、思って……","프로듀서님……
그…… 레슨、잔뜩 들어가 있다고、생각해……"
1015001000910020,甜花,"甜花、レッスン苦手だから……
どうしよう……きっと失敗、しちゃう……","텐카、레슨 서투르니까……
어떻게 하지…… 분명 실패, 할거야……"
0000000000000,プロデューサー,（レッスンで失敗するかもしれないのが不安なのか……）,(레슨으로 실패할지도 모르는 것이 불안한 것인가……)
select,,また一歩上達できる,한발 더 나아 갈 수 있어
select,,やるしかないな,할 수 밖에 없겠지
select,,頑張らないとな,힘내야겠지
1015001000910030,甜花,"そっか……レッスン、たくさんすれば……
いつか、できるように……","그런가…… 레슨、많이 하면……
언젠가、할 수 있게……"
1015001000910040,甜花,"甜花……が、頑張りましゅ！
あ、あう……えっと……頑張る、ね","텐카…… 노、노력하겠습니댜! 
아、아으…… 그…… 노력할、게"
0000000000000,プロデューサー,（よし、楽しく話せたな）,(좋아、즐겁게 이야기했다.)
1015001000910050,甜花,"そ、そうだよね……
練習しないと、できないまま……","그、그렇네……
연습하지 않으면、할 수 없는 채로……"
1015001000910060,甜花,"やればできる、かな……
ちょっとずつでも、上手くなれたら、いいな……","하면 할 수 있을, 까나……
조금씩이라도, 능숙하게 될 수 있으면、좋겠다……"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,(뭐、평범하게 이야기했나.)
1015001000910070,甜花,"うん……頑張りたい……
でも甜花……レッスン全然ダメだから……","응…… 노력하고 싶어……
그치만 텐카…… 레슨 전혀 못하니까……"
1015001000910080,甜花,"間違えたら、怒られちゃう……
今度のレッスンも……大丈夫かな……","잘못하면、혼나버려……
이번 레슨도…… 괜찮으려나……"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽... 실수다. 다른 얘기를 했다면 좋았을 걸...)
info,produce_communications/101500100091.json,
译者,,
