id,name,text,trans
1015001001210010,甜花,"プロデューサーさん……
甜花、おしゃべりの……練習したいんだけど……","프로듀서님……
텐카, 대화하는법…… 연습하고 싶은데……"
0000000000000,プロデューサー,"おしゃべり？
トークの練習ってことか？","수다? 
토크의 연습이라는 것인가?"
1015001001210020,甜花,"えっと……お仕事もそうだけど……
も、もう少し……他の人とも、話せたらなって……","그게…… 일도 그렇지만……
조, 좀 더…… 다른 사람과도, 이야기 할 수 있으면 해서……"
0000000000000,プロデューサー,"そういうことか
なら……","그런 건가
그러면……"
select,,とことん付き合うぞ,물론 도와줄게!
select,,"事務所のみんなと
話してみたら？","사무소의 모두하고
대화해보는건 어때? "
select,,外の人に声をかける,밖의 사람들에게 말을 걸어봐
1015001001210030,甜花,"にへへ……ありがとう
プロデューサーさん、優しいね……","니헤헤…… 고마워요
프로듀서님, 상냥하네……"
1015001001210040,甜花,"じゃあ……えっと……
い、いい天気でしゅ、ね！　……あう……","그러면…… 그……
조, 좋은 날씨구, 뇨! ……아으……"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기했다.)"
1015001001210050,甜花,"うん……
事務所のみんなは……優しいから、平気……","응……
하수모의 모두와…… 상냥하니까, 괜찮아……"
1015001001210060,甜花,"にへへ……
プロデューサーさん……ありがと……","니헤헤……
프로듀서님…… 고마워……"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기했나.)"
1015001001210070,甜花,え……？　いきなり、知らない人と……話すの……？,"어……? 갑자기, 모르는 사람과…… 이야기하는 거야……?"
1015001001210080,甜花,"あうう……
甜花には……まだ、無理……だと思う……","아으……
텐카에게는…… 아직, 무리…… 라고 생각해……"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽... 실수다. 다른 얘기를 했다면 좋았을 걸...)
info,produce_communications/101500100121.json,
译者,,
