id,name,text,trans
1015001001410010,甜花,"プロデューサーさん……
甜花、どうかな？","프로듀서님……
텐카、어때?"
0000000000000,プロデューサー,どうって……何がだ？,어떻냐니…… 뭐가?
1015001001410020,甜花,"なーちゃんに……前よりも
元気だねって……言われたんだ……","나쨩이…… 예전보다
활기차다 라고…… 말해서……"
0000000000000,プロデューサー,"そういうことか
そうだな、今の甜花は……","그런 일인가
그렇네、지금의 텐카는……"
select,,自信がついたからかな,자신감이 생겨서 그런걸까
select,,見違えるようだよ,못 알아 볼 정도야
select,,前から元気だったぞ,예전부터 활기찼어
1015001001410030,甜花,"自信……そういえば、前より……
ひとりで、いろいろできる……気がする……","자신…… 그러고보니、예전보다……
혼자서、이것 저것 할 수 있다는…… 생각이 들어……"
1015001001410040,甜花,"にへへ……プロデューサーさんも……なーちゃんも……
甜花より、甜花のこと知ってるね……","니헤헤…… 프로듀서님도…… 나쨩도……
텐카보다、텐카를 잘 알고 있네……"
0000000000000,プロデューサー,（よし、楽しく話せたな）,(좋아、즐겁게 이야기했다.)
1015001001410050,甜花,"プロデューサーさんも、そう思う……？
甜花、あんまり変わってない気がする……けど……","프로듀서님도、그렇게 생각해……? 
텐카、그다지 변하지 않았다고 생각하는…… 데……"
1015001001410060,甜花,"ふたりが、そう言ってくれるなら、そうなのかな……
……ちょっと嬉しい、な……","두 사람이、그렇게 말해 준다면、그런 것일까……
…… 조금 기쁘, 네……"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,(뭐、평범하게 이야기했나.)
1015001001410070,甜花,"そうかな……？
甜花……少しは変わったのかなって、思うけど……","그런가……?
텐카…… 조금은 변했다고, 생각했는데……"
1015001001410080,甜花,"プロデューサーさん……
甜花、元気に見えない……？","프로듀서님……
텐카, 활기차 보이지 않아……?"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽... 실수다. 다른 얘기를 했다면 좋았을 걸...)
info,produce_communications/101500100141.json,
译者,,
