id,name,text,trans
3008003030010,恋鐘,霧子、エプロン姿、かわいか～,키리코 에이프런 모습 귀엽당게~
3008003030020,霧子,……恋鐘ちゃんのエプロン姿も、かわいいね……,코가네짱의 에이프런 모습도 귀여워……
3008003030030,恋鐘,"じゃあ霧子、いくばい！
スイーツ作戦ばい！","그라믄 키리코, 갈기라!\n스위트 작전이야!"
3008003030040,霧子,"うん……！
恋鐘ちゃんみたいにおいしいケーキをつくって……",응……!\n코가네짱처럼 맛있는 케이크를 만들어서……
3008003030050,恋鐘,みんなを元気にするばい！,모두를 기운차게 하는거여!
3008003030060,霧子,元気に……するばい……！,기운차게…… 하는거여!
3008003030070,恋鐘,"よし、その意気たい！
まずは粉をふるうけん……これば……","좋아, 그 의욕이랑게!\n먼저 가루를 뿌린다…… 이거믄……"
3008003030080,恋鐘,"あ、……と、と
うわ……っ！","아, 아\n으왓……!"
3008003030090,霧子,だ……大丈夫？　恋鐘ちゃん……！,괘…… 괜찮아? 코가네짱……!
3008003030100,恋鐘,"大丈夫……なんともなかよ……！
こげんとこに本ば置いてあるとは……",괜찮여…… 아무것도 아녀……\n이런곳에 책이 있었다니……
3008003030110,霧子,"お、落ちた粉、
わたしが掃除しておくから……",떨어진 가루는……\n내가 청소해 둘테니까……
3008003030120,霧子,気にしないで、つづきを教えて……？,신경쓰지 말고 계속 해줘……
3008003030130,恋鐘,"おおっ、霧子、ありがとうー
なら先を急ぐばい！",키리코 고마워야\n그라믄 빨리 하잔게!
3008003030140,恋鐘,"次はバターを湯せんで溶かすとよ
これにはボールとへらを使うたい……",다음은 버터를 녹이는거여\n이건 보울과 주걱을 쓸거여……
3008003030150,恋鐘,"えーっと……
へら……へらは……どこいったと？",음……\n주걱…… 주걱은…… 어디간겨?
3008003030160,恋鐘,調理器具ば全部出してきてしまったばってん……,조리기구 전부 꺼내보여……
3008003030170,霧子,わたしも……探そうか……？,나도…… 찾아볼까……?
3008003030180,恋鐘,"う、うーん……お願いしてもよか？
へらがないと……次に進めんばい……","아, 응…… 부탁혀도 될까?\n주걱이 없으면 다음으로 갈 수 없당게."
3008003030190,恋鐘,うわっ……！　今度は何ね……！,으와……! 이번은 뭐여……!
3008003030200,霧子,"こ、恋鐘ちゃん……
ちょっと……お掃除、する……？","코, 코가네짱……\n잠깐…… 청소…… 할까……?"
3008003030210,恋鐘,"そ、そうやね……
霧子、ごめん","그, 그래야겄어……\n키리코 미안혀"
3008003030220,恋鐘,"昨日、張り切って準備したら、
散らかってもうたんよ……",어제 열심히 준비했더니\n어지러워야
3008003030230,霧子,"ううん……準備してくれたの、嬉しい……
それに、お掃除は……ちょっと得意なんだ……！",아니…… 준비해준건 기뻐……\n거기에 청소는…… 조금 자신 있어!
3008003030240,恋鐘,き、霧子～！,"키, 키리코~!"
3008003030250,恋鐘,"……いけん
うっかり、霧子を抱きしめるところやった",안돼여\n무심코 키리코를 껴 안을 뻔했어야.
3008003030260,霧子,"ふふ……
じゃあ……お掃除、はじめよう～……",후후……\n그러면…… 청소 시작하자~
3008003030270,恋鐘,"ふーっ！
う、うちはそろそろギブたい～","후!\n내, 내는 슬슬 기브업이다."
3008003030280,霧子,"うん……これでいいと思う……
きれいになったね……！",응…… 이걸로 괜찮다고 생각해\n깨끗해졌네……!
3008003030290,恋鐘,"始める前よりきれいばい……
霧子はすごか～……",시작 하기 전보다 깨끗해야……\n키리코는 대단혀……
3008003030300,霧子,そ、そんなことないよ……,"그, 그렇지 않아……"
3008003030310,霧子,"でも……ケーキをつくる時間
なくなっちゃったね……",그래도…… 케이크를 만들 시간\n없어졌네……
3008003030320,恋鐘,……ケーキはいらんかもしれんたい,케이크는 만들 수 있을지도 모른다.
3008003030330,霧子,……え？,어?
3008003030340,恋鐘,"うち、すっごく気持ちよか……
部屋がこげんきれいになるち、思わんかったたい",내 엄청 기분 좋으야……\n방이 이렇게 깨끗해진다고 생각 못했어야.
3008003030350,霧子,そ、そんなに……変わったかな……？,"그, 그렇게…… 바뀐걸까……?"
3008003030360,恋鐘,"うん！　ばり変わったばい
霧子がきれいにしてくれて、うち元気になれたとよ！",응! 엄청 바뀌었다!\n키리코가 깨끗하게 해줘서 내 기운 나게 됐다!
3008003030370,霧子,恋鐘ちゃん……,코가네짱……
3008003030380,恋鐘,"元気っちゅうか……
霧子なら、いろんな人を気持ちよくできるたい",기운난다고 할까……\n키리코라믄 여러 사람들을 기쁘게 할 수 있을기라
3008003030390,恋鐘,"それが、
うちにはできん……霧子のすごいとこばい",그게 내는 할 수 없는 \n키리코의 굉장한점이여
3008003030400,霧子,う、ううん……,"아, 아니……"
3008003030410,恋鐘,また謙遜……自信を持つたい！,또 겸손…… 자신을 가지라!
3008003030420,霧子,"う、うん……そうだね……
じゃあ……","으, 응…… 그렇네……\n그러면……"
3008003030430,霧子,"お掃除は……恋鐘ちゃんが褒めてくれたから、
自信を持つことにする……！",청소는…… 코가네짱이 칭찬해줬으니까\n자신을 가질게……!
3008003030440,恋鐘,なんね、それ……,"뭐여, 그기……"
3008003030450,恋鐘,まあ、よか。それじゃ作戦成功ばい！,뭐 좋아. 그거믄 작전 성공이여!
3008003030460,霧子,"うん……！
それで……あ、あのね……","응……!\n그래서…… 그, 저기……"
3008003030470,霧子,"カメラを持ってきたんだ
……インスタントカメラっていうんだって",카메라를 가져왔어\n즉석 카메라라고 한대
3008003030480,恋鐘,"おー！　見せて見せて！
おもしろそうたい",오~! 보여도!\n재미있어 보인당게!
3008003030490,霧子,一緒に……撮っていいかな……？,같이…… 찍어도 될까……?
3008003030500,恋鐘,もちろんたい！,물론이여!
3008003030510,霧子,"ほんとは……ケーキと撮ろうって思って……
でも、わたし……今の恋鐘ちゃんと撮りたい……！",사실은…… 케이크를 찍으려고 했지만……\n지금은 나…… 코가네짱과 찍고싶어……!
3008003030520,恋鐘,"よかよか！
それじゃったら、部屋を写すばい！",좋다야!\n그라믄 방을 찍을까!
3008003030530,霧子,部屋……？,방……?
3008003030540,恋鐘,誰かを元気にする……霧子の掃除の魔法が写るったい,누군가를 힘내게 한다…… 키리코의 청소의 마법이 있어야
3008003030550,霧子,恋鐘ちゃん……,코가네짱……
3008003030560,霧子,"ふふ……
じゃあ……いくよ……？",후후……\n그러면…… 찍을게……?
3008003030570,霧子,はい……チーズ……！,자…… 치즈……!
