id,name,text,trans
3023002020010,雛菜,"お疲れさまでした～♡
雛菜、お先に失礼します～！","수고하셨습니다~♡
히나나, 먼저 실례할게요~!"
3023002020020,透,うん、お疲れ,"응, 수고"
3023002020030,小糸,雛菜ちゃん、またね……！,"히나나쨩, 또 봐……!"
3023002020040,雛菜,"うん～、ばいばい！
またね～","응~, 바이바이
또 봐~"
3023002020050,雛菜,あっ！　そうだ～,아! 맞다~
3023002020060,雛菜,"雛菜、
今日は甘いもの食べて帰る日なんだけど～……","히나나,
오늘은 달콤한 거 먹고 가는 날인데~……"
3023002020070,小糸,"そ、そうなんだ……！
そんな日があるんだ……","그, 그렇구나……!
그런 날이 있구나……"
3023002020080,円香,"それなら早く行ったら？
私たちは──……","그럼 얼른 가지 그래?
우리는……"
3023002020090,透,あー、いいね,"아, 괜찮네"
3023002020100,円香,"は……？
ちょっと……","하……?
야……"
3023002020110,雛菜,"やは～♡
透先輩行く！？","야하~♡
토오루선배 갈래!?"
3023002020120,透,"うん
甘いもの、食べたい","응
달콤한 거, 먹고 싶어"
3023002020130,雛菜,"雛菜も～～～！
あは～、気が合うね～？","히나나도~~~!
아하~, 마음이 맞네~?"
3023002020140,透,"ふふっ
そうかも","후훗
그럴지도"
3023002020150,円香,……この後、まだ練習するって話だったでしょ,……이거 끝나고 연습 더 한다고 얘기했었잖아
3023002020160,透,あ,"아, 괜찮네"
3023002020170,雛菜,"え～～～
それ明日じゃだめなの～～～？","에~~~
그거 내일 하면 안 돼~~~?"
3023002020180,透,……,……
3023002020190,円香,…………,…………
3023002020200,雛菜,"それにみんな上手にできてたよ？
だからご褒美が必要じゃない～？","게다가 다들 잘 하던데?
그러니까 상이 필요하지 않아~?"
3023002020210,透,……じゃなーい？,……그렇지 않아?
3023002020220,円香,"……はぁ
もういい、好きにして","……하아
됐어, 맘대로 해"
3023002020230,雛菜,"やは～
じゃあ円香先輩も来るってことで～","야하~
그럼 마도카선배도 오는 걸로~"
3023002020240,円香,……とんだ巻き添えよ,……말려드는 것뿐이야
3023002020250,雛菜,とか言って来たいくせに～～～！,그런 말하고 오고 싶으면서~~~!
3023002020260,円香,は……？,하……?
3023002020270,雛菜,"ん～、ね、
小糸ちゃんは来る～？","음~, 저기
코이토쨩도 올래~?"
3023002020280,小糸,え……！,에……!
3023002020290,小糸,"あ、えっと……
ど、どうしようかな……！","아, 그게……
어, 어떻게 하지……!"
3023002020300,円香,小糸、無理しなくていいから,"코이토, 무리 안 해도 돼"
3023002020310,小糸,あ…………,아…………
3023002020320,雛菜,"それって練習無理しなくてってこと？
それとも無理して来なくていいってこと～？","그건 연습 무리해서 하지 말라는 말이야?
아니면 무리해서 안 와도 된다는 말이야~?"
3023002020330,円香,"……無理して雛菜に
付き合わなくていいってこと","……무리해서 히나나랑
어울리지 않아도 된다는 말이야"
3023002020340,雛菜,"え～～～、
ひど～～～～い","에~~~,
너무해~~~~~"
3023002020350,小糸,あ、あの……！,"저, 저기……!"
3023002020360,小糸,"わ、わたし！
い、行こうかな……！","나, 나!
가, 갈까……!"
3023002020370,雛菜,"ほら～！
小糸ちゃんも行きたいって～","봐봐~!
코이토쨩도 가고 싶대잖아~"
3023002020380,円香,……雛菜、ほんとうるさい,……히나나 정말 시끄러워
3023002020390,小糸,"えっ、あ、
ご、ごめんね円香ちゃん……！","엣, 아,
미, 미안해, 마도카쨩……!"
3023002020400,円香,"別に
小糸は謝るようなことしてないでしょ","딱히
코이토는 잘못한 거 없잖아"
3023002020410,小糸,う、うん……！,"으, 응……!"
3023002020420,雛菜,ん～、じゃあどこ行こう～～～,"음~, 그럼 어디 갈까~~~"
3023002020430,雛菜,"雛菜はね～、ケーキか～
アイスか～クレープか～……","히나나는 있지~, 케이크나~
아이스크림이나~, 크레이프나~……"
3023002020440,円香,…………,……
3023002020450,透,プリンアラモード？,푸딩 아라모드?
3023002020460,雛菜,"……！
あは～♡　それだ～～～！","……!
아하~♡ 그거야~~~!"
3023002020470,円香,……言ってること、すぐ変わる,……말이 금새 바뀌네
3023002020480,雛菜,もうプリンアラモードの口になった～！,이제 푸딩 아라모드의 입이 됐어~!
3023002020490,円香,はいはい,네 네
3023002020500,透,え、いい？,"어, 괜찮아?"
3023002020510,透,小糸ちゃんは？,코이토쨩은?
3023002020520,小糸,"う、うん！
大丈夫！　好きだよ！","으, 응!
괜찮아! 좋아해!"
3023002020530,透,"ふふっ
じゃ、よかった","후훗
그럼 잘 됐다"
3023002020540,雛菜,"雛菜も！
雛菜もすきだよ～？","히나나도!
히나나도 좋아한다구~?"
3023002020550,雛菜,プリンアラモードも、透先輩も～♡,"푸딩 아라모드도, 토오루선배도~♡"
info,produce_events/302300202.json,
译者,,
