id,name,text,trans
3004002020010,恋鐘,"ふん、ふ～ん♪　レッスンレッスン～っと
お、結華と摩美々も、もう来とーね","흥, 흐~흥♪ 레슨 레슨~
오, 유이카랑 마미미도, 벌써 왔구마"
3004002020020,結華,……ね、やっぱりこがたんはすごいよね,"……저기, 역시 코가땅은 굉장하네"
3004002020030,摩美々,"そうだねー。つい目がいっちゃうかも―
……特にー、ダンスとかぁ？","그렇네. 무심코 눈이 가버릴지도
……특히, 댄스라든가아?"
3004002020040,恋鐘,"んふふ……なんね、ふたりとも～？
そんなうちのこと褒め称えて、どんな話しよると？","응후후……뭐시여, 두사람 다 ~ ?
그렇게 나에 대해서 칭찬하고, 무슨 얘길 한거여?"
3004002020050,摩美々,"あー。恋鐘、来てたんだぁ
まぁ、なんの話と言われても―","아. 코가네, 왔었구나아
뭐어, 무슨 얘기했냐고 물어봐도"
3004002020060,結華,こがたんの……才能？　がうらやましいよねって話かな？,코가땅의……재능? 이 부럽네 하는 이야기려나?
3004002020070,摩美々,んー、そういう話だったねー,"응, 그런 얘기 였네"
3004002020080,恋鐘,"おお！　結華も摩美々もよくわかっとるね～！
そげん話は好きなだけするとよかよ！","오오! 유이카도 마미미도 잘 알고 있구마 ~ !
그런 얘기는 마음껏 해도 괜찮여!"
3004002020090,恋鐘,"んふふ……よーし！
今日のレッスンは特に頑張れそうたい！","응후후……좋아!
오늘의 레슨은 특별히 힘낼 수 있을 것 같어야!"
3004002020100,恋鐘,"はっ！　ほっ！　よっ！
ステップ、ステップ～……ターン！","핫! 둘! 셋!
스텝, 스텝~……턴!"
3004002020110,摩美々,…………三峰ー、やっぱさぁ……,"…………미츠미네, 역시 말야……"
3004002020120,結華,"うん、わかるよまみみん
三峰もダメなのはわかってるんだけど、どうにもね……！","응, 알거 같아 마미밍
미츠미네도 안된다는 건 알고 있지만, 어떻게 해도 말야……!"
