id,name,text,trans
0000000000000,プロデューサー,──それじゃ、俺と霧子はこのまま打ち合わせに行くよ,"그러면, 나랑 키리코는 이대로 회의에 갈게 "
0000000000000,プロデューサー,"摩美々は衣装合わせだったよな
場所は大丈夫そうか？　地図、送ったと思うけど……","마미미는 의상 맞춰뒀었지
장소는 괜찮은 것 같니? 지도, 보냈다고 생각하는데……"
5002002030010,摩美々,…………,…………
5002002030020,霧子,ま……摩美々ちゃん……？,마……마미미쨩……?
5002002030030,摩美々,……っ……,……읏……
5002002030040,霧子,だ、大丈夫──,"괘, 괜찮"
5002002030050,摩美々,っくしゅ──……！,으엣취……!
5002002030060,摩美々,"……はぁい、大丈夫ですー
地図も届いてますー","……네에, 괜찮아요
지도도 받았어요"
0000000000000,プロデューサー,……風邪ひいたんじゃないか？,……감기 걸리지 않았어?
5002002030070,摩美々,"んー、こほっ……喉がちょっとだけー
この間の倉庫が埃っぽかったせいかもしれませんー","음, 크흠……목이 조금
전에 창고에 먼지가 많았던 탓일지도 모르겠네요"
5002002030080,霧子,"お薬……あるかな……
待ってて……","약……있으려나……
기다려줘……"
5002002030090,摩美々,"薬なら自分でも飲めるケドー
……くしゅっ……まぁ、仕事終わったら事務所に戻るんでー","약이라면 스스로도 마실수 있는데
……엣취……뭐, 일 끝나면 사무소로 돌아갈테니"
5002002030100,霧子,"うん……気を付けてね……
じゃあ、後で……","응……조심해야 돼……
그럼, 나중에……"
5002002030110,咲耶,"このパニーニとブレンドを……
ええ、店内で","이 파니니와 블렌드를……
에에, 점내에서"
5002002030120,咲耶,"ありがとう……いい香りだ
素敵なお嬢さんに淹れてもらえたからかな","고마워……좋은 향이네 
멋진 아가씨가 타주었기 때문일까나"
5002002030130,咲耶,"ただ時間を潰すだけのつもりが、
思いのほか素晴らしい休息となりそうだよ","그저 시간을 때울 생각이었는데,
생각 외로 멋진 휴식이 될 것 같아 "
5002002030140,咲耶,"カウンター席からキミの仕事を見ていても良いかい？
その笑顔を眺めながらの味は、きっと格別だろうからね","카운터 석에서 네 일을 봐도 괜찮을까?
그 미소를 바라보며 먹는 맛은, 분명 각별할테지"
5002002030150,結華,"──ひどいじゃないあなた、私とは遊びだったの？
この貸し、それなりに高くつくわよ？","너무하지 않나요 당신, 저와는 엔조이였던 건가요?
이 빚, 나름대로 비쌀거라고? "
5002002030160,咲耶,やあ、結華じゃないか！,"여어, 유이카잖아!"
5002002030170,結華,"お疲れー
──あ、店員さん、私はハムサンドとアイスティー店内で！","수고했어
아, 점원씨, 저는 햄 샌드위치랑 아이스티 점내에서!"
5002002030180,結華,"……でもさ、ほんと流れるように王子だよね
三峰ずっと後ろにいたのになかなか声かけられなかったよ","……그런데 말이지, 정말 자연스럽게 왕자님같네
미츠미네 계속 뒤에 있었는데 꽤 말을 걸 수가 없었어 "
5002002030190,咲耶,"そうかい？　このあと一緒に仕事なのだから、
すぐにも声をかけてくれて良かったのに","그랬었니? 이 다음에 함께 일이 있으니까,
바로 말을 걸어줬어도 좋았는데 "
5002002030200,結華,"さくやんと会うのも久しぶりだし、
第二の王子でいくかいい感じのお姉さんでいくか迷ってさぁ","사쿠양하고 만나는 것도 오랜만이고,
제 2의 왕자느낌으로 갈지 좋은 느낌의 언니로 갈지 고민돼서서 말야"
5002002030210,結華,"……ていうか、この間はごめんね
結局ミーティング参加できなくって……","……라고 할까, 전에는 미안
결국 미팅에 참가 하지 못해서……"
5002002030220,咲耶,"ああ……
まとめたノートはお役に立てたかな？","아아……
정리한 노트는 도움이 됐을까?"
5002002030230,結華,"それはもう！
ほんと助かったよー、おかげでみんなの話についていける","당연하지!
정말로 살았어, 덕분에 모두의 얘기에 따라갈 수있어"
5002002030240,咲耶,"フフッ、それはよかった
……けれど、結華に会えることを私は楽しみにしているんだ","후훗, 그건 다행이네
……하지만, 유이카와 만나는 걸 나는 기대하고 있었어 "
5002002030250,咲耶,次こそは、顔を見せてくれることを願っているよ,"다음에야 말로, 얼굴을 보여줄 걸 바라고 있어 "
5002002030260,結華,"おっけー任せて！
次はさくやんを悲しませない！","오케이맡겨만 줘!
다음엔 사쿠양을 슬프게 하지 않을테니!"
5002002030270,咲耶,"ああ、遠くても言葉を伝える手段はあるけれど、
こうして眼差しを合わせる会話とは違うものだからさ","그래, 멀리 있어도 말을 전할 수단은 있지만,
이렇게 시선을 맞추어 이야기하는 것과는 다르니까 말야 "
5002002030280,結華,"……やっぱり、直接じゃないと違う？
さくやん、たとえば……寂しかったりする？","……역시, 직접이 아니면 다른가?
사쿠양, 혹시……외롭다거나 해?"
5002002030290,咲耶,ん？　フフ、そんなことは……,"응? 후후, 그런 일은……"
5002002030300,咲耶,"……いや……そうだね
少しだけ寂しく感じることもあるよ","……아니……그렇네
약간 외롭다고 느낄 때가 있어"
5002002030310,咲耶,"けれど、こうしてたまに会えるだけで、
すぐさま元気になれるんだ","하지만, 이렇게 이따금 만나는 것 만으로,
금방 기운이 나"
5002002030320,咲耶,だから平気さ,그러니까 괜찮아
5002002030330,結華,平気かぁ、さくやんはガードが固いなぁ,"괜찮은 건가아, 사쿠양은 가드가 단단하네 "
5002002030340,結華,"……でもさ？　完璧な王子様が物憂げにしてたら、
気になっちゃうのが乙女心ってやつでしょ？","……그런데 말야? 완벽한 왕자님이 울적하다면,
신경이 쓰이는게 여심이란 거잖아?"
5002002030350,結華,"三峰的にはそういう……平気じゃないところ、
ぶっちゃけてもらえたら嬉しいなー……みたいな？","미츠미네적으로는 그런……괜찮지 않은 부분,
탁 터놓고 얘기해 준다면 기쁠텐데……같은?"
5002002030360,咲耶,ん……？,응……?
5002002030370,咲耶,"そう言われても……フフッ
今日の結華はいたずらっこだね、私の心を惑わせる","그런 말을 들어도……후훗
오늘의 유이카는 장난꾸러기구나, 내 마음을 현혹해"
5002002030380,咲耶,"けれど、うーん……思いつかないな
今、この時間が幸せすぎて……","하지만, 으음……생각 나질 않네 
지금, 이 시간이 너무 행복해서……"
5002002030390,結華,幸せー……？　ほんとにー？,행복……? 정말로?
5002002030400,咲耶,ああ、この瞳が嘘を言っているように見えるかい？,"그래, 이 눈동자가 거짓말을 하는 것처럼 보이는 거니?"
5002002030410,結華,"──じゃあ、そんなさくやんには別の質問
最近のバラバラなアンティーカについてはどう思う？","그럼, 그런 사쿠양에게는 다른 질문
최근 뿔뿔히 흩어진 안티카에 대해서 어떻게 생각해?"
5002002030420,咲耶,え……？,어……?
5002002030430,結華,"この頃、５人で揃っての仕事ってあんまりないでしょ？
もちろん、目の前のことは頑張らなくちゃだけど──","요즘, 다섯 명이 모이는 일이 그다지 없잖아?
물론, 눈 앞의 일은 열심히 하지 않으면 안되겠지만"
5002002030440,咲耶,ああ……ん……,아아……응……
5002002030450,結華,そういうの、さくやん的にはどうなのかなって,"그런 거, 사쿠양적으로는 어떤가 싶어서"
5002002030460,咲耶,"……ああ、もちろん。みんなが認められて、
輝いて、愛されているということだろう？","……아아, 물론. 모두가 인정받아서,
빛나고, 사랑받고 있는 거잖아?"
5002002030470,咲耶,私にとってそれ以上のことはないよ,내게 있어서 그거 이상으로 좋은 일은 없어
5002002030480,結華,……,……
5002002030490,結華,…………あのさ。さくやん,…………저기 말야. 사쿠양
5002002030500,咲耶,"あっ……結華、見てごらん
店の外、霧子とプロデューサーだ","앗……유이카, 보렴
가게 밖에, 키리코와 프로듀서야 "
5002002030510,結華,"──え。……うわっ、待ち合わせの時間過ぎてるじゃん！
三峰たちのこと探してるよね！？","에. ……우왓, 약속 시간을 지났잖아!
미츠미네들 찾고 있는 거지!?"
5002002030520,咲耶,"……喫茶店で過ごす時間は魔性だね
先に声をかけてくるよ。最後の一口を飲み干したらおいで","……찻집에서 보내는 시간은 마성이구나
먼저 말을 걸고 있을게. 마지막 한모금을 다 마시면 와"
5002002030530,結華,"あ、うん、ありがとさくやん
でも──","아, 응, 고마워 사쿠양
하지만"
5002002030540,結華,……,……
5002002030550,結華,──────……,……
0000000000000,プロデューサー,"……ふー……
遅くまでお疲れ様、みんな……あれ──……？","……후……
늦게 까지 수고했어 , 모두들……어라……？"
5002002030560,咲耶,ああ、結華と霧子なら薬局に向かったよ,"아아, 유이카와 키리코라면 약국으로 갔어"
0000000000000,プロデューサー,"お……そうだったのか
気付かなかったな……","오……그랬구나
눈치 못챘어……"
5002002030570,咲耶,おや？　ふたりはアナタにも声をかけていたけれど……,이런? 두 사람은 당신에게도 말을 걸었었는데……
5002002030580,咲耶,……今日はだいぶお疲れのようだね,……오늘은 꽤 피곤한 듯하네
0000000000000,プロデューサー,"ああいや、すまんすまん
まだまだ疲れちゃいられないのにな","아아 아니, 미안 미안
아직 지쳐 있을 순 없지"
0000000000000,プロデューサー,"もうすぐ長期ロケもあるし……！
あ、ロケの進行表、あとで送っておくな","이제 곧 장기 로케도  있고……!
아, 로케의 진행표, 나중에 보내둘게 "
5002002030590,咲耶,……ああ、楽しみにしているよ,……그래、기대하고 있을게
0000000000000,プロデューサー,"久しぶりに全員揃っての現場だな！
やっとアンティーカらしい仕事だぞ","오랜만에 전원이 모이는 현장이네!
겨우 안티카다운 일을 하게 됐어"
5002002030600,咲耶,"アンティーカらしい……そうだね
──────でも……","안티카 다운……그렇네
하지만……"
5002002030610,咲耶,"アンティーカとしての活動がなくても、
みんなは困らないんじゃないかな？","안티카로서의 활동이 없어도,
모두는 곤란하지 않은 거 아닐까?"
0000000000000,プロデューサー,……ん？　どうして,……응? 어째서
5002002030620,咲耶,"みんなそれぞれ認められていて、
個人の仕事でも充分活躍してるじゃないか","모두 각자 인정받아서,
개인의 일에서도 충분히 활약하고 있잖아 "
5002002030630,咲耶,"恋鐘も、摩美々も、結華も、霧子も……
アンティーカがなくても輝いている……","코가네도, 마미미도, 유이카도, 키리코도……
안티카가 없어도 빛나고 있어……"
5002002030640,咲耶,……彼女たちが輝けるのなら,"……그녀들이 빛난다면 "
5002002030650,咲耶,きっと、それは、『ここ』じゃなくたって──,"분명, 그건, 『여기』가 아니어도"
5002002030660,咲耶,"２８３プロでは、必ずしもユニットに所属しなくては
ならないってわけじゃないんだろう？","283프로에선, 반드시 유닛에 소속되지 않으면
안된다는 법도 없잖아?"
0000000000000,プロデューサー,それは……,그건……
0000000000000,プロデューサー,"……よかったら、
奥でゆっくり話を聞かせてくれないか","……괜찮다면,
안쪽에서 천천히 얘기를 들려주지 않을래?"
5002002030670,咲耶,"いや、そんな大したことじゃないんだ
たわむれに聞いてみただけさ","아니, 그런 큰일은 아니야 
장난삼아 물어본 것 뿐이니까"
0000000000000,プロデューサー,"まあまあ、近頃はくつろぐ時間も無かったし
久しぶりに咲耶のコーヒーが飲みたいな","자자 그러지말고, 요즘은 편히 쉴 시간도 없었고
오랜만에 사쿠야의 커피가 마시고 싶은 걸"
